Date,Temperature,Precipitation,Elevation
10/1/1964,nan,nan,1480
10/2/1964,nan,nan,1480
10/3/1964,nan,nan,1480
10/4/1964,nan,nan,1480
10/5/1964,nan,nan,1480
10/6/1964,nan,nan,1480
10/7/1964,nan,nan,1480
10/8/1964,nan,nan,1480
10/9/1964,nan,nan,1480
10/10/1964,nan,nan,1480
10/11/1964,nan,nan,1480
10/12/1964,nan,nan,1480
10/13/1964,nan,nan,1480
10/14/1964,nan,nan,1480
10/15/1964,nan,nan,1480
10/16/1964,nan,nan,1480
10/17/1964,nan,nan,1480
10/18/1964,nan,nan,1480
10/19/1964,nan,nan,1480
10/20/1964,nan,nan,1480
10/21/1964,nan,nan,1480
10/22/1964,nan,nan,1480
10/23/1964,nan,nan,1480
10/24/1964,nan,nan,1480
10/25/1964,nan,nan,1480
10/26/1964,nan,nan,1480
10/27/1964,nan,nan,1480
10/28/1964,nan,nan,1480
10/29/1964,nan,nan,1480
10/30/1964,nan,nan,1480
10/31/1964,nan,nan,1480
11/1/1964,nan,nan,1480
11/2/1964,nan,nan,1480
11/3/1964,nan,nan,1480
11/4/1964,nan,nan,1480
11/5/1964,nan,nan,1480
11/6/1964,nan,nan,1480
11/7/1964,nan,nan,1480
11/8/1964,nan,nan,1480
11/9/1964,nan,nan,1480
11/10/1964,nan,nan,1480
11/11/1964,nan,nan,1480
11/12/1964,nan,nan,1480
11/13/1964,nan,nan,1480
11/14/1964,nan,nan,1480
11/15/1964,nan,nan,1480
11/16/1964,nan,nan,1480
11/17/1964,nan,nan,1480
11/18/1964,nan,nan,1480
11/19/1964,nan,nan,1480
11/20/1964,nan,nan,1480
11/21/1964,nan,nan,1480
11/22/1964,nan,nan,1480
11/23/1964,nan,nan,1480
11/24/1964,nan,nan,1480
11/25/1964,nan,nan,1480
11/26/1964,nan,nan,1480
11/27/1964,nan,nan,1480
11/28/1964,nan,nan,1480
11/29/1964,nan,nan,1480
11/30/1964,nan,nan,1480
12/1/1964,nan,nan,1480
12/2/1964,nan,nan,1480
12/3/1964,nan,nan,1480
12/4/1964,nan,nan,1480
12/5/1964,nan,nan,1480
12/6/1964,nan,nan,1480
12/7/1964,nan,nan,1480
12/8/1964,nan,nan,1480
12/9/1964,nan,nan,1480
12/10/1964,nan,nan,1480
12/11/1964,nan,nan,1480
12/12/1964,nan,nan,1480
12/13/1964,nan,nan,1480
12/14/1964,nan,nan,1480
12/15/1964,nan,nan,1480
12/16/1964,nan,nan,1480
12/17/1964,nan,nan,1480
12/18/1964,nan,nan,1480
12/19/1964,nan,nan,1480
12/20/1964,nan,nan,1480
12/21/1964,nan,nan,1480
12/22/1964,nan,nan,1480
12/23/1964,nan,nan,1480
12/24/1964,nan,nan,1480
12/25/1964,nan,nan,1480
12/26/1964,nan,nan,1480
12/27/1964,nan,nan,1480
12/28/1964,nan,nan,1480
12/29/1964,nan,nan,1480
12/30/1964,nan,nan,1480
12/31/1964,nan,nan,1480
1/1/1965,nan,nan,1480
1/2/1965,nan,nan,1480
1/3/1965,nan,nan,1480
1/4/1965,nan,nan,1480
