Year,site_name,spring_date,fall_date,elevation,bw,ba,winter_ablation,summer_accumulation
1966,A,5/18/1966,9/23/1966,1421,0.4,-2.71,nan,0.08
1966,B,5/18/1966,8/26/1966,1712,1,0.1,nan,0
1966,C,5/17/1966,9/18/1966,1960,1.05,0.77,nan,0.25
1967,A,4/27/1967,9/30/1967,1420,0.6,-2.25,0,0.1
1967,B,4/27/1967,9/8/1967,1711,1.05,0.1,nan,0.1
1967,C,4/26/1967,9/9/1967,1960,1.3,1.8,0,0.55
1968,A,4/30/1968,9/24/1968,1419,0.78,-2.73,0,nan
1968,B,6/16/1968,9/5/1968,1711,1.14,-1.15,0,0.02
1968,C,6/15/1968,9/7/1968,1960,2.4,1.19,0,0.06
1969,A,5/17/1969,8/20/1969,1418,0.38,-2.82,0,0
1969,B,5/26/1969,8/20/1969,1710,0.55,-1.55,0,0.06
1969,C,5/23/1969,8/11/1969,1960,0.86,0.15,0,0.21
1970,A,3/15/1970,8/28/1970,1417,0.42,-1.91,-0.28,0
1970,B,6/12/1970,8/25/1970,1710,0.92,0.21,0,0.17
1970,C,6/13/1970,7/17/1970,1960,1.33,1.39,0,0.05
1971,A,6/14/1971,8/22/1971,1416,0.66,-1.65,nan,0
1971,B,6/14/1971,8/28/1971,1710,0.99,-0.61,0,0
1971,C,7/17/1971,8/17/1971,1960,1.55,1.19,0,0.03
1972,A,5/9/1972,9/2/1972,1415,0.67,-2.5,-0.19,0
1972,B,6/13/1972,8/13/1972,1709,1.26,-0.49,-0.06,0
1972,C,5/7/1972,8/12/1972,1960,1.24,0.66,-0.09,0
1973,A,5/21/1973,8/1/1973,1414,0.79,-1.11,-0.17,0
1973,B,5/22/1973,8/1/1973,1709,1.21,0.36,-0.49,0
1973,C,5/22/1973,8/1/1973,1960,1.74,1.4,0,0.04
1974,A,3/24/1974,7/24/1974,1413,0.28,-1.77,-0.85,0
1974,B,6/15/1974,10/11/1974,1708,0.7,-1.52,-0.25,0.14
1974,C,6/17/1974,9/4/1974,1960,1.01,-0.06,0,nan
1975,A,6/24/1975,8/24/1975,1411,0.25,-2.52,nan,0
1975,B,6/24/1975,8/24/1975,1708,1.02,-0.5,0,0
1975,D,6/25/1975,8/25/1975,1854,1.4,0.66,nan,0
1975,C,6/25/1975,8/25/1975,1960,1.44,0.54,nan,0
1976,A,3/28/1976,7/27/1976,1410,0.56,-2,-0.22,0
1976,B,3/28/1976,7/27/1976,1708,0.91,0,nan,0
1976,D,3/28/1976,7/28/1976,1854,1.12,0.61,-0.39,0
1977,A,3/21/1977,9/30/1977,1409,0.81,-3.14,-1.9,0.12
1977,B,3/21/1977,9/30/1977,1707,1.3,-0.56,-1.5,0.31
1977,D,6/23/1977,9/24/1977,1854,2.07,1.1,0,0.36
1978,A,3/26/1978,7/25/1978,1408,0.44,-0.89,0,0
1978,B,3/25/1978,7/25/1978,1707,0.84,0.63,0,0
1978,D,3/25/1978,nan,1854,1.19,0.72,0,0
1979,A,4/23/1979,8/24/1979,1407,0.77,-2.95,-2.27,0
1979,B,4/22/1979,8/24/1979,1706,1.3,-0.85,-1.33,0
1979,D,4/23/1979,8/24/1979,1854,1.53,0.41,0,0
1980,A,4/5/1980,9/5/1980,1406,0.5,-2.8,-0.55,0
1980,B,6/24/1980,9/5/1980,1706,0.94,-0.51,-0.41,0.08
1980,D,6/25/1980,9/5/1980,1854,1.5,1.64,0,0.17
1981,A,3/28/1981,9/14/1981,1405,0.59,-2.53,-0.3,0.01
1981,B,3/28/1981,9/14/1981,1705,0.93,0.16,0,0.18
1981,D,3/29/1981,9/14/1981,1854,1.08,1.27,0,0.65
1982,A,3/27/1982,9/1/1982,1404,0.48,-2.91,-0.01,0
1982,B,6/19/1982,9/11/1982,1705,1.19,-0.52,0,0.16
1982,D,6/20/1982,9/11/1982,1854,2.07,0.99,0,0.19
1983,A,4/25/1983,9/9/1983,1403,0.4,-3.3,-0.31,nan
1983,B,4/25/1983,9/9/1983,1705,0.82,-0.95,0,0.18
1983,D,4/25/1983,9/9/1983,1854,1.45,1.44,0,0.25
1984,A,3/22/1984,8/29/1984,1402,0.37,-2.53,0,0
1984,B,6/8/1984,8/29/1984,1704,1.11,-0.88,0,0.03
1984,D,6/8/1984,8/29/1984,1854,1.66,0.72,0,0.23
1985,A,3/23/1985,9/4/1985,1401,0.56,-1.56,-0.52,0
1985,B,3/23/1985,9/4/1985,1704,1.12,0.2,0,0.05
1985,D,3/23/1985,9/5/1985,1854,1.47,1.11,0,0.17
1986,A,3/30/1986,10/7/1986,1400,0.69,-3.07,-0.46,0.07
1986,B,3/30/1986,10/7/1986,1703,1.16,0.11,0,0.25
1986,D,3/30/1986,10/7/1986,1854,1.26,1.47,0,0.4
1987,A,3/24/1987,8/28/1987,1399,0.57,-2.51,0,0
1987,B,3/23/1987,8/28/1987,1703,1.17,-0.38,0,0
1987,D,3/24/1987,nan,1854,1.51,0.88,0,0
1988,A,4/15/1988,9/25/1988,1398,0.73,-3.24,-0.58,0.11
1988,B,4/15/1988,9/25/1988,1703,0.95,-0.63,nan,0.24
1988,D,4/15/1988,9/25/1988,1854,1.47,1.25,0,0.36
1989,A,1/6/1989,12/10/1989,1397,nan,nan,0,0
1989,B,1/6/1989,12/10/1989,1702,0.9,-0.62,0,0.81
1989,D,1/6/1989,12/10/1989,1854,1.12,1.16,0,0.69
1990,A,5/18/1990,9/18/1990,1396,0.68,-3.8,nan,0
1990,B,5/6/1990,9/18/1990,1702,1.5,-0.6,0,0.23
1990,D,5/6/1990,9/18/1990,1854,1.61,0.68,0,0.4
1991,A,4/18/1991,9/6/1991,1394,0.62,-3.21,-0.01,0
1991,B,4/17/1991,10/7/1991,1701,1.39,0.07,0,0.29
1991,D,4/17/1991,10/7/1991,1854,1.52,1.16,0,0.35
1992,A,3/26/1992,9/22/1992,1393,0.52,-2.61,-0.17,0.08
