site_name,ks,ki,Rsquared_ks,Rsquared_ki,RMSE_ks,RMSE_ki
A,NaN,-0.00566126103954354,NaN,-0.385385980712624,NaN,0.616729618190613
AB,NaN,-0.002775406829845,NaN,0.105409255338946,NaN,0.199555912543249
AE,NaN,-0.00806346456191205,NaN,-1,NaN,0.234239019328872
AU,NaN,-0.00376915960842799,NaN,-0.0975900072948533,NaN,0.224605193797772
B,-0.00390203153854346,-0.00479890468828028,-1,-0.234570688630495,0.100857156184638,0.571958110672517
C,-0.00329489329229633,0.000807491551627616,-0.866666666666667,NaN,0.144258646344288,6.93889390390723e-18
D,-0.00231439717317723,-0,-0.511111111111111,NaN,0.271714990372244,0
LA,NaN,-0.00870799858390194,NaN,-1,NaN,0.269494563886733
V,-0.0107918521516255,NaN,NaN,NaN,0,NaN
X,-0.00346047370039988,NaN,NaN,NaN,0,NaN
All_Sites,-0.00254174896299772,-0.00598391576938322,-0.543537512055952,-0.357188168666302,0.205253057102686,0.579368660240717
