Year,site_name,spring_date,fall_date,elevation,bw,ba,winter_ablation,summer_accumulation,bw_fill,ba_fill
1966,A,718205,718333,1421,0.4,-2.71,NaN,0.08,0,0
1966,B,718205,718305,1712,1,0.1,NaN,0,0,0
1966,C,718204,718328,1960,1.05,0.77,NaN,0.25,0,0
1967,A,718549,718705,1420,0.6,-2.25,0,0.1,0,0
1967,B,718549,718683,1711,1.05,0.1,NaN,0.1,0,0
1967,C,718548,718684,1960,1.3,1.8,0,0.55,0,0
1968,A,718918,719065,1419,0.78,-2.73,0,NaN,0,0
1968,B,718965,719046,1711,1.14,-1.15,0,0.02,0,0
1968,C,718964,719048,1960,2.4,1.19,0,0.06,0,0
1969,A,719300,719395,1418,0.38,-2.82,0,0,0,0
1969,B,719309,719395,1710,0.55,-1.55,0,0.06,0,0
1969,C,719306,719386,1960,0.86,0.15,0,0.21,0,0
1970,A,719602,719768,1417,0.42,-1.91,-0.28,0,0,0
1970,B,719691,719765,1710,0.92,0.21,0,0.17,0,0
1970,C,719692,719726,1960,1.33,1.39,0,0.05,0,0
1971,A,720058,720127,1416,0.66,-1.65,NaN,0,0,0
1971,B,720058,720133,1710,0.99,-0.61,0,0,0,0
1971,C,720091,720122,1960,1.55,1.19,0,0.03,0,0
1972,A,720388,720504,1415,0.67,-2.5,-0.19,0,0,0
1972,B,720423,720484,1709,1.26,-0.49,-0.06,0,0,0
1972,C,720386,720483,1960,1.24,0.66,-0.09,0,0,0
1973,A,720765,720837,1414,0.79,-1.11,-0.17,0,0,0
1973,B,720766,720837,1709,1.21,0.36,-0.49,0,0,0
1973,C,720766,720837,1960,1.74,1.4,0,0.04,0,0
1974,A,721072,721194,1413,0.28,-1.77,-0.85,0,0,0
1974,B,721155,721273,1708,0.7,-1.52,-0.25,0.14,0,0
1974,C,721157,721236,1960,1.01,-0.06,0,NaN,0,0
1975,A,721529,721590,1411,0.25,-2.52,NaN,0,0,0
1975,B,721529,721590,1708,1.02,-0.5,0,0,0,0
1975,D,721530,721591,1854,1.4,0.66,NaN,0,0,0
1975,C,721530,721591,1960,1.44,0.54,NaN,0,0,0
1976,A,721807,721928,1410,0.56,-2,-0.22,0,0,0
1976,B,721807,721928,1708,0.91,0,NaN,0,0,0
1976,D,721807,721929,1854,1.12,0.61,-0.39,0,0,0
1977,A,722165,722358,1409,0.81,-3.14,-1.9,0.12,0,0
1977,B,722165,722358,1707,1.3,-0.56,-1.5,0.31,0,0
1977,D,722259,722352,1854,2.07,1.1,0,0.36,0,0
1978,A,722535,722656,1408,0.44,-0.89,0,0,0,0
1978,B,722534,722656,1707,0.84,0.63,0,0,0,0
1978,D,722534,722708,1854,1.19,0.72,0,0,0,0
1979,A,722928,723051,1407,0.77,-2.95,-2.27,0,0,0
1979,B,722927,723051,1706,1.3,-0.85,-1.33,0,0,0
1979,D,722928,723051,1854,1.53,0.41,0,0,0,0
1980,A,723276,723429,1406,0.5,-2.8,-0.55,0,0,0
1980,B,723356,723429,1706,0.94,-0.51,-0.41,0.08,0,0
1980,D,723357,723429,1854,1.5,1.64,0,0.17,0,0
1981,A,723633,723803,1405,0.59,-2.53,-0.3,0.01,0,0
1981,B,723633,723803,1705,0.93,0.16,0,0.18,0,0
1981,D,723634,723803,1854,1.08,1.27,0,0.65,0,0
1982,A,723997,724155,1404,0.48,-2.91,-0.01,0,0,0
1982,B,724081,724165,1705,1.19,-0.52,0,0.16,0,0
1982,D,724082,724165,1854,2.07,0.99,0,0.19,0,0
1983,A,724391,724528,1403,0.4,-3.3,-0.31,NaN,0,0
1983,B,724391,724528,1705,0.82,-0.95,0,0.18,0,0
1983,D,724391,724528,1854,1.45,1.44,0,0.25,0,0
1984,A,724723,724883,1402,0.37,-2.53,0,0,0,0
1984,B,724801,724883,1704,1.11,-0.88,0,0.03,0,0
1984,D,724801,724883,1854,1.66,0.72,0,0.23,0,0
1985,A,725089,725254,1401,0.56,-1.56,-0.52,0,0,0
1985,B,725089,725254,1704,1.12,0.2,0,0.05,0,0
1985,D,725089,725255,1854,1.47,1.11,0,0.17,0,0
1986,A,725461,725652,1400,0.69,-3.07,-0.46,0.07,0,0
1986,B,725461,725652,1703,1.16,0.11,0,0.25,0,0
1986,D,725461,725652,1854,1.26,1.47,0,0.4,0,0
1987,A,725820,725977,1399,0.57,-2.51,0,0,0,0
1987,B,725819,725977,1703,1.17,-0.38,0,0,0,0
1987,D,725820,725978,1854,1.51,0.88,0,0,0,0
1988,A,726208,726371,1398,0.73,-3.24,-0.58,0.11,0,0
1988,B,726208,726371,1703,0.95,-0.63,NaN,0.24,0,0
1988,D,726208,726371,1854,1.47,1.25,0,0.36,0,0
1989,A,726474,726724,1397,0.452368615874496,-4.77406399500735,0,0,1,2
1989,B,726474,726812,1702,0.9,-0.62,0,0.81,0,0
