Year,site_name,spring_date,fall_date,elevation,bw,ba,winter_ablation,summer_accumulation
1966,A,05/18/1966,09/23/1966,1421,0.4,-2.71,NaN,0.08
1966,B,05/18/1966,08/26/1966,1712,1,0.1,NaN,0
1966,C,05/17/1966,09/18/1966,1960,1.05,0.77,NaN,0.25
1967,A,04/27/1967,09/30/1967,1420,0.6,-2.25,0,0.1
1967,B,04/27/1967,09/08/1967,1711,1.05,0.1,NaN,0.1
1967,C,04/26/1967,09/09/1967,1960,1.3,1.8,0,0.55
1968,A,04/30/1968,09/24/1968,1419,0.78,-2.73,0,NaN
1968,B,06/16/1968,09/05/1968,1711,1.14,-1.15,0,0.02
1968,C,06/15/1968,09/07/1968,1960,2.4,1.19,0,0.06
1969,A,05/17/1969,08/20/1969,1418,0.38,-2.82,0,0
1969,B,05/26/1969,08/20/1969,1710,0.55,-1.55,0,0.06
1969,C,05/23/1969,08/11/1969,1960,0.86,0.15,0,0.21
1970,A,03/15/1970,08/28/1970,1417,0.42,-1.91,-0.28,0
1970,B,06/12/1970,08/25/1970,1710,0.92,0.21,0,0.17
1970,C,06/13/1970,07/17/1970,1960,1.33,1.39,0,0.05
1971,A,06/14/1971,08/22/1971,1416,0.66,-1.65,NaN,0
1971,B,06/14/1971,08/28/1971,1710,0.99,-0.61,0,0
1971,C,07/17/1971,08/17/1971,1960,1.55,1.19,0,0.03
1972,A,05/09/1972,09/02/1972,1415,0.67,-2.5,-0.19,0
1972,B,06/13/1972,08/13/1972,1709,1.26,-0.49,-0.06,0
1972,C,05/07/1972,08/12/1972,1960,1.24,0.66,-0.09,0
1973,A,05/21/1973,08/01/1973,1414,0.79,-1.11,-0.17,0
1973,B,05/22/1973,08/01/1973,1709,1.21,0.36,-0.49,0
1973,C,05/22/1973,08/01/1973,1960,1.74,1.4,0,0.04
1974,A,03/24/1974,07/24/1974,1413,0.28,-1.77,-0.85,0
1974,B,06/15/1974,10/11/1974,1708,0.7,-1.52,-0.25,0.14
1974,C,06/17/1974,09/04/1974,1960,1.01,-0.06,0,NaN
1975,A,06/24/1975,08/24/1975,1411,0.25,-2.52,NaN,0
1975,B,06/24/1975,08/24/1975,1708,1.02,-0.5,0,0
1975,D,06/25/1975,08/25/1975,1854,1.4,0.66,NaN,0
1975,C,06/25/1975,08/25/1975,1960,1.44,0.54,NaN,0
1976,A,03/28/1976,07/27/1976,1410,0.56,-2,-0.22,0
1976,B,03/28/1976,07/27/1976,1708,0.91,0,NaN,0
1976,D,03/28/1976,07/28/1976,1854,1.12,0.61,-0.39,0
1977,A,03/21/1977,09/30/1977,1409,0.81,-3.14,-1.9,0.12
1977,B,03/21/1977,09/30/1977,1707,1.3,-0.56,-1.5,0.31
1977,D,06/23/1977,09/24/1977,1854,2.07,1.1,0,0.36
1978,A,03/26/1978,07/25/1978,1408,0.44,-0.89,0,0
1978,B,03/25/1978,07/25/1978,1707,0.84,0.63,0,0
1978,D,03/25/1978,07/25/1978,1854,1.19,0.72,0,0
1979,A,04/23/1979,08/24/1979,1407,0.77,-2.95,-2.27,0
1979,B,04/22/1979,08/24/1979,1706,1.3,-0.85,-1.33,0
1979,D,04/23/1979,08/24/1979,1854,1.53,0.41,0,0
1980,A,04/05/1980,09/05/1980,1406,0.5,-2.8,-0.55,0
1980,B,06/24/1980,09/05/1980,1706,0.94,-0.51,-0.41,0.08
1980,D,06/25/1980,09/05/1980,1854,1.5,1.64,0,0.17
1981,A,03/28/1981,09/14/1981,1405,0.59,-2.53,-0.3,0.01
1981,B,03/28/1981,09/14/1981,1705,0.93,0.16,0,0.18
1981,D,03/29/1981,09/14/1981,1854,1.08,1.27,0,0.65
1982,A,03/27/1982,09/01/1982,1404,0.48,-2.91,-0.01,0
1982,B,06/19/1982,09/11/1982,1705,1.19,-0.52,0,0.16
1982,D,06/20/1982,09/11/1982,1854,2.07,0.99,0,0.19
1983,A,04/25/1983,09/09/1983,1403,0.4,-3.3,-0.31,NaN
1983,B,04/25/1983,09/09/1983,1705,0.82,-0.95,0,0.18
1983,D,04/25/1983,09/09/1983,1854,1.45,1.44,0,0.25
1984,A,03/22/1984,08/29/1984,1402,0.37,-2.53,0,0
1984,B,06/08/1984,08/29/1984,1704,1.11,-0.88,0,0.03
1984,D,06/08/1984,08/29/1984,1854,1.66,0.72,0,0.23
1985,A,03/23/1985,09/04/1985,1401,0.56,-1.56,-0.52,0
1985,B,03/23/1985,09/04/1985,1704,1.12,0.2,0,0.05
1985,D,03/23/1985,09/05/1985,1854,1.47,1.11,0,0.17
1986,A,03/30/1986,10/07/1986,1400,0.69,-3.07,-0.46,0.07
1986,B,03/30/1986,10/07/1986,1703,1.16,0.11,0,0.25
1986,D,03/30/1986,10/07/1986,1854,1.26,1.47,0,0.4
1987,A,03/24/1987,08/28/1987,1399,0.57,-2.51,0,0
1987,B,03/23/1987,08/28/1987,1703,1.17,-0.38,0,0
1987,D,03/24/1987,08/28/1987,1854,1.51,0.88,0,0
