month,intercept,slope,rsquared
1,-2.19047953845361,0.459597483672496,0.48
2,-3.23245825494723,0.476673197901522,0.44
3,-4.5771467871184,0.550623302722276,0.48
4,-4.1348527992212,0.740347317190508,0.6
5,-4.18146692930642,0.847412056763133,0.61
6,-4.91730487311422,0.894681909073364,0.66
7,-4.3769867515376,0.845896350420264,0.55
8,-3.04125450718164,0.749512549704319,0.52
9,-3.05742661339303,0.690896335218156,0.58
10,-3.28478035376443,0.515776325036218,0.52
11,-3.14611418766677,0.415869371339489,0.38
12,-3.44018238740561,0.364140379509586,0.37
