month,intercept,slope,rsquared
1,-2.16328314604579,0.458516643351812,0.48
2,-3.16836732198096,0.475734614661238,0.44
3,-4.56934297616492,0.547046679574276,0.48
4,-4.10582331658752,0.74007723772542,0.6
5,-4.18255794104539,0.850376497883058,0.61
6,-4.91609015642498,0.895282374889936,0.66
7,-4.37094670138966,0.845808479421106,0.55
8,-3.07299649869828,0.751337903569923,0.52
9,-3.06250279785961,0.689728315178272,0.58
10,-3.26713429048478,0.519507106744584,0.52
11,-3.13520573808983,0.416641851641052,0.37
12,-3.4574785506022,0.363864194513424,0.37
