month,intercept,slope,rsquared
1,-0.951799199989193,0.568835037754632,0.6
2,-1.52507672840302,0.639495072692039,0.66
3,-1.99447535264603,0.66619335322933,0.67
4,-1.23213205014548,0.729778946707328,0.71
5,-1.48389897156372,0.787902413345328,0.67
6,-3.36847228076673,0.934584920320893,0.76
7,-3.95080380804854,0.972143862172042,0.7
8,-3.05890697675759,0.931665515596059,0.76
9,-2.25327405232121,0.854817093445579,0.8
10,-1.92586991443222,0.676662748689939,0.76
11,-2.18157239740858,0.494949847083893,0.5
12,-2.55755974906385,0.463270264333731,0.5
