month,intercept,slope,rsquared
1,-4.05007738070895,0.512069326079668,0.69
2,-3.62156414835403,0.456436009454528,0.55
3,-3.9530406604376,0.499545741010191,0.57
4,-2.88021906020773,0.540587447868879,0.51
5,-0.790278989095032,0.70058831017135,0.44
6,-0.186531520939448,0.614273173724814,0.38
7,1.24736077131671,0.525809645161884,0.26
8,-0.706614770788443,0.660077983531607,0.53
9,-1.36030505416251,0.672944492968405,0.61
10,-1.70658481828906,0.591025311760059,0.63
11,-3.00278185089598,0.54754602312211,0.61
12,-3.73620915377473,0.507931183870924,0.57
