Year,Bw_mwe,Bs_mwe,Ba_mwe,ELA_m,Bw_Date,Ba_Date,bw_gradient_mwe_km,bs_gradient_mwe_km,ba_gradient_mwe_km,Lapse_Rate,Time_System,Integration_Method,Integration_Surface,Source,Calibration
1966,0.55,-1.29,-0.74,1727.94222768697,05/28/1966,09/10/1966,2.2        0.08,NaN,9.04        2.82,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.66
1967,0.79,-0.61,0.18,1698.10838801198,05/17/1967,09/04/1967,2.1           1,NaN,7.18        6.79,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.66
1968,1.79,-2.28,-0.49,1833.37179487179,05/16/1968,08/28/1968,4.45         4.5,NaN,5.82         9.4,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.66
1969,0.39,-1.57,-1.18,1906.70050761421,05/07/1969,10/17/1969,1.71        0.88,NaN,6.27        7.88,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.66
1970,0.59,-0.66,-0.07,1663.21830272662,05/04/1970,07/29/1970,1.57       -0.08,NaN,4.4        3.64,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.66
1971,1.15,-1.63,-0.48,1802.85714285714,05/30/1971,09/01/1971,4.9        3.56,NaN,6.9           7,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.66
1972,0.76,-1.57,-0.81,1856.55757575758,05/20/1972,08/29/1972,3.06        0.08,NaN,6.05        6.57,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.66
1973,1.14,-1.14,0,1692.76782233261,05/24/1973,08/06/1973,1.46        1.79,NaN,5.86        5.02,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.66
1974,0.46,-2.37,-1.91,2003.3125,05/02/1974,09/21/1974,3.39        0.12,NaN,11.08         5.08,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.66
1975,0.91,-1.72,-0.81,1814.86237439734,05/22/1975,09/02/1975,2.49        0.14,NaN,6.35        3.65,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.66
