Year,Bw_mwe,Bs_mwe,Ba_mwe,ELA_m,Bw_Date,Ba_Date,bw_gradient_mwe_km,bs_gradient_mwe_km,ba_gradient_mwe_km,Lapse_Rate,Time_System,Integration_Method,Integration_Surface,Source
1966,0.88,-0.962885088784739,-0.0828850887847393,1727.94222768697,05/28/1966,09/10/1966,2.16        0.08,NaN,9.04        2.82,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
1967,1.12,-0.27338833316531,0.84661166683469,1697.95315141356,05/17/1967,09/04/1967,2.06           1,NaN,7.15        6.79,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
1968,2.12,-1.94625742565032,0.173742574349677,1833.37179487179,05/16/1968,08/28/1968,4.42        4.54,NaN,5.79         9.4,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
1969,0.72,-1.26669704594273,-0.546697045942732,1909.74226804124,05/09/1969,10/17/1969,1.71        0.92,NaN,6.27        7.76,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
1970,0.95,-0.340158580720605,0.609841419279395,1662.63370045802,05/04/1970,07/29/1970,1.47        0.08,NaN,4.37        3.76,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
1971,1.48,-1.30037894354524,0.179621056454759,1802.85714285714,05/29/1971,09/01/1971,4.9         3.6,NaN,6.94           7,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
1972,1.09,-1.24402777372042,-0.154027773720423,1852.42857142857,05/21/1972,09/08/1972,3.06        0.08,NaN,6.8        6.97,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
1973,1.47,-0.812867255351165,0.657132744648835,1693.1797003799,05/24/1973,08/06/1973,1.46        1.75,NaN,5.93        5.02,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
1974,0.8,-2.05446813319541,-1.25446813319541,2003.3125,04/24/1974,09/21/1974,3.15         0.2,NaN,11.08         5.08,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
1975,1.25,-1.40328722774902,-0.15328722774902,1815.37586107782,05/22/1975,09/02/1975,2.44        0.24,NaN,6.3        3.61,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
