Year,site_name,elevation,bw,bs,ba,mass_maximum_date,mass_minimum_date,Lapse_Rate,Time_System,Integration_Method,Integration_Surface
1966,A,1421,0.39,-2.98,-2.59,22-May-1966,10-Sep-1966,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1966,B,1712,1.01,-0.97,0.04,22-May-1966,10-Sep-1966,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1966,C,1960,1.03,-0.29,0.74,22-May-1966,10-Sep-1966,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1967,A,1420,0.47,-2.45,-1.99,15-May-1967,04-Sep-1967,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1967,B,1711,1.07,-0.97,0.1,15-May-1967,04-Sep-1967,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1967,C,1960,1.32,0.47,1.79,15-May-1967,04-Sep-1967,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1968,A,1419,0.3,-3.14,-2.85,16-May-1968,28-Aug-1968,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1968,B,1711,1.6,-2.75,-1.15,16-May-1968,28-Aug-1968,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1968,C,1960,2.72,-1.53,1.19,16-May-1968,28-Aug-1968,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1969,A,1418,0.17,-3.56,-3.38,07-May-1969,17-Oct-1969,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1969,B,1710,0.67,-2.22,-1.55,07-May-1969,17-Oct-1969,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1969,C,1960,0.89,-0.47,0.42,07-May-1969,17-Oct-1969,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1970,A,1417,0.58,-1.66,-1.08,04-May-1970,29-Jul-1970,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1970,B,1710,1.04,-0.83,0.21,04-May-1970,29-Jul-1970,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1970,C,1960,1.02,0.11,1.12,04-May-1970,29-Jul-1970,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1971,A,1416,-0.28,-2.39,-2.68,30-May-1971,01-Sep-1971,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1971,B,1710,1.15,-1.8,-0.65,30-May-1971,01-Sep-1971,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1971,C,1960,2.04,-0.94,1.1,30-May-1971,01-Sep-1971,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1972,A,1415,0.37,-3.12,-2.75,20-May-1972,29-Aug-1972,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1972,B,1709,1.27,-2.24,-0.97,20-May-1972,29-Aug-1972,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1972,C,1960,1.29,-0.61,0.68,20-May-1972,29-Aug-1972,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1973,A,1414,0.55,-2.43,-1.87,24-May-1973,06-Aug-1973,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1973,B,1709,1.19,-1.13,0.07,24-May-1973,06-Aug-1973,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1973,C,1960,1.76,-0.31,1.44,24-May-1973,06-Aug-1973,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1974,A,1413,-0.01,-4.74,-4.75,02-May-1974,21-Sep-1974,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1974,B,1708,0.98,-2.48,-1.5,02-May-1974,21-Sep-1974,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1974,C,1960,1.01,-1.23,-0.22,02-May-1974,21-Sep-1974,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1975,A,1411,0.53,-2.96,-2.43,22-May-1975,02-Sep-1975,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1975,B,1708,1.21,-1.84,-0.63,22-May-1975,02-Sep-1975,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1975,D,1854,1.52,-1.25,0.27,22-May-1975,02-Sep-1975,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1975,C,1960,1.44,-0.92,0.52,22-May-1975,02-Sep-1975,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1976,A,1410,0.09,-4.3,-4.21,24-May-1976,02-Sep-1976,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1976,B,1708,0.96,-2.46,-1.5,24-May-1976,02-Sep-1976,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1976,D,1854,1.2,-0.59,0.61,24-May-1976,02-Sep-1976,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1977,A,1409,0.84,-4.06,-3.22,08-May-1977,05-Sep-1977,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1977,B,1707,1.56,-2.12,-0.56,08-May-1977,05-Sep-1977,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1977,D,1854,2.35,-1.25,1.1,08-May-1977,05-Sep-1977,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1978,A,1408,0.28,-3.45,-3.17,29-May-1978,15-Sep-1978,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1978,B,1707,0.93,-1.63,-0.7,29-May-1978,15-Sep-1978,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1978,D,1854,1.36,-0.64,0.72,29-May-1978,15-Sep-1978,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1979,A,1407,0.77,-4.23,-3.47,25-Apr-1979,14-Sep-1979,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1979,B,1706,1.32,-2.56,-1.24,25-Apr-1979,14-Sep-1979,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1979,D,1854,1.56,-1.15,0.41,25-Apr-1979,14-Sep-1979,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1980,A,1406,0.48,-2.8,-2.32,02-May-1980,13-Aug-1980,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1980,B,1706,1.11,-1.62,-0.51,02-May-1980,13-Aug-1980,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1980,D,1854,1.56,0.08,1.64,02-May-1980,13-Aug-1980,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1981,A,1405,-0.23,-1.88,-2.11,29-Apr-1981,10-Aug-1981,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1981,B,1705,0.96,-0.8,0.15,29-Apr-1981,10-Aug-1981,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1981,D,1854,1.13,0.14,1.27,29-Apr-1981,10-Aug-1981,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1982,A,1404,-0.83,-3.1,-3.93,20-May-1982,28-Aug-1982,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1982,B,1705,1.38,-1.91,-0.53,20-May-1982,28-Aug-1982,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1982,D,1854,2.11,-1.12,0.99,20-May-1982,28-Aug-1982,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1983,A,1403,-0.22,-3.12,-3.33,26-May-1983,04-Aug-1983,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1983,B,1705,0.93,-1.88,-0.95,26-May-1983,04-Aug-1983,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1983,D,1854,1.61,-0.17,1.44,26-May-1983,04-Aug-1983,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1984,A,1402,-0.08,-2.91,-2.99,06-May-1984,22-Aug-1984,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
