Year,Bw_mwe,Bs_mwe,Ba_mwe,ELA_m,Bw_Date,Ba_Date,bw_gradient_mwe_km,bs_gradient_mwe_km,ba_gradient_mwe_km,Lapse_Rate,Time_System,Integration_Method,Integration_Surface,Source,Calibration
1966,0.54,-1.28,-0.74,1727.94222768697,05/22/1966,09/10/1966,0.0021305842     -2.6375601           1712  8.0645161e-05     0.87193548,NaN,0.0090378007     -15.432715           1712   0.0028225806     -4.7922581,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.66
1967,0.78,-0.6,0.18,1698.10838801198,05/15/1967,09/04/1967,0.0020618557     -2.4578351           1711   0.0010040161    -0.64787149,NaN,0.0071821306     -12.188625           1711   0.0067871486     -11.512811,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.66
1968,1.79,-2.28,-0.49,1833.37179487179,05/16/1968,08/28/1968,0.0044520548     -6.0174658           1711    0.004497992     -6.0960643,NaN,0.0058219178     -11.111301           1711   0.0093975904     -17.229277,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.66
1969,0.39,-1.57,-1.18,1906.70050761421,05/07/1969,10/17/1969,0.0017123288     -2.2580822           1710        0.00088        -0.8348,NaN,0.0062671233     -12.266781           1710        0.00788       -15.0248,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.66
1970,0.59,-0.66,-0.07,1663.21830272662,05/04/1970,07/29/1970,0.0015699659     -1.6446416           1710         -8e-05         1.1768,NaN,0.0044027304     -7.3186689           1710        0.00364        -6.0144,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.66
1971,1.15,-1.63,-0.48,1802.85714285714,05/30/1971,09/01/1971,0.0048639456     -7.1673469           1710        0.00356        -4.9376,NaN,0.0069047619     -12.457143           1710          0.007         -12.62,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.66
1972,0.76,-1.57,-0.81,1856.55757575758,05/20/1972,08/29/1972,0.0030612245     -3.9616327           1709  7.9681275e-05      1.1338247,NaN,0.0060544218     -11.317007           1709   0.0065737052     -12.204462,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.66
1973,1.14,-1.14,-0,1701.97905677334,05/24/1973,08/06/1973,0.0021694915      -2.517661           1709   0.0022709163      -2.690996,NaN,0.0065762712     -11.168847           1709   0.0054581673      -9.258008,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.66
1974,0.46,-2.37,-1.91,2003.3125,05/02/1974,09/21/1974,0.0033559322     -4.7519322           1708  0.00011904762     0.77666667,NaN,0.011016949     -20.316949           1708   0.0050793651     -10.175556,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.66
1975,0.91,-1.72,-0.81,1814.86237439734,05/22/1975,09/02/1975,0.0024908793     -2.9944834           1781   0.0001443217      1.1847357,NaN,0.0063508573     -11.405265           1781   0.0036546908     -6.6033923,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.66
