Date,Temperature,Precipitation,Elevation
1/1/1991,-27.5,0,630.9
1/2/1991,-27.5,0,630.9
1/3/1991,-21.7,0,630.9
1/4/1991,-18.05,0,630.9
1/5/1991,-18.9,0,630.9
1/6/1991,-20.55,0,630.9
1/7/1991,-18.05,0,630.9
1/8/1991,-10.8,,630.9
1/9/1991,-11.1,6.9,630.9
1/10/1991,-16.95,2.3,630.9
1/11/1991,-22.8,1.5,630.9
1/12/1991,-26.95,1.8,630.9
1/13/1991,-30.55,2.3,630.9
1/14/1991,-31.65,0.5,630.9
1/15/1991,-33.6,0,630.9
1/16/1991,-33.9,0,630.9
1/17/1991,-22.8,4.8,630.9
1/18/1991,-12.5,4.3,630.9
1/19/1991,-5,0,630.9
1/20/1991,2.5,0,630.9
1/21/1991,-0.8,0,630.9
1/22/1991,-1.65,0,630.9
1/23/1991,-3.6,0,630.9
1/24/1991,-8.05,4.6,630.9
1/25/1991,-7.75,0,630.9
1/26/1991,-7.5,0,630.9
1/27/1991,-9.2,4.1,630.9
1/28/1991,-10.3,0,630.9
1/29/1991,-10.85,7.4,630.9
1/30/1991,-23.9,0,630.9
1/31/1991,-29.75,0,630.9
2/1/1991,-29.45,0,630.9
2/2/1991,-34.45,0.5,630.9
2/3/1991,-25.55,0,630.9
2/4/1991,-22.2,0,630.9
2/5/1991,-21.4,0.3,630.9
2/6/1991,-28.3,0.5,630.9
2/7/1991,-33.05,0.3,630.9
2/8/1991,-32.5,0,630.9
2/9/1991,-16.15,0,630.9
2/10/1991,-2.25,0,630.9
2/11/1991,-3.9,0,630.9
2/12/1991,-0.25,0,630.9
2/13/1991,-3.05,0,630.9
2/14/1991,-8.35,0,630.9
2/15/1991,-1.95,0,630.9
2/16/1991,-10.85,0,630.9
2/17/1991,-15.3,5.6,630.9
2/18/1991,-15.8,3.6,630.9
2/19/1991,-21.1,1.3,630.9
2/20/1991,-24.2,0,630.9
2/21/1991,-25,0.5,630.9
2/22/1991,-27.25,0,630.9
2/23/1991,-14.4,0.3,630.9
2/24/1991,0.55,0,630.9
2/25/1991,1.15,0,630.9
2/26/1991,0.3,0,630.9
2/27/1991,-0.85,0,630.9
2/28/1991,-4.45,0,630.9
3/1/1991,-7.5,0,630.9
3/2/1991,-8.05,0,630.9
3/3/1991,-6.9,0,630.9
3/4/1991,-6.95,0,630.9
3/5/1991,-8.05,1.3,630.9
3/6/1991,-7.8,0,630.9
3/7/1991,-2.25,0.5,630.9
3/8/1991,-5,0.3,630.9
3/9/1991,-14.75,0,630.9
3/10/1991,-18.6,0,630.9
3/11/1991,-16.65,0,630.9
3/12/1991,-16.95,2.3,630.9
3/13/1991,-10.3,0,630.9
3/14/1991,-8.3,0,630.9
3/15/1991,-11.95,0.3,630.9
3/16/1991,-25.3,0.3,630.9
3/17/1991,-15.55,0,630.9
