Date,Maximum_Temperature,Minimum_Temperature,Precipitation,Elevation,Units,Source,Station_ID
1/1/1991,-16.7,-20.6,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
1/2/1991,-15.6,-20.6,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
1/3/1991,,,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
1/4/1991,-8.3,-17.8,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
1/5/1991,-8.9,-15,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
1/6/1991,-13.3,-17.2,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
1/7/1991,-12.2,-15.6,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
1/8/1991,-10,-12.8,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
1/9/1991,-9.4,-12.2,3.6,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
1/10/1991,-11.1,-11.7,0.5,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
1/11/1991,-11.7,-14.4,9.4,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
1/12/1991,-8.3,-12.2,11.2,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
1/13/1991,-8.3,-18.9,2.3,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
1/14/1991,-18.9,-25,1,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
1/15/1991,-18.9,-27.8,3.6,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
1/16/1991,-4.4,-18.9,1,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
1/17/1991,-1.1,-6.1,8.4,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
1/18/1991,-6.1,-12.8,2.5,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
1/19/1991,,,2,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
1/20/1991,0,-1.7,10.4,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
1/21/1991,-1.7,-3.3,6.4,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
1/22/1991,-1.1,-3.3,14.5,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
1/23/1991,-0.6,-2.2,8.9,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
1/24/1991,-1.7,-7.8,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
1/25/1991,-7.8,-12.2,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
1/26/1991,-10,-13.3,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
1/27/1991,-6.7,-13.9,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
1/28/1991,-7.8,-10,0.8,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
1/29/1991,-8.3,-17.8,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
1/30/1991,-17.8,-21.1,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
1/31/1991,,,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
2/1/1991,-20.6,-24.4,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
2/2/1991,-17.2,-24.4,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
2/3/1991,-12.2,-18.9,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
2/4/1991,-12.2,-13.9,2,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
2/5/1991,-12.8,-16.7,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
2/6/1991,-12.2,-20,5.3,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
2/7/1991,-20,-26.1,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
2/8/1991,-13.9,-28.3,1.3,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
2/9/1991,-5,-13.9,2,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
2/10/1991,-1.1,-5,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
2/11/1991,0,-2.2,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
2/12/1991,1.1,-2.2,6.1,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
2/13/1991,2.2,-4.4,2,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
2/14/1991,0,-7.2,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
2/15/1991,-1.1,-6.1,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
2/16/1991,-1.1,-7.2,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
2/17/1991,-0.6,-3.9,11.7,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
2/18/1991,-3.9,-13.3,2.3,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
2/19/1991,-12.2,-16.7,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
2/20/1991,-12.8,-20,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
2/21/1991,-12.2,-22.8,1.5,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
2/22/1991,,,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
2/23/1991,-2.2,-12.2,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
2/24/1991,1.7,-2.8,1,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
2/25/1991,0,-4.4,15.5,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
2/26/1991,3.9,-1.1,2.8,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
2/27/1991,4.4,-1.1,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
2/28/1991,5.6,-1.1,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
3/1/1991,5,-5,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
3/2/1991,3.9,-9.4,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
3/3/1991,0.6,-7.8,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
3/4/1991,-2.8,-12.8,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
3/5/1991,-1.7,-6.1,10.2,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
3/6/1991,-1.1,-6.7,23.4,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
3/7/1991,-0.6,-2.8,4.6,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
3/8/1991,1.1,-11.1,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
3/9/1991,-4.4,-15.6,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
3/10/1991,-3.9,-17.8,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
3/11/1991,-5,-22.2,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
3/12/1991,,-16.1,2,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
3/13/1991,-6.1,-13.3,1.3,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
3/14/1991,-5,-9.4,3.8,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
3/15/1991,-5,-15,2.3,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
3/16/1991,-7.8,-20.6,4.3,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
3/17/1991,-2.8,-11.1,18.8,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
3/18/1991,-1.1,-7.8,1,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
3/19/1991,,-12.2,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
3/20/1991,-3.9,-14.4,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
3/21/1991,-1.7,-16.7,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
3/22/1991,0,-18.9,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
3/23/1991,-5,-11.7,3,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
3/24/1991,-1.1,-6.7,3.6,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
3/25/1991,-0.6,-5,19.8,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
3/26/1991,0,-1.7,8.9,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
3/27/1991,1.7,-1.1,9.9,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
3/28/1991,-0.6,-5,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
3/29/1991,0,-5.6,1,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
3/30/1991,1.1,-6.1,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
3/31/1991,1.1,-12.2,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
4/1/1991,1.1,-13.3,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
4/2/1991,3.3,-8.3,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
4/3/1991,4.4,-6.7,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
4/4/1991,4.4,-5,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
4/5/1991,,-9.4,0,412.7,SCI,"CHULITNA RIVER, AK US",USC00501926
