Year,site_name,spring_date,fall_date,elevation,bw,ba,winter_ablation,summer_accumulation
1948,A,3/1/1948,10/31/1948,902,NaN,NaN,NaN,NaN
1948,B,3/1/1948,10/31/1948,1002,NaN,NaN,NaN,NaN
1948,C,3/1/1948,10/31/1948,1113,NaN,NaN,NaN,NaN
1948,D,3/1/1948,10/31/1948,1219,NaN,NaN,NaN,NaN
1948,E,3/1/1948,10/31/1948,1272,NaN,NaN,NaN,NaN
1948,F,3/1/1948,10/31/1948,1260,NaN,NaN,NaN,NaN
1948,G,3/1/1948,10/31/1948,1233,NaN,NaN,NaN,NaN
1948,H,3/1/1948,10/31/1948,1191,NaN,NaN,NaN,NaN
1957,A,3/1/1957,10/31/1957,897,NaN,NaN,NaN,NaN
1957,B,3/1/1957,10/31/1957,1000,NaN,NaN,NaN,NaN
1957,C,3/1/1957,10/31/1957,1111,NaN,NaN,NaN,NaN
1957,D,3/1/1957,10/31/1957,1216,NaN,NaN,NaN,NaN
1957,E,3/1/1957,10/31/1957,1270,NaN,NaN,NaN,NaN
1957,F,3/1/1957,10/31/1957,1260,NaN,NaN,NaN,NaN
1957,G,3/1/1957,10/31/1957,1230,NaN,NaN,NaN,NaN
1957,H,3/1/1957,9/11/1957,1184,NaN,1.32,NaN,NaN
1966,A,3/1/1966,10/31/1966,892,NaN,NaN,NaN,NaN
1966,B,3/1/1966,10/31/1966,998,NaN,NaN,NaN,NaN
1966,C,7/7/1966,8/6/1966,1108,1.99,1.78,NaN,NaN
1966,D,7/13/1966,8/5/1966,1200,1.95,1.26,NaN,NaN
1966,F,7/14/1966,8/6/1966,1225,1.99,1.5,NaN,NaN
1966,E,3/1/1966,10/31/1966,1268,NaN,NaN,NaN,NaN
1966,G,3/1/1966,10/31/1966,1226,NaN,NaN,NaN,NaN
1966,H,3/1/1966,10/31/1966,1176,NaN,NaN,NaN,NaN
1974,A,3/1/1974,10/31/1974,888,NaN,NaN,NaN,NaN
1974,B,3/1/1974,10/31/1974,997,NaN,NaN,NaN,NaN
1974,C,3/1/1974,10/31/1974,1106,NaN,NaN,NaN,NaN
1974,D,3/1/1974,10/31/1974,1212,NaN,NaN,NaN,NaN
1974,E,3/1/1974,10/31/1974,1266,NaN,NaN,NaN,NaN
1974,F,3/1/1974,10/31/1974,1259,NaN,NaN,NaN,NaN
1974,G,3/1/1974,10/31/1974,1223,NaN,NaN,NaN,NaN
1974,H,3/1/1974,10/31/1974,1169,NaN,NaN,NaN,NaN
1979,C,3/1/1979,7/12/1979,1095,NaN,1.45,NaN,NaN
1979,D,3/1/1979,7/16/1979,1227,NaN,2.41,NaN,NaN
1979,H,3/1/1979,7/13/1979,1166,NaN,2.75,NaN,NaN
1984,B,3/1/1984,7/23/1984,989,NaN,2.28,NaN,NaN
