Year,Site_Name,Date1,Date2,Elevation_m,Surface1,Surface2,db_mwe
1957,H,6/7/1957,9/3/1957,1184,snow,snow,-3.08
1965,C,7/8/1965,7/31/1965,1140,snow,snow,-0.58
1965,C,8/1/1965,8/12/1965,1140,snow,snow,-0.35
1965,C,7/8/1965,8/12/1965,1140,snow,snow,-0.92
1965,D,7/8/1965,7/31/1965,1205,snow,snow,-0.66
1966,A,6/19/1966,6/25/1966,900,snow,snow,-0.12
1966,A,6/19/1966,7/1/1966,900,snow,snow,-0.26
1966,A,6/19/1966,7/9/1966,900,snow,snow,-0.45
1966,A,6/19/1966,7/14/1966,900,snow,snow,-0.58
1966,A,6/25/1966,7/1/1966,900,snow,snow,-0.14
1966,A,6/25/1966,7/9/1966,900,snow,snow,-0.32
1966,A,6/25/1966,7/14/1966,900,snow,snow,-0.46
1966,A,7/1/1966,7/9/1966,900,snow,snow,-0.18
1966,A,7/1/1966,7/14/1966,900,snow,snow,-0.31
1966,A,7/9/1966,7/14/1966,900,snow,snow,-0.13
1966,B,6/14/1966,6/19/1966,950,snow,snow,-0.19
1966,B,6/14/1966,7/1/1966,950,snow,snow,-0.42
1966,B,6/14/1966,7/9/1966,950,snow,snow,-0.61
1966,B,6/14/1966,7/14/1966,950,snow,snow,-0.71
1966,B,6/14/1966,7/22/1966,950,snow,snow,-1.01
1966,B,6/14/1966,8/4/1966,950,snow,snow,-1.43
1966,B,6/19/1966,7/1/1966,950,snow,snow,-0.24
1966,B,6/19/1966,7/9/1966,950,snow,snow,-0.42
1966,B,6/19/1966,7/14/1966,950,snow,snow,-0.52
1966,B,6/19/1966,7/22/1966,950,snow,snow,-0.82
1966,B,6/19/1966,8/4/1966,950,snow,snow,-1.24
1966,B,7/1/1966,7/9/1966,950,snow,snow,-0.18
1966,B,7/1/1966,7/14/1966,950,snow,snow,-0.29
1966,B,7/1/1966,7/22/1966,950,snow,snow,-0.58
1966,B,7/1/1966,8/4/1966,950,snow,snow,-1.01
1966,B,7/9/1966,7/14/1966,950,snow,snow,-0.1
1966,B,7/9/1966,7/22/1966,950,snow,snow,-0.4
1966,B,7/9/1966,8/4/1966,950,snow,snow,-0.83
1966,B,7/14/1966,7/22/1966,950,snow,snow,-0.3
1966,B,7/14/1966,8/4/1966,950,snow,snow,-0.72
1966,B,7/22/1966,8/4/1966,950,snow,snow,-0.42
1966,C,6/11/1966,6/19/1966,1150,snow,snow,-0.23
1966,C,6/11/1966,7/1/1966,1150,snow,snow,-0.46
1966,C,6/11/1966,7/14/1966,1150,snow,snow,-0.71
1966,C,6/11/1966,7/22/1966,1150,snow,snow,-0.98
1966,C,6/11/1966,8/4/1966,1150,snow,snow,-1.4
1966,C,6/11/1966,8/19/1966,1150,snow,snow,-1.75
1966,C,6/19/1966,7/1/1966,1150,snow,snow,-0.24
1966,C,6/19/1966,7/14/1966,1150,snow,snow,-0.48
1966,C,6/19/1966,7/22/1966,1150,snow,snow,-0.75
1966,C,6/19/1966,8/4/1966,1150,snow,snow,-1.18
1966,C,6/19/1966,8/19/1966,1150,snow,snow,-1.52
1966,C,7/1/1966,7/14/1966,1150,snow,snow,-0.25
1966,C,7/1/1966,7/22/1966,1150,snow,snow,-0.52
1966,C,7/1/1966,8/4/1966,1150,snow,snow,-0.94
1966,C,7/1/1966,8/19/1966,1150,snow,snow,-1.29
1966,C,7/14/1966,7/22/1966,1150,snow,snow,-0.27
1966,C,7/14/1966,8/4/1966,1150,snow,snow,-0.69
1966,C,7/14/1966,8/19/1966,1150,snow,snow,-1.04
1966,C,7/22/1966,8/4/1966,1150,snow,snow,-0.42
1966,C,7/22/1966,8/19/1966,1150,snow,snow,-0.77
1966,D,6/8/1966,6/17/1966,1215,snow,snow,-0.26
1966,D,6/8/1966,6/25/1966,1215,snow,snow,-0.37
1966,D,6/8/1966,7/5/1966,1215,snow,snow,-0.56
1966,D,6/8/1966,7/14/1966,1215,snow,snow,-0.77
1966,D,6/8/1966,7/19/1966,1215,snow,snow,-0.92
1966,D,6/8/1966,8/3/1966,1215,snow,snow,-1.42
1966,D,6/8/1966,8/18/1966,1215,snow,snow,-1.75
1966,D,6/8/1966,9/1/1966,1215,snow,snow,-1.98
1966,C,7/1/1966,7/31/1966,1140,snow,snow,-0.9
1966,C,8/1/1966,8/31/1966,1140,snow,snow,-0.84
1966,C,7/1/1966,8/31/1966,1140,snow,snow,-1.74
1966,C,9/8/1966,9/14/1966,1140,snow,snow,-0.11
1966,D,7/1/1966,7/31/1966,1205,snow,snow,-0.96
1966,D,8/1/1966,8/31/1966,1205,snow,snow,-0.81
1966,D,7/1/1966,8/31/1966,1205,snow,snow,-1.77
1966,D,9/8/1966,9/14/1966,1205,snow,snow,-0.15
1966,F,7/1/1966,7/31/1966,1235,snow,snow,-0.91
1966,F,8/1/1966,8/31/1966,1235,snow,snow,-0.86
1966,F,7/1/1966,8/31/1966,1235,snow,snow,-1.77
1966,F,9/8/1966,9/14/1966,1235,snow,snow,-0.15
1967,C,7/1/1967,7/31/1967,1140,snow,snow,-0.86
1967,C,8/1/1967,8/31/1967,1140,snow,snow,-1.01
1967,C,7/1/1967,8/31/1967,1140,snow,snow,-1.87
1967,D,7/1/1967,7/31/1967,1205,snow,snow,-0.82
1967,D,8/1/1967,8/31/1967,1205,snow,snow,-1.19
1967,D,7/1/1967,8/31/1967,1205,snow,snow,-2.01
1967,D,9/1/1967,9/15/1967,1205,snow,snow,-0.39
1967,D,7/1/1967,9/15/1967,1205,snow,snow,-2.4
1967,F,7/1/1967,7/31/1967,1235,snow,snow,-0.78
1967,F,8/1/1967,8/31/1967,1235,snow,snow,-1.16
1967,F,7/1/1967,8/31/1967,1235,snow,snow,-1.94
2007,D,6/28/2007,7/15/2007,1201,snow,snow,-0.6
2012,G,7/5/2012,7/8/2012,1200,snow,snow,-0.1
2012,D,7/5/2012,7/9/2012,1198,snow,snow,-0.08
2012,H,7/6/2012,7/10/2012,1190,snow,snow,-0.07
