Year,Date_mmddyyyy,Elevation_m
1979,8/11/1979,1041
1984,6/21/1984,819
1984,7/23/1984,838
1984,8/17/1984,911
1985,9/12/1985,905
1990,7/24/1990,1031
1996,7/17/1996,893
1996,7/24/1996,1025
1998,5/27/1998,790
1998,6/28/1998,822
1998,7/30/1998,1027
1999,6/15/1999,793
1999,7/1/1999,810
1999,8/2/1999,890
1999,8/27/1999,1030
2000,7/4/2000,773
2000,8/28/2000,890
2001,8/15/2001,876
2001,9/9/2001,1020
2002,6/8/2002,780
2002,6/15/2002,810
2002,8/2/2002,868
2003,5/1/2003,800
2003,7/12/2003,1034
2003,8/6/2003,1117
2004,6/20/2004,810
2004,6/29/2004,822
2004,7/15/2004,904
2004,7/23/2004,1029
2004,8/8/2004,1040
2004,8/15/2004,1067
2005,5/22/2005,777
2005,6/7/2005,800
2005,6/24/2005,811
2005,8/11/2005,1038
2006,6/10/2006,802
2006,7/5/2006,875
2006,7/29/2006,891
2006,9/15/2006,1072
2007,7/15/2007,729
2007,8/8/2007,891
2007,8/17/2007,976
2007,9/2/2007,1028
2008,7/2/2008,800
2008,8/19/2008,882
2009,6/10/2009,754
2009,7/4/2009,804
2009,7/12/2009,810
2009,7/28/2009,880
2009,8/5/2009,886
2010,6/6/2010,828
2010,7/8/2010,870
2010,8/16/2010,1027
2011,5/31/2011,759
2011,7/10/2011,864
2011,9/12/2011,1095
2012,7/12/2012,753
2012,8/13/2012,859
2012,8/30/2012,876
2012,10/9/2012,1013
2013,6/30/2013,864
2013,8/1/2013,1006
2014,5/16/2014,762
2014,6/16/2014,791
2014,7/18/2014,999
2014,8/3/2014,1033
2015,5/19/2015,757
2015,5/26/2015,762
2015,7/6/2015,1011
2016,6/13/2016,799
2016,6/22/2016,867
2017,6/18/2017,835
2017,8/5/2017,1017
2017,8/12/2017,1023
2017,8/28/2017,1108
