Year,site_name,spring_date,fall_date,elevation,bw,ba,winter_ablation,summer_accumulation,bw_fill,ba_fill
1948,A,711604,711769,902,1.68143037552202,-2.65680838093356,NaN,NaN,2,2
1948,B,711612,711769,1002,2.33185442489219,-1.49213456297922,NaN,NaN,2,2
1948,C,711617,711759,1113,2.87587768114905,-0.379589933368511,NaN,NaN,2,2
1948,D,711621,711755,1219,2.90226049540539,0.0446823476740922,NaN,NaN,2,2
1948,E,711621,711755,1272,4.09031578991343,1.376457852528,NaN,NaN,2,2
1948,F,711621,711755,1260,2.43662132220453,-0.381331029122351,NaN,NaN,2,2
1948,G,711621,711755,1233,2.5493843844314,-0.325125044884712,NaN,NaN,2,2
1948,H,711619,711755,1191,2.70164817113336,-0.275748000347238,NaN,NaN,2,2
1957,A,714901,715089,897,1.69703448411128,-3.32953767835578,NaN,NaN,2,2
1957,B,714901,715089,1000,2.4665214652084,-1.98843262231184,NaN,NaN,2,2
1957,C,714901,715072,1111,3.03905849963598,-0.84144072465174,NaN,NaN,2,2
1957,D,714901,715053,1216,3.25059965067238,-0.131856252293633,NaN,NaN,2,2
1957,E,714905,715053,1270,4.51284686970775,1.32974472470508,NaN,NaN,2,2
1957,F,714901,715053,1260,2.72553318552232,-0.615187362437896,NaN,NaN,2,2
1957,G,714901,715072,1230,2.85564381561372,-0.569234039662149,NaN,NaN,2,2
1957,H,714901,715034,1184,4.41227753592626,1.32,NaN,NaN,2,0
1966,A,718127,718349,892,1.00545055618788,-2.32135653276887,NaN,NaN,1,2
1966,B,718127,718349,998,1.49519671782129,-0.959294660050337,NaN,NaN,1,2
1966,C,718255,718285,1108,1.99,1.78,NaN,NaN,0,0
1966,D,718261,718284,1200,1.95,1.26,NaN,NaN,0,0
1966,F,718262,718285,1225,1.99,1.5,NaN,NaN,0,0
1966,E,718127,718341,1268,2.26610859907526,1.49926285303526,NaN,NaN,1,2
1966,G,718127,718341,1226,2.1887655205415,0.701772858736952,NaN,NaN,1,2
1966,H,718127,718344,1176,2.09669042704892,0.522151393334457,NaN,NaN,1,2
1974,A,721099,721260,888,0.979175374649265,-3.0510053299546,NaN,NaN,2,2
1974,B,721113,721259,997,1.50663341096626,-2.02314532875354,NaN,NaN,2,2
1974,C,721114,721257,1106,1.8907049975492,-1.13138051826957,NaN,NaN,2,2
1974,D,721114,721257,1212,1.90668163874006,-0.765923789257225,NaN,NaN,2,2
1974,E,721114,721257,1266,2.66100472614278,0.333013330706374,NaN,NaN,2,2
1974,F,721114,721257,1259,1.60320893420858,-0.960726089778084,NaN,NaN,2,2
1974,G,721114,721257,1223,1.67479496858641,-0.992565096306635,NaN,NaN,2,2
1974,H,721114,721257,1169,1.77033799713707,-1.06520418069993,NaN,NaN,2,2
1979,C,722914,723008,1095,2.93023908370075,1.45,NaN,NaN,2,0
1979,D,722914,723012,1227,3.73449281867423,2.41,NaN,NaN,2,0
1979,H,722914,723009,1166,4.13998058687666,2.75,NaN,NaN,2,0
1979,TSL_1041,723038,723112,1041,0,-1.79270165785401,NaN,NaN,0,2
1984,B,724740,724846,989,4.32112985426965,2.28,NaN,NaN,2,0
1984,C,724764,724822,1096,3.33597714234732,2.15,NaN,NaN,2,0
1984,TSL_819,724814,724939,819,0,-3.87284853009494,NaN,NaN,0,2
1984,TSL_838,724846,724939,838,0,-2.57300181496923,NaN,NaN,0,2
1984,TSL_911,724871,724939,911,0,-1.35404688472995,NaN,NaN,0,2
1985,C,725142,725215,1097,4.71525140708289,3.12,NaN,NaN,2,0
1985,G,725143,725203,1223,3.95208518442975,2.86,NaN,NaN,2,0
1985,TSL_905,725262,725283,905,0,-0.291905747638385,NaN,NaN,0,2
1990,C,726934,727017,1097,3.68649051128965,2.21,NaN,NaN,2,0
1990,D,726947,727016,1203,3.61269152855587,2.33,NaN,NaN,2,0
1990,G,726947,727027,1219,3.19825103725605,1.6,NaN,NaN,2,0
1990,TSL_1031,727038,727109,1031,0,-2.27519885313663,NaN,NaN,0,2
1996,D,729145,729219,1199,2.21693575588338,0.81,NaN,NaN,2,0
1996,H,729145,729218,1160,2.61995233726346,1.15,NaN,NaN,2,0
1996,TSL_893,729223,729311,893,0,-2.60139702650508,NaN,NaN,0,2
1996,TSL_1025,729230,729309,1025,0,-1.96898278890999,NaN,NaN,0,2
1998,G,729871,729951,1212,3.16899092040194,1.47,NaN,NaN,2,0
1998,H,729864,729951,1157,3.21250387188862,1.4,NaN,NaN,2,0
1998,TSL_790,729902,730055,790,0,-4.96285694110436,NaN,NaN,0,2
