month,intercept,slope,rsquared
1,4.99356947746482e-15,9.99999999999993,1
2,1.31266954559613e-15,9.99999999999999,1
3,-2.00797194187045e-15,9.99999999999997,1
4,-3.0596199981209e-15,9.99999999999999,1
5,-2.4960398378123e-14,9.99999999999999,1
6,-1.30494836798055e-16,9.99999999999998,1
7,-3.65737581917614e-14,9.99999999999999,1
8,-2.58315956503216e-14,9.99999999999999,1
9,3.71697144549991e-16,10,1
10,6.94577333517162e-16,9.99999999999999,1
11,-2.54173791668062e-15,9.99999999999997,1
12,2.50170525340944e-15,9.99999999999997,1
