Year,site_name,elevation,bw,bs,ba,mass_maximum_date,mass_minimum_date,Lapse_Rate,Time_System,Integration_Method,Integration_Surface
1998,TSL_790,790,0.68,-5.49,-4.81,19-Apr-1998,04-Oct-1998,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1998,TSL_822,822,1.75,-5.19,-3.44,19-Apr-1998,04-Oct-1998,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1998,TSL_1027,1027,2.55,-4.17,-1.62,19-Apr-1998,04-Oct-1998,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1998,H,1157,3.21,-3.54,-0.33,19-Apr-1998,04-Oct-1998,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1998,G,1212,3.16,-3.3,-0.14,19-Apr-1998,04-Oct-1998,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1999,TSL_793,793,0.28,-4.62,-4.33,30-May-1999,07-Oct-1999,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1999,TSL_810,810,0.79,-4.48,-3.7,30-May-1999,07-Oct-1999,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1999,TSL_890,890,2.05,-4.06,-2.01,30-May-1999,07-Oct-1999,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1999,TSL_1030,1030,2.7,-3.55,-0.85,30-May-1999,07-Oct-1999,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1999,C,1088,3.79,-3.29,0.51,30-May-1999,07-Oct-1999,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1999,H,1155,3.4,-3.1,0.3,30-May-1999,07-Oct-1999,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1999,G,1211,2.81,-2.94,-0.13,30-May-1999,07-Oct-1999,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2000,TSL_773,773,1.41,-4.56,-3.15,29-Apr-2000,28-Sep-2000,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2000,TSL_890,890,3.09,-3.88,-0.79,29-Apr-2000,28-Sep-2000,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2000,H,1154,3.05,-2.79,0.26,29-Apr-2000,28-Sep-2000,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2000,D,1196,2.89,-2.61,0.28,29-Apr-2000,28-Sep-2000,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2000,G,1210,2.9,-2.61,0.3,29-Apr-2000,28-Sep-2000,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2001,TSL_876,876,2.64,-4.37,-1.74,09-May-2001,10-Oct-2001,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2001,TSL_1020,1020,3.18,-3.8,-0.62,09-May-2001,10-Oct-2001,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2001,H,1153,3.49,-3.31,0.18,09-May-2001,10-Oct-2001,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2001,G,1209,3.57,-3.12,0.45,09-May-2001,10-Oct-2001,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2002,TSL_780,780,0.71,-5.24,-4.53,12-May-2002,27-Oct-2002,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2002,TSL_810,810,0.94,-5.09,-4.15,12-May-2002,27-Oct-2002,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2002,TSL_868,868,2.45,-4.56,-2.11,12-May-2002,27-Oct-2002,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2002,C,1086,3.31,-3.52,-0.21,12-May-2002,27-Oct-2002,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2002,H,1152,2.93,-3.3,-0.38,12-May-2002,27-Oct-2002,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2002,G,1208,3.22,-3.1,0.13,12-May-2002,27-Oct-2002,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2003,TSL_800,800,0.23,-5.38,-5.15,17-Apr-2003,20-Oct-2003,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2003,TSL_1034,1034,1.65,-4.06,-2.41,17-Apr-2003,20-Oct-2003,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2003,C,1085,2.4,-3.72,-1.32,17-Apr-2003,20-Oct-2003,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2003,TSL_1117,1117,2.29,-3.62,-1.34,17-Apr-2003,20-Oct-2003,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2003,H,1151,2.56,-3.46,-0.9,17-Apr-2003,20-Oct-2003,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2003,D,1194,2.46,-3.26,-0.8,17-Apr-2003,20-Oct-2003,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2003,G,1207,2.13,-3.31,-1.18,17-Apr-2003,20-Oct-2003,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2004,TSL_810,810,1.5,-6.14,-4.64,25-Apr-2004,11-Oct-2004,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2004,TSL_822,822,1.94,-6.01,-4.08,25-Apr-2004,11-Oct-2004,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2004,TSL_904,904,2.5,-5.61,-3.11,25-Apr-2004,11-Oct-2004,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2004,TSL_1029,1029,2.66,-5.11,-2.46,25-Apr-2004,11-Oct-2004,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2004,TSL_1040,1040,3.21,-4.98,-1.77,25-Apr-2004,11-Oct-2004,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
