Year,Bw_mwe,Bs_mwe,Ba_mwe,ELA_m,Bw_Date,Ba_Date,bw_gradient_mwe_km,bs_gradient_mwe_km,ba_gradient_mwe_km,Lapse_Rate,Time_System,Integration_Method,Integration_Surface,Source,Calibration
1953,NaN,NaN,-0.481174716935176,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.0788252830648239
1954,NaN,NaN,-0.101174716935176,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.078825283064824
1955,NaN,NaN,1.19882528306482,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.0788252830648239
1956,NaN,NaN,-0.561174716935176,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.0788252830648239
1957,NaN,NaN,0.0788252830648239,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.0788252830648239
1958,NaN,NaN,-0.501174716935176,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.0788252830648239
1959,NaN,NaN,-0.821174716935176,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.0788252830648239
1960,NaN,NaN,-0.741174716935176,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.0788252830648239
1961,NaN,NaN,-0.161174716935176,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.0788252830648239
1962,NaN,NaN,-0.611174716935176,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.0788252830648239
1963,NaN,NaN,0.248825283064824,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.078825283064824
1964,NaN,NaN,1.11882528306482,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.0788252830648239
1965,NaN,NaN,0.158825283064824,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.078825283064824
1966,NaN,NaN,-0.411174716935176,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.0788252830648239
1967,NaN,NaN,-0.521174716935176,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.0788252830648239
1968,NaN,NaN,-0.141174716935176,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.078825283064824
1969,NaN,NaN,0.288825283064824,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.078825283064824
1970,NaN,NaN,-0.011174716935176,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.078825283064824
1971,NaN,NaN,-0.321174716935176,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.0788252830648239
1972,NaN,NaN,-0.571174716935176,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.0788252830648239
1973,NaN,NaN,-0.441174716935176,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.0788252830648239
1974,NaN,NaN,-0.291174716935176,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.0788252830648239
1975,NaN,NaN,0.368825283064824,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.0788252830648239
1976,NaN,NaN,-0.171174716935176,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.0788252830648239
1977,NaN,NaN,-0.401174716935176,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.0788252830648239
1978,NaN,NaN,-0.721174716935176,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.0788252830648239
1979,NaN,NaN,-0.551174716935176,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.0788252830648239
1980,NaN,NaN,-0.191174716935176,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.0788252830648239
1981,NaN,NaN,-0.731174716935176,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.0788252830648239
1982,NaN,NaN,-0.351174716935176,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.0788252830648239
