Date,Temperature,Precipitation,Elevation,Units,Source,Station_ID
1/1/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
1/2/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
1/3/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
1/4/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
1/5/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
1/6/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
1/7/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
1/8/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
1/9/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
1/10/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
1/11/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
1/12/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
1/13/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
1/14/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
1/15/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
1/16/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
1/17/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
1/18/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
1/19/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
1/20/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
1/21/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
1/22/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
1/23/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
1/24/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
1/25/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
1/26/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
1/27/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
1/28/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
1/29/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
1/30/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
1/31/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
2/1/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
2/2/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
2/3/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
2/4/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
2/5/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
2/6/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
2/7/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
2/8/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
2/9/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
2/10/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
2/11/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
2/12/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
2/13/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
2/14/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
2/15/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
2/16/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
2/17/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
2/18/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
2/19/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
2/20/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
2/21/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
2/22/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
2/23/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
2/24/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
2/25/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
2/26/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
2/27/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
2/28/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
3/1/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
3/2/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
3/3/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
3/4/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
3/5/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
3/6/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
3/7/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
3/8/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
3/9/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
3/10/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
3/11/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
3/12/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
3/13/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
3/14/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
3/15/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
3/16/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
3/17/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
3/18/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
3/19/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
3/20/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
3/21/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
3/22/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
3/23/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
3/24/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
3/25/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
3/26/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
3/27/1945,NaN,NaN,4.9,SCI,JUNEAU,USW00025309
