Year,site_name,spring_date,fall_date,elevation,bw,ba,winter_ablation,summer_accumulation
1998,Divide,3/1/1998,8/31/1998,1575,NaN,1.57,NaN,NaN
1998,UNB,3/1/1998,8/31/1998,1212,NaN,-3,NaN,NaN
1998,LNB,3/1/1998,8/31/1998,1017,NaN,-2.51,NaN,NaN
1998,USB,3/1/1998,8/31/1998,1356,NaN,1.5,NaN,NaN
1998,LSB,3/1/1998,8/31/1998,998,NaN,-2.7,NaN,NaN
1998,CLFG,3/1/1998,8/31/1998,677,NaN,-4.2,NaN,NaN
1998,NSB,3/1/1998,8/31/1998,434,NaN,-8.5,NaN,NaN
1998,LNSB,3/1/1998,8/31/1998,350,NaN,-7.1,NaN,NaN
1998,Bench,3/1/1998,8/31/1998,129,NaN,-13,NaN,NaN
1998,Term,3/1/1998,8/31/1998,70,NaN,-16.5,NaN,NaN
1999,UNB,3/1/1999,8/31/1999,1212,NaN,NaN,NaN,NaN
1999,Divide,3/1/1999,8/31/1999,1575,NaN,4,NaN,NaN
2000,Divide,3/1/2000,8/31/2000,1575,NaN,4.5,NaN,NaN
2000,LSB,3/1/2000,8/31/2000,1005,NaN,0.17,NaN,NaN
2000,UNB,3/1/2000,8/31/2000,1199,NaN,NaN,NaN,NaN
2000,CLFG,3/1/2000,8/31/2000,692,NaN,-1.71,NaN,NaN
2000,NSB,3/1/2000,8/31/2000,352,NaN,-6.16,NaN,NaN
2000,Bench,3/1/2000,8/31/2000,119,NaN,-12.12,NaN,NaN
2001,Term,3/1/2001,8/31/2001,28,NaN,NaN,NaN,NaN
2001,Bench,3/1/2001,8/31/2001,105,NaN,NaN,NaN,NaN
2001,NSB,3/1/2001,8/31/2001,446,NaN,NaN,NaN,NaN
2001,CLFG,3/1/2001,8/31/2001,687,NaN,NaN,NaN,NaN
2001,LSB,3/1/2001,8/31/2001,988,NaN,NaN,NaN,NaN
2001,USB,3/1/2001,8/31/2001,1352,NaN,NaN,NaN,NaN
2001,UNB,3/1/2001,8/31/2001,1199,NaN,NaN,NaN,NaN
2001,Divide,3/1/2001,8/31/2001,1575,NaN,NaN,NaN,NaN
2002,UNB,3/1/2002,8/31/2002,1199,NaN,NaN,NaN,NaN
2002,Divide,3/1/2002,8/31/2002,1575,NaN,NaN,NaN,NaN
2003,Term,3/1/2003,8/31/2003,28,NaN,-11.18,NaN,NaN
2003,Bench,3/1/2003,9/1/2003,105,NaN,-12.31,NaN,NaN
2003,NSB,3/1/2003,8/31/2003,446,NaN,-8.7,NaN,NaN
2003,CLFG,3/1/2003,8/31/2003,687,NaN,-4.34,NaN,NaN
2003,LSB,3/1/2003,9/1/2003,988,NaN,-3.59,NaN,NaN
2003,USB,3/1/2003,8/31/2003,1352,NaN,0,NaN,NaN
2003,UNB,3/1/2003,8/31/2003,1199,NaN,-0.5,NaN,NaN
2003,Divide,3/1/2003,8/31/2003,1575,NaN,2.4,NaN,NaN
2004,Term,3/1/2004,6/1/2004,23,NaN,-10.77,NaN,NaN
2004,Bench,3/1/2004,8/31/2004,101,NaN,-13.3,NaN,NaN
2004,NSB,3/1/2004,8/31/2004,320,NaN,-10.7,NaN,NaN
2004,CLFG,3/1/2004,8/31/2004,678,NaN,-4.67,NaN,NaN
2004,LSB,3/1/2004,8/31/2004,979,NaN,-2.94,NaN,NaN
2004,USB,3/1/2004,8/31/2004,1356,NaN,0.32,NaN,NaN
2004,UNB,3/1/2004,8/31/2004,1199,NaN,-0.5,NaN,NaN
2004,Divide,3/1/2004,8/31/2004,1575,NaN,1.8,NaN,NaN
2005,Term,3/1/2005,8/31/2005,34,NaN,-11.96,NaN,NaN
2005,Bench,3/1/2005,8/31/2005,100,NaN,-14.37,NaN,NaN
2005,NSBa,3/1/2005,8/31/2005,307,NaN,-10.71,NaN,NaN
2005,NSB,3/1/2005,8/31/2005,443,NaN,-9.3,NaN,NaN
2005,CLFG,3/1/2005,8/31/2005,680,NaN,-3.73,NaN,NaN
2005,LSB,3/1/2005,8/31/2005,976,NaN,-2.28,NaN,NaN
2005,USB,3/1/2005,8/31/2005,1352,NaN,1.75,NaN,NaN
2005,UNB,3/1/2005,8/31/2005,1199,NaN,0.5,NaN,NaN
2005,Divide,3/1/2005,8/31/2005,1575,NaN,2.6,NaN,NaN
2006,UNB,3/1/2006,8/31/2006,1199,NaN,NaN,NaN,NaN
2006,Divide,3/1/2006,8/31/2006,1575,NaN,NaN,NaN,NaN
2007,UNB,5/23/2007,9/28/2007,1199,NaN,NaN,NaN,NaN
2007,Divide,5/23/2007,9/28/2007,1575,NaN,NaN,NaN,NaN
2007,CLFG,5/23/2007,9/28/2007,684,2.71,-0.97,NaN,NaN
2007,LSB,5/23/2007,9/28/2007,998,1.91,-1.85,NaN,NaN
2007,LNB,5/23/2007,9/28/2007,1073,2.55,-0.27,NaN,NaN
2007,NSB,5/23/2007,NaN,434,0.32,NaN,NaN,NaN
2008,UNB,5/23/2008,9/18/2008,1199,NaN,NaN,NaN,NaN
2008,Divide,5/23/2008,9/18/2008,1575,NaN,NaN,NaN,NaN
2009,Term,NaN,10/3/2009,51,NaN,-10.69,NaN,NaN
2009,Bench,NaN,10/3/2009,141,NaN,-11.88,NaN,NaN
2009,NSB,NaN,9/27/2009,438,NaN,-6.16,NaN,NaN
2009,LNB,NaN,9/2/2009,1078,NaN,0.52,NaN,NaN
2009,UNB,NaN,9/2/2009,1212,NaN,0.63,NaN,NaN
2009,USB,NaN,9/2/2009,1356,NaN,0.5,NaN,NaN
2010,NSB,3/1/2010,9/12/2010,434,NaN,-6.768,NaN,NaN
2010,CLFG,5/25/2010,9/12/2010,677,0.89,-3.639,NaN,NaN
2010,LSB,5/25/2010,9/12/2010,998,1.6,-1.53,NaN,NaN
2010,LNB,9/2/2009,9/12/2010,1073,NaN,0.579500076,NaN,NaN
2010,UNB,9/2/2009,9/12/2010,1199,NaN,0.91,NaN,NaN
2010,USB,9/2/2009,9/12/2010,1352,NaN,0.78068323,NaN,NaN
2010,Divide,8/31/2009,9/12/2010,1575,NaN,1.445822981,NaN,NaN
2011,CLFG,5/19/2011,9/11/2011,677,1.46,-2.46,NaN,NaN
2011,LSB,5/19/2011,9/11/2011,998,1.15,-2.83,NaN,NaN
2011,LNB,3/1/2011,9/11/2011,1073,NaN,0.85,NaN,NaN
