Year,Site_Name,Date1,Date2,Elevation_m,Surface1,Surface2,db_mwe
2007,LSB,5/23/2007,8/17/2007,998,snow,snow,-1.91
2010,Term,5/6/2010,7/1/2010,40,ice,ice,-3.83
2010,Bench,5/6/2010,7/1/2010,129,ice,ice,-4.35
2010,NSB,5/25/2010,9/12/2010,434,ice,ice,-6.77
2011,Term,5/3/2011,7/13/2011,96,ice,ice,-4.36
2011,Term,7/13/2011,10/21/2011,96,ice,ice,-4.63
2011,Term,5/3/2011,10/21/2011,96,ice,ice,-8.98
2011,Bench,7/13/2011,10/21/2011,129,ice,ice,-6.35
2011,NSB,8/17/2011,9/11/2011,434,ice,ice,-1.56
2011,NSB,9/11/2011,6/21/2012,434,ice,ice,-1.5
2013,CLFG,6/19/2013,7/16/2013,684,snow,snow,-0.96
2013,LSB,6/19/2013,8/1/2013,998,snow,snow,-1.2
