Year,Date_mmddyyyy,Elevation_m
1998,5/27/1998,574
1998,6/28/1998,695
1998,7/30/1998,927
1998,9/16/1998,1046
1999,5/14/1999,329
1999,6/24/1999,640
1999,7/1/1999,658
1999,8/3/1999,791
2000,5/8/2000,333
2000,5/24/2000,437
2000,6/2/2000,565
2000,7/4/2000,644
2002,4/28/2002,323
2002,6/8/2002,568
2002,6/15/2002,572
2002,8/2/2002,786
2002,9/3/2002,964
2003,4/24/2003,569
2003,5/1/2003,574
2003,7/12/2003,927
2003,8/5/2003,980
2003,9/16/2003,1047
2004,5/3/2004,437
2004,5/11/2004,568
2004,6/20/2004,663
2004,7/14/2004,783
2004,7/22/2004,797
2004,8/7/2004,1040
2004,8/24/2004,1055
2005,4/28/2005,430
2005,5/7/2005,566
2005,6/7/2005,654
2005,6/16/2005,665
2005,6/24/2005,678
2005,8/10/2005,802
2006,5/26/2006,570
2006,6/10/2006,660
2006,7/5/2006,745
2006,7/28/2006,800
2006,9/14/2006,1041
2007,4/19/2007,246
2007,5/20/2007,324
2007,7/15/2007,691
2007,8/8/2007,795
2007,9/2/2007,995
2008,7/2/2008,545
2008,8/19/2008,745
2009,5/1/2009,276
2009,5/10/2009,289
2009,5/18/2009,352
2009,6/2/2009,400
2009,7/4/2009,605
2009,7/13/2009,639
2009,7/29/2009,670
2009,8/5/2009,730
2010,4/11/2010,279
2010,5/20/2010,548
2010,6/6/2010,650
2010,7/8/2010,747
2010,9/18/2010,989
2011,5/31/2011,539
2011,7/10/2011,714
2011,9/12/2011,990
2012,4/7/2012,177
2012,6/3/2012,397
2012,7/12/2012,586
2012,8/13/2012,669
2012,8/29/2012,732
2013,5/20/2013,195
2013,5/21/2013,288
2013,6/30/2013,630
2013,7/16/2013,662
2013,8/1/2013,769
2013,9/2/2013,880
2014,3/20/2014,75
2014,4/30/2014,388
2014,5/7/2014,399
2014,5/16/2014,545
2014,6/16/2014,619
2014,7/18/2014,766
2014,8/3/2014,893
2014,8/20/2014,970
2015,5/3/2015,540
2015,5/19/2015,623
2015,5/26/2015,642
2015,7/6/2015,776
2015,7/21/2015,854
2015,8/7/2015,983
2015,8/14/2015,1031
2015,9/8/2015,1096
2016,3/2/2016,523
2016,5/13/2016,585
2016,5/28/2016,627
2016,6/14/2016,675
2016,7/7/2016,761
2016,9/1/2016,1050
2018,4/8/2018,251
2018,4/16/2018,402
2018,5/18/2018,616
2018,6/3/2018,633
2018,6/12/2018,651
2018,6/19/2018,711
2018,7/5/2018,766
2018,7/21/2018,951
2019,4/28/2019,520
2019,5/13/2019,601
2019,5/22/2019,628
2019,5/29/2019,642
2019,6/6/2019,716
