Year,site_name,spring_date,fall_date,elevation,bw,ba,winter_ablation,summer_accumulation,bw_fill,ba_fill
1998,Divide,729886,729998,1575,2.62793184983491,1.57,NaN,NaN,2,0
1998,UNB,729872,729998,1212,0.263430320890786,-3,NaN,NaN,2,0
1998,LNB,729864,729998,1017,0.739138219059706,-2.51,NaN,NaN,2,0
1998,USB,729882,729998,1356,2.79667875531958,1.5,NaN,NaN,2,0
1998,LSB,729864,729998,998,0.700708525747774,-2.7,NaN,NaN,2,0
1998,CLFG,729846,729998,677,0.527518434357467,-4.2,NaN,NaN,2,0
1998,NSB,729827,729998,434,-2.16151731464022,-8.5,NaN,NaN,2,0
1998,LNSB,729784,729998,350,-0.247720734917378,-7.1,NaN,NaN,2,0
1998,Bench,729784,729998,129,-5.05099413873476,-13,NaN,NaN,2,0
1998,Term,729780,729998,70,-8.07279225722229,-16.5,NaN,NaN,2,0
1998,TSL_574,729902,730060,574,0,-6.10075257820789,NaN,NaN,0,2
1998,TSL_695,729934,730055,695,0,-4.20538582326321,NaN,NaN,0,2
1998,TSL_927,729966,730038,927,0,-1.97155720856895,NaN,NaN,0,2
1998,TSL_1046,730014,730037,1046,0,-0.320864061293737,NaN,NaN,0,2
1999,UNB,730270,730391,1212,1.42245535645898,-0.160081013637523,NaN,NaN,2,2
1999,Divide,730274,730363,1575,4.94426240490607,4,NaN,NaN,2,0
1999,TSL_329,730254,730423,329,0,-7.3143755407792,NaN,NaN,0,2
1999,TSL_640,730295,730418,640,0,-4.60928971011054,NaN,NaN,0,2
1999,TSL_658,730302,730418,658,0,-4.26217301302794,NaN,NaN,0,2
1999,TSL_791,730335,730418,791,0,-2.24169230883259,NaN,NaN,0,2
2000,Divide,730635,730729,1575,5.21724063876689,4.5,NaN,NaN,2,0
2000,LSB,730606,730729,1005,1.61272762421203,0.17,NaN,NaN,2,0
2000,UNB,730606,730757,1199,1.60902580995356,0.281781391814038,NaN,NaN,2,2
2000,CLFG,730594,730729,692,1.20897583624823,-1.71,NaN,NaN,2,0
2000,NSB,730587,730729,352,-0.828664472007467,-6.16,NaN,NaN,2,0
2000,Bench,730513,730729,119,-5.36161986501879,-12.12,NaN,NaN,2,0
2000,TSL_333,730614,730787,333,0,-6.91912122007936,NaN,NaN,0,2
2000,TSL_437,730630,730787,437,0,-6.04969785974045,NaN,NaN,0,2
2000,TSL_565,730639,730786,565,0,-5.30410410760815,NaN,NaN,0,2
2000,TSL_644,730671,730786,644,0,-3.75167393065826,NaN,NaN,0,2
2001,Term,730907,731178,28,-0.931910498882351,-10.9854996744434,NaN,NaN,2,2
2001,Bench,730907,731178,105,-0.684388354005985,-10.2277693690071,NaN,NaN,2,2
2001,NSB,730949,731147,446,0.470233887427413,-6.09438895062562,NaN,NaN,2,2
2001,CLFG,730954,731143,687,0.949251455593471,-3.67451476669062,NaN,NaN,2,2
2001,LSB,730980,731136,988,1.32831839520904,-1.48676367718646,NaN,NaN,2,2
2001,USB,730994,731121,1352,1.63059510758511,0.269975075453825,NaN,NaN,2,2
2001,UNB,730982,731134,1199,1.55149548314256,-0.151079474655702,NaN,NaN,2,2
2001,Divide,731005,731121,1575,1.80528684867491,0.796481172542958,NaN,NaN,2,2
2002,UNB,731348,731492,1199,1.1215480422066,-1.12670939431575,NaN,NaN,2,2
2002,Divide,731350,731472,1575,1.28595703370603,0.316417803922712,NaN,NaN,2,2
2002,TSL_323,731334,731562,323,0,-8.16086638011794,NaN,NaN,0,2
2002,TSL_568,731375,731561,568,0,-5.56259389393765,NaN,NaN,0,2
2002,TSL_572,731382,731561,572,0,-5.20923907447759,NaN,NaN,0,2
2002,TSL_786,731430,731534,786,0,-2.44907305545519,NaN,NaN,0,2
2002,TSL_964,731462,731526,964,0,-0.894931673870546,NaN,NaN,0,2
2003,Term,731596,731824,28,-3.50437725722993,-11.18,NaN,NaN,2,0
2003,Bench,731657,731825,105,-4.95438227292882,-12.31,NaN,NaN,2,0
2003,NSB,731667,731824,446,-2.91612347432571,-8.7,NaN,NaN,2,0
2003,CLFG,731677,731824,687,0.315208562194271,-4.34,NaN,NaN,2,0
2003,LSB,731689,731825,988,0.215465298978148,-3.59,NaN,NaN,2,0
2003,USB,731716,731824,1352,1.22046500796054,0,NaN,NaN,2,0
2003,UNB,731692,731824,1199,1.21816527404726,-0.5,NaN,NaN,2,0
2003,Divide,731716,731824,1575,3.36100030962404,2.4,NaN,NaN,2,0
2003,TSL_569,731695,731882,569,0,-6.79941443136383,NaN,NaN,0,2
2003,TSL_574,731702,731882,574,0,-6.52255793000366,NaN,NaN,0,2
2003,TSL_927,731774,731880,927,0,-2.90328044544497,NaN,NaN,0,2
2003,TSL_980,731798,731880,980,0,-1.73264735047726,NaN,NaN,0,2
2003,TSL_1047,731840,731880,1047,0,-0.308480922166227,NaN,NaN,0,2
2004,Term,731981,732099,23,-8.16861395707395,-10.77,NaN,NaN,2,0
2004,Bench,731984,732190,101,-4.73233473990452,-13.3,NaN,NaN,2,0
2004,NSB,732038,732190,320,-3.28765520726423,-10.7,NaN,NaN,2,0
2004,CLFG,732039,732190,678,0.641737266335873,-4.67,NaN,NaN,2,0
2004,LSB,732063,732190,979,0.977501060679557,-2.94,NaN,NaN,2,0
2004,USB,732063,732190,1356,2.01693854910017,0.32,NaN,NaN,2,0
2004,UNB,732063,732190,1199,1.71071007318275,-0.5,NaN,NaN,2,0
2004,Divide,732063,732190,1575,3.22356908144256,1.8,NaN,NaN,2,0
2004,TSL_437,732070,732237,437,0,-8.11745031115041,NaN,NaN,0,2
2004,TSL_568,732078,732237,568,0,-7.35220479604875,NaN,NaN,0,2
2004,TSL_663,732118,732237,663,0,-5.31743427773885,NaN,NaN,0,2
2004,TSL_783,732142,732234,783,0,-3.62022171056835,NaN,NaN,0,2
2004,TSL_797,732150,732234,797,0,-3.12776518402754,NaN,NaN,0,2
2004,TSL_1040,732166,732230,1040,0,-1.89821461042678,NaN,NaN,0,2
2004,TSL_1055,732183,732230,1055,0,-0.991063145277185,NaN,NaN,0,2
2005,Term,732365,732555,34,-3.33695519136901,-11.96,NaN,NaN,2,0
2005,Bench,732366,732555,100,-6.14868021223653,-14.37,NaN,NaN,2,0
2005,NSBa,732369,732555,307,-3.62134991278471,-10.71,NaN,NaN,2,0
2005,NSB,732377,732555,443,-3.0125530202325,-9.3,NaN,NaN,2,0
2005,CLFG,732406,732555,680,0.93132850012965,-3.73,NaN,NaN,2,0
2005,LSB,732420,732555,976,1.14826812074278,-2.28,NaN,NaN,2,0
2005,USB,732422,732555,1352,3.33746725761898,1.75,NaN,NaN,2,0
2005,UNB,732421,732555,1199,2.2879810110671,0.5,NaN,NaN,2,0
2005,Divide,732423,732555,1575,3.85844429006816,2.6,NaN,NaN,2,0
2005,TSL_430,732430,732640,430,0,-8.05392259897863,NaN,NaN,0,2
2005,TSL_566,732439,732609,566,0,-7.11485437665669,NaN,NaN,0,2
2005,TSL_654,732470,732609,654,0,-5.51165680714632,NaN,NaN,0,2
2005,TSL_665,732479,732609,665,0,-5.04405702498817,NaN,NaN,0,2
2005,TSL_678,732487,732609,678,0,-4.63447430788784,NaN,NaN,0,2
2005,TSL_802,732534,732599,802,0,-2.07214127632603,NaN,NaN,0,2
2006,UNB,732813,732960,1199,1.50696208927623,-0.231728892651073,NaN,NaN,2,2
2006,Divide,732815,732928,1575,2.0846242879102,1.14764513357305,NaN,NaN,2,2
2006,TSL_570,732823,732974,570,0,-5.69889162613306,NaN,NaN,0,2
2006,TSL_660,732838,732974,660,0,-4.76762680829935,NaN,NaN,0,2
2006,TSL_745,732863,732962,745,0,-3.41682419587491,NaN,NaN,0,2
2006,TSL_800,732886,732962,800,0,-2.28944141479973,NaN,NaN,0,2
2006,TSL_1041,732934,732961,1041,0,-0.448390613004049,NaN,NaN,0,2
2007,UNB,733179,733316,1199,1.61145693202418,-0.0487026983033099,NaN,NaN,2,2
2007,Divide,733191,733300,1575,2.07498472623825,1.04475107293825,NaN,NaN,2,2
2007,CLFG,733185,733313,684,2.71,-0.97,NaN,NaN,0,0
2007,LSB,733185,733313,998,1.91,-1.85,NaN,NaN,0,0
2007,LNB,733185,733313,1073,2.55,-0.27,NaN,NaN,0,0
2007,NSB,733185,733349,434,0.32,-5.8931333951058,NaN,NaN,0,2
2007,TSL_246,733151,733350,246,0,-8.27491221575425,NaN,NaN,0,2
2007,TSL_324,733182,733350,324,0,-7.21435814595401,NaN,NaN,0,2
2007,TSL_691,733238,733332,691,0,-3.37704347359811,NaN,NaN,0,2
2007,TSL_795,733262,733332,795,0,-1.95096225905517,NaN,NaN,0,2
2007,TSL_995,733287,733317,995,0,-0.658551327238678,NaN,NaN,0,2
2008,UNB,733544,733683,1199,1.6372774173925,0.309359718327363,NaN,NaN,2,2
2008,Divide,733545,733671,1575,1.99989751292768,1.30189208047832,NaN,NaN,2,2
2008,TSL_545,733591,733704,545,0,-3.81895215249338,NaN,NaN,0,2
2008,TSL_745,733639,733686,745,0,-1.34668773239314,NaN,NaN,0,2
2009,Term,733867,734049,51,-2.12300724823678,-10.69,NaN,NaN,2,0
2009,Bench,733867,734049,141,-3.889641222051,-11.88,NaN,NaN,2,0
