Year,site_name,elevation,bw,bs,ba,mass_maximum_date,mass_minimum_date,Lapse_Rate,Time_System,Integration_Method,Integration_Surface
1998,Term,70,-9.95,-8.98,-18.93,19-Apr-1998,11-Oct-1998,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1998,Bench,129,-6.56,-8.74,-15.3,19-Apr-1998,11-Oct-1998,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1998,LNSB,350,-1.14,-7.81,-8.95,19-Apr-1998,11-Oct-1998,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1998,NSB,434,-2.69,-7.5,-10.18,19-Apr-1998,11-Oct-1998,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1998,TSL_574,574,0.26,-6.3,-6.04,19-Apr-1998,11-Oct-1998,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1998,CLFG,677,0.35,-5.75,-5.4,19-Apr-1998,11-Oct-1998,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1998,TSL_695,695,0.87,-5.01,-4.14,19-Apr-1998,11-Oct-1998,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1998,TSL_927,927,1.43,-3.42,-1.99,19-Apr-1998,11-Oct-1998,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1998,LSB,998,0.69,-4.09,-3.4,19-Apr-1998,11-Oct-1998,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1998,LNB,1017,0.73,-3.92,-3.19,19-Apr-1998,11-Oct-1998,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1998,TSL_1046,1046,1.87,-2.19,-0.32,19-Apr-1998,11-Oct-1998,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1998,UNB,1212,0.25,-3.68,-3.43,19-Apr-1998,11-Oct-1998,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1998,USB,1356,2.76,-1.36,1.4,19-Apr-1998,11-Oct-1998,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1998,Divide,1575,2.55,-0.9,1.65,19-Apr-1998,11-Oct-1998,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1999,TSL_329,329,-0.27,-7,-7.27,02-May-1999,07-Oct-1999,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1999,TSL_640,640,0.41,-5.07,-4.65,02-May-1999,07-Oct-1999,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1999,TSL_658,658,0.53,-4.84,-4.31,02-May-1999,07-Oct-1999,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1999,TSL_791,791,1.29,-3.52,-2.23,02-May-1999,07-Oct-1999,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1999,UNB,1212,1.29,-1.49,-0.19,02-May-1999,07-Oct-1999,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1999,Divide,1575,4.64,-0.65,3.99,02-May-1999,07-Oct-1999,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2000,Bench,119,-6.77,-7.43,-14.19,29-Apr-2000,28-Sep-2000,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2000,TSL_333,333,-0.34,-6.53,-6.87,29-Apr-2000,28-Sep-2000,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2000,NSB,352,-1.37,-6.29,-7.66,29-Apr-2000,28-Sep-2000,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2000,TSL_437,437,-0.1,-5.9,-6,29-Apr-2000,28-Sep-2000,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2000,TSL_565,565,0.15,-5.34,-5.19,29-Apr-2000,28-Sep-2000,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2000,TSL_644,644,0.69,-4.34,-3.64,29-Apr-2000,28-Sep-2000,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2000,CLFG,692,1,-3.73,-2.73,29-Apr-2000,28-Sep-2000,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2000,LSB,1005,1.6,-1.79,-0.19,29-Apr-2000,28-Sep-2000,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2000,UNB,1199,1.6,-1.32,0.28,29-Apr-2000,28-Sep-2000,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2000,Divide,1575,4.95,-0.58,4.37,29-Apr-2000,28-Sep-2000,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2001,Term,28,-3.15,-8.42,-11.56,09-May-2001,10-Oct-2001,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2001,Bench,105,-2.49,-8.21,-10.7,09-May-2001,10-Oct-2001,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2001,NSB,446,-0.11,-6.26,-6.37,09-May-2001,10-Oct-2001,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2001,CLFG,687,0.7,-4.55,-3.85,09-May-2001,10-Oct-2001,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2001,LSB,988,1.2,-2.8,-1.6,09-May-2001,10-Oct-2001,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2001,UNB,1199,1.54,-1.7,-0.16,09-May-2001,10-Oct-2001,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2001,USB,1352,1.6,-1.3,0.31,09-May-2001,10-Oct-2001,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2001,Divide,1575,1.68,-0.82,0.86,09-May-2001,10-Oct-2001,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2002,TSL_323,323,-0.39,-7.61,-8,11-May-2002,09-Nov-2002,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2002,TSL_568,568,0.39,-5.99,-5.6,11-May-2002,09-Nov-2002,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2002,TSL_572,572,0.54,-5.78,-5.24,11-May-2002,09-Nov-2002,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2002,TSL_786,786,1.33,-3.81,-2.48,11-May-2002,09-Nov-2002,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2002,TSL_964,964,1.66,-2.57,-0.91,11-May-2002,09-Nov-2002,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2002,UNB,1199,1.11,-2.23,-1.11,11-May-2002,09-Nov-2002,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2002,Divide,1575,1.13,-0.57,0.56,11-May-2002,09-Nov-2002,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2003,Term,28,-4.47,-9.27,-13.74,16-Apr-2003,20-Oct-2003,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2003,Bench,105,-5.74,-8.93,-14.68,16-Apr-2003,20-Oct-2003,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2003,NSB,446,-3.23,-7.19,-10.42,16-Apr-2003,20-Oct-2003,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2003,TSL_569,569,0.03,-6.75,-6.72,16-Apr-2003,20-Oct-2003,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2003,TSL_574,574,0.13,-6.58,-6.45,16-Apr-2003,20-Oct-2003,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2003,CLFG,687,0.3,-5.82,-5.52,16-Apr-2003,20-Oct-2003,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2003,TSL_927,927,0.95,-3.83,-2.88,16-Apr-2003,20-Oct-2003,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2003,TSL_980,980,1.3,-3.01,-1.71,16-Apr-2003,20-Oct-2003,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
