Year,Bw_mwe,Bs_mwe,Ba_mwe,ELA_m,Bw_Date,Ba_Date,bw_gradient_mwe_km,bs_gradient_mwe_km,ba_gradient_mwe_km,Lapse_Rate,Time_System,Integration_Method,Integration_Surface,Source,Calibration
1998,1.15,-3.06,-1.91,1376.09608860986,04/19/1998,10/11/1998,12.63        -0.19,NaN,18.98         4.77,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.1
1999,2.27,-2.42,-0.15,1144.48549686225,05/02/1999,10/07/1999,2.06        4.01,NaN,9.69        8.39,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.1
2000,2.4,-2.06,0.34,1057.21194583801,04/29/2000,09/28/2000,12.33         2.99,NaN,19.11         7.63,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.1
2001,1.22,-2.43,-1.21,1314.10971151339,05/09/2001,10/10/2001,5.45        0.13,NaN,11.85         4.08,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.1
2002,1.04,-2.56,-1.52,1418.57734517871,05/11/2002,11/09/2002,4.06       -0.38,NaN,12.83         3.71,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.1
2003,1.1,-2.8,-1.7,1305.6970565661,04/16/2003,10/20/2003,6.91         1.5,NaN,13.33         7.07,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.1
2004,1.5,-3.33,-1.83,1338.71787927529,04/25/2004,10/11/2004,11.89          0.5,NaN,18.74         6.16,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.1
2005,2.09,-3.14,-1.05,1229.3567239869,04/19/2005,10/08/2005,11.4         2.86,NaN,18.02         8.67,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.1
2006,1.25,-2.47,-1.22,1264.90066497751,05/08/2006,10/12/2006,5.41        0.87,NaN,16.81         4.89,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.1
2007,1.62,-2.48,-0.86,1275.66963687675,05/11/2007,10/01/2007,4.92       -0.54,NaN,11.61         2.95,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.1
2008,1.48,-1.76,-0.28,935.445005537051,05/16/2008,10/03/2008,3.05       -0.21,NaN,9.72        1.13,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.1
2009,1.82,-2.12,-0.3,1159.73998756916,04/21/2009,10/15/2009,10.44         0.89,NaN,17.74         6.92,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.1
2010,1.78,-2.65,-0.87,1211.07357732304,04/07/2010,10/03/2010,4.23        0.88,NaN,12.93         5.08,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.1
2011,1.55,-2.37,-0.82,1199.74169253604,05/12/2011,10/10/2011,3.51        0.31,NaN,9.52        4.03,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.1
2012,2.45,-1.66,0.79,820.555333885028,05/16/2012,10/11/2012,5.16        1.66,NaN,13.55          3.1,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.1
2013,1.55,-2.75,-1.2,1366.50028701671,05/04/2013,10/07/2013,3.31        0.15,NaN,11.16         4.03,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.1
2014,1.33,-2.99,-1.66,1368.9857729081,04/09/2014,10/18/2014,3.41        1.27,NaN,11.36         6.52,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.1
2015,1.3,-3.21,-1.91,1397.94279182488,04/20/2015,10/28/2015,5.24       -0.44,NaN,16.63          3.7,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.1
2016,1.14,-3.53,-2.39,1484.16181499902,05/06/2016,10/14/2016,10.94         0.47,NaN,24.12         5.17,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.1
2017,2.31,-3.87,-1.56,1407.34276256395,05/08/2017,10/09/2017,-6.81        8.09,NaN,5.48        2.39,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.1
2018,1.01,-3.49,-2.48,1485.71172179265,05/03/2018,10/29/2018,3.65        0.91,NaN,10.41         6.85,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.1
