Year,Bw_mwe,Bs_mwe,Ba_mwe,Source
1959,3.28,-2.58,0.7,WGMS
1960,2.21,-2.71,-0.5,WGMS
1961,2.4,-3.5,-1.1,WGMS
1962,2.5,-2.3,0.2,WGMS
1963,2.23,-3.53,-1.3,WGMS
1964,3.25,-2.05,1.2,WGMS
1965,3.48,-3.65,-0.17,WGMS
1966,2.47,-3.5,-1.03,WGMS
1967,3.29,-3.92,-0.63,WGMS
1968,3,-2.99,0.01,WGMS
1969,3.17,-3.9,-0.73,WGMS
1970,2.41,-3.61,-1.2,WGMS
1971,3.51,-2.91,0.6,WGMS
1972,4.27,-2.84,1.43,WGMS
1973,2.21,-3.25,-1.04,WGMS
1974,3.65,-2.63,1.02,WGMS
1975,3.06,-3.11,-0.05,WGMS
1976,3.53,-2.58,0.95,WGMS
1977,1.57,-2.87,-1.3,WGMS
1978,2.49,-2.87,-0.38,WGMS
1979,2.18,-3.74,-1.56,WGMS
1980,1.83,-2.85,-1.02,WGMS
1981,2.28,-3.12,-0.84,WGMS
1982,3.11,-3.03,0.08,WGMS
1983,1.91,-2.68,-0.77,WGMS
1984,2.38,-2.26,0.12,WGMS
1985,2.18,-3.38,-1.2,WGMS
1986,2.45,-3.06,-0.61,WGMS
1987,2.04,-4.1,-2.06,WGMS
1988,2.44,-3.78,-1.34,WGMS
1989,2.43,-3.34,-0.91,WGMS
1990,2.6,-2.71,-0.11,WGMS
1991,3.54,-3.47,0.07,WGMS
1992,1.91,-3.92,-2.01,WGMS
1993,1.98,-3.21,-1.23,WGMS
1994,2.39,-3.99,-1.6,WGMS
1995,2.86,-3.55,-0.69,WGMS
1996,2.94,-2.84,0.1,WGMS
1997,3.71,-3.08,0.63,WGMS
1998,2.76,-4.62,-1.86,WGMS
1999,3.59,-2.57,1.02,WGMS
2000,3.32,-2.94,0.38,WGMS
2001,1.9,-3.47,-1.57,WGMS
2002,4.02,-3.47,0.55,WGMS
2003,2.66,-4.76,-2.1,WGMS
2004,2.08,-3.73,-1.65,WGMS
2005,1.97,-4.42,-2.45,WGMS
2006,2.61,-4.19,-1.58,WGMS
2007,3.41,-3.61,-0.2,WGMS
2008,3.22,-3.51,-0.29,WGMS
2009,3.12,-4.98,-1.86,WGMS
2010,2.54,-3.35,-0.81,WGMS
2011,3.81,-2.6,1.21,WGMS
2012,3.68,-3.39,0.28,WGMS
2013,3.61,-3.9,-0.29,WGMS
2014,3.71,-4.09,-0.38,WGMS
