site_name,ks,ki,Rsquared_ks,Rsquared_ki,RMSE_ks,RMSE_ki
A,-0.00426965294325508,-0.00600953849251858,-0.866666666666667,-0.515151515151515,0.193681995273763,0.840112883230249
B,-0.00341110611783793,-0.00315022415087657,-0.512820512820513,0.8,0.405437681503606,0.473810908500155
C,-0.00385927652255981,-0.006065163912296,-0.666666666666667,-0.529043268444822,0.260502619242533,0.499712365102915
E,NaN,-0.00636827202431625,NaN,-0.675889328063241,NaN,0.999079963312774
F,NaN,-0.00715804591294169,NaN,-0.538461538461538,NaN,0.896546704271973
G,NaN,-0.00708992463237578,NaN,-0.866666666666667,NaN,0.874519830047016
H,NaN,-0.00690990570569202,NaN,-1,NaN,0.291273411883157
I,NaN,-0.00647422345335388,NaN,NaN,NaN,0.325403400693442
J,NaN,-0.00649446489445043,NaN,-0.4,NaN,0.547236848102858
K,-0.00357305736096961,-0.00587964271153185,NaN,-0.666666666666667,0,0.337354098041763
L,NaN,-0.00651625401939428,NaN,-0.763762615825973,NaN,0.417786463624092
M,-0.00416814956603151,-0.0111923116175412,NaN,NaN,0,0
P1,-0.00364143407729439,-0.00521986939172822,-0.6,-0.723076923076923,0.175470560405008,0.345606892131636
All_Sites,-0.00366160081588738,-0.00654582857341661,-0.563218390804598,-0.725005252112702,0.32155256223874,0.687955333183808
