Year,site_name,spring_date,fall_date,elevation,bw,ba,winter_ablation,summer_accumulation,bw_fill,ba_fill
1986,B,725507,725638,2041,2.88,0.12,NaN,0,0,0
1986,P1,725507,725681,1864,2.75,-0.28,NaN,0,0,0
1986,J,725508,725681,1683,1.19,-4.91,NaN,0,0,0
1986,I,725508,725681,1651,1.4,-5.31,NaN,0,0,0
1987,A,725863,726051,2063,2.04,-0.89,NaN,0,0,0
1987,C,725863,726051,1961,2.16,-1.13,NaN,0,0,0
1987,P1,725863,726051,1861,2.1,-2.35,NaN,0,0,0
1987,F,725863,726051,1731,1.86,-3.56,NaN,0,0,0
1987,J,725863,726051,1669,1.34,-5.04,NaN,0,0,0
1987,I,725863,726051,1646,1.58,-5.31,NaN,0,0,0
1988,P1,726242,726403,1853,2.1,-1.3,NaN,0,0,0
1989,A,726591,726750,2071,2.49,-0.2,NaN,0,0,0
1989,P1,726591,726750,1861,2.7,-0.35,NaN,0,0,0
1989,K,726592,726750,1741,2.35,-2.43,NaN,0,0,0
1989,J,726592,726750,1661,0.91,-5.99,NaN,0,0,0
1989,C,726591,726750,1966,2.7,0.0391976378959588,NaN,NaN,0,1
1990,B,726954,727109,2052,3.17,0.92,NaN,0,0,0
1990,P1,726954,727109,1846,2.79,-0.36,NaN,0,0,0
1990,K,726954,727033,1751,1.82,0.38,NaN,0,0,0
1990,J,726954,727033,1661,0.59,-2.64,NaN,0,0,0
1990,C,726954,727107,1959,2.83,-0.800934162824406,NaN,NaN,0,2
1991,A,727319,727487,2057,3.93,0.61,0,0,0,0
1991,P1,727319,727487,1851,3.83,0.3,0,NaN,0,0
1991,K,727319,727492,1746,3.56,-0.9,0,NaN,0,0
1991,J,727319,727492,1652,1.42,-5.24,0,NaN,0,0
1992,B,727669,727847,2046,2.3,-0.31,NaN,0,0,0
1992,P1,727669,727847,1853,2.03,-2.29,NaN,0,0,0
1992,K,727669,727847,1762,1.08,-4.5,NaN,0,0,0
1992,L,727669,727847,1686,0.59,-6.02,-0.15,0,0,0
1992,C,727669,727847,1962,2.16,-1.27569889272639,NaN,NaN,0,1
1993,B,728054,728214,2046,2.23,0.09,NaN,0,0,0
1993,C,728054,728214,1946,1.85,0.0649550351863674,NaN,NaN,0,1
1993,P1,728054,728159,1845,2.12,-1.16,NaN,0,0,0
1993,K,728054,728214,1736,2.35,-2.15,NaN,0,0,0
1993,L,728054,728214,1652,0.54,-6.46,NaN,0,0,0
1994,A,728447,728592,2057,2.42,-1.02,0,0.33,0,0
1994,P1,728417,728592,1835,2.28,-1.76,0,0.33,0,0
1994,F,728417,728592,1725,1.65,-3.94,0,0.25,0,0
1994,L,728417,728592,1656,1.5,-5.12,0,0.15,0,0
1994,C,728418,728592,1952,2.58,-0.497997941746657,NaN,NaN,0,1
1995,B,728794,728978,2038,3.08,0.11,0,NaN,0,0
1995,P1,728794,728978,1845,2.86,-0.81,0,NaN,0,0
1995,E,728794,728978,1750,2.31,-3.29,0,NaN,0,0
1995,L,728795,728978,1654,1.08,-5.29,0,NaN,0,0
1995,C,728794,728978,1943,3.43,-0.0915399107070703,NaN,NaN,0,1
1996,A,729169,729307,2069,3.3,0.79,0,0,0,0
1996,P1,729169,729307,1843,2.95,0,0,0,0,0
1996,E,729169,729328,1742,2.02,-2.63,0,0.5,0,0
1996,L,729169,729328,1637,0.86,-5.59,NaN,0.5,0,0
1996,G,729169,729328,1680,2.24,-3.3,NaN,0.5,0,0
1996,B,729169,729328,2025,3.30926686827702,1.61,NaN,NaN,1,0
1997,P1,729519,729698,1837,3.34,-0.09,0,0.5,0,0
1997,E,729519,729698,1729,2.68,-1.67,0,0.28,0,0
1997,L,729519,729698,1639,2.04,-4.37,0,0.1,0,0
1997,G,729519,729698,1682,2.35,-3.75,0,0.19,0,0
1997,A,729519,729662,2069,3.99585896668374,1.79782491862887,NaN,NaN,1,2
1997,B,729519,729664,2035,3.94308510936694,1.59963603028323,NaN,NaN,1,2
1997,C,729519,729664,1977,3.85305911747358,1.2416543783534,NaN,NaN,1,2
1998,P1,729880,730047,1843,2.39,-2.47,0,0.14,0,0
1998,E,729881,730047,1726,2.3,-3.49,0,0.08,0,0
1998,L,729880,730038,1637,1.19,-6.46,NaN,0,0,0
1998,G,729881,730047,1673,1.57,-6.07,0,0.03,0,0
1998,C,729881,730047,1977,3.21,-0.97,0,0.21,0,0
1998,B,729881,730047,2035,3.36,-0.77,0,0.25,0,0
1999,P1,730267,730408,1835,3.67,0.9,0,NaN,0,0
1999,E,730267,730408,1728,2.59,-2.91,0,NaN,0,0
1999,L,730267,730408,1652,2.43,-2.39,0,NaN,0,0
1999,G,730267,730408,1679,2.86,-3.26,0,NaN,0,0
1999,C,730267,730408,1957,4.09291045803947,1.68,0,NaN,1,0
2000,P1,730613,730764,1856,3,0.18,NaN,0,0,0
2000,E,730613,730764,1771,2.7,-0.74,NaN,0,0,0
2000,A,730613,730760,2079,3.56166614704406,1.86685787115719,NaN,NaN,1,2
2000,B,730613,730760,2042,3.50423577290519,1.76226923095852,NaN,NaN,1,2
2000,C,730613,730760,1974,3.39868805827159,1.37549904636578,NaN,NaN,1,2
2001,A,730981,731152,2079,1.81,0.566251064862545,NaN,NaN,0,1
2001,B,730981,731152,2042,1.95,0.391158682790359,NaN,NaN,0,1
