Year,site_name,spring_date,fall_date,elevation,bw,ba,winter_ablation,summer_accumulation
1986,B,05/15/1986,09/23/1986,2041,2.88,0.12,NaN,0
1986,P1,05/15/1986,11/05/1986,1864,2.75,-0.28,NaN,0
1986,J,05/16/1986,11/05/1986,1683,1.19,-4.91,NaN,0
1986,I,05/16/1986,11/05/1986,1651,1.4,-5.31,NaN,0
1986,A,05/15/1986,10/25/1986,2059,2.88223751122765,0.0674160112619339,NaN,NaN
1986,C,05/15/1986,10/25/1986,1958.5,2.76811815529693,-0.448467210978943,NaN,NaN
1986,E,05/15/1986,10/25/1986,1822,2.45937070063971,-1.49005487502684,NaN,NaN
1986,F,05/15/1986,10/25/1986,1731.85714285714,1.72703834911822,-3.66003105691116,NaN,NaN
1986,G,05/15/1986,10/25/1986,1660,1.14326153007653,-5.38982189603607,NaN,NaN
1986,H,05/15/1986,10/25/1986,1747,1.85006089945305,-3.29550256993852,NaN,NaN
1986,K,05/15/1986,10/25/1986,1711,1.55759219488346,-4.16211746349613,NaN,NaN
1986,L,05/15/1986,10/25/1986,1890,2.69033531070733,-0.800089108725212,NaN,NaN
1986,M,05/15/1986,10/25/1986,1839,2.59748092224202,-1.08082006418019,NaN,NaN
1987,A,05/06/1987,11/10/1987,2063,2.04,-0.89,NaN,0
1987,C,05/06/1987,11/10/1987,1961,2.16,-1.13,NaN,0
1987,P1,05/06/1987,11/10/1987,1861,2.1,-2.35,NaN,0
1987,F,05/06/1987,11/10/1987,1731,1.86,-3.56,NaN,0
1987,J,05/06/1987,11/10/1987,1669,1.34,-5.04,NaN,0
1987,I,05/06/1987,11/10/1987,1646,1.58,-5.31,NaN,0
1987,B,05/06/1987,11/10/1987,2043.75,2.59045213085069,-0.666603224973288,NaN,NaN
1987,E,05/06/1987,11/10/1987,1814,2.11990889348883,-2.33837441126485,NaN,NaN
1987,G,05/06/1987,11/10/1987,1662,0.885041029750545,-5.99741507295252,NaN,NaN
1987,H,05/06/1987,11/10/1987,1741,1.52684735366716,-4.09567683431222,NaN,NaN
1987,K,05/06/1987,11/10/1987,1721,1.36436474001738,-4.57712955295533,NaN,NaN
1987,L,05/06/1987,11/10/1987,1856,2.37725900571642,-1.63035521478149,NaN,NaN
