Year,Bw_mwe,Bs_mwe,Ba_mwe,ELA_m,Bw_Date,Ba_Date,bw_gradient_mwe_km,bs_gradient_mwe_km,ba_gradient_mwe_km,Lapse_Rate,Time_System,Integration_Method,Integration_Surface,Source,Calibration
1959,3.29,-2.56,0.73,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-6.5,nan,nan,nan,WGMS,0.03
1960,2.22,-2.69,-0.47,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-6.5,nan,nan,nan,WGMS,0.03
1961,2.41,-3.48,-1.07,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-6.5,nan,nan,nan,WGMS,0.03
1962,2.51,-2.28,0.23,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-6.5,nan,nan,nan,WGMS,0.03
1963,2.24,-3.51,-1.27,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-6.5,nan,nan,nan,WGMS,0.03
1964,3.26,-2.03,1.23,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-6.5,nan,nan,nan,WGMS,0.03
1965,3.49,-3.63,-0.14,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-6.5,nan,nan,nan,WGMS,0.03
1966,2.48,-3.48,-1,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-6.5,nan,nan,nan,WGMS,0.03
1967,3.3,-3.9,-0.6,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-6.5,nan,nan,nan,WGMS,0.03
1968,3.01,-2.97,0.04,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-6.5,nan,nan,nan,WGMS,0.03
1969,3.18,-3.88,-0.7,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-6.5,nan,nan,nan,WGMS,0.03
1970,2.42,-3.59,-1.17,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-6.5,nan,nan,nan,WGMS,0.03
1971,3.52,-2.89,0.63,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-6.5,nan,nan,nan,WGMS,0.03
1972,4.28,-2.82,1.46,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-6.5,nan,nan,nan,WGMS,0.03
1973,2.22,-3.23,-1.01,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-6.5,nan,nan,nan,WGMS,0.03
1974,3.66,-2.61,1.05,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-6.5,nan,nan,nan,WGMS,0.03
1975,3.07,-3.09,-0.02,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-6.5,nan,nan,nan,WGMS,0.03
1976,3.54,-2.56,0.98,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-6.5,nan,nan,nan,WGMS,0.03
1977,1.58,-2.85,-1.27,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-6.5,nan,nan,nan,WGMS,0.03
1978,2.5,-2.85,-0.35,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-6.5,nan,nan,nan,WGMS,0.03
1979,2.19,-3.72,-1.53,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-6.5,nan,nan,nan,WGMS,0.03
1980,1.84,-2.83,-0.99,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-6.5,nan,nan,nan,WGMS,0.03
1981,2.29,-3.1,-0.81,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-6.5,nan,nan,nan,WGMS,0.03
1982,3.12,-3.01,0.11,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-6.5,nan,nan,nan,WGMS,0.03
1983,1.92,-2.66,-0.74,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-6.5,nan,nan,nan,WGMS,0.03
1984,2.39,-2.24,0.15,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-6.5,nan,nan,nan,WGMS,0.03
1985,2.19,-3.36,-1.17,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-6.5,nan,nan,nan,WGMS,0.03
1986,2.49,-3.35,-0.86,1995.16841548983,05/18/1986,10/24/1986,0.010842096     -16.757134           1774   0.0015201346    -0.21997352,NaN,0.039365015     -70.616904           1774   0.0036227485     -7.2279934,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.26
1987,1.97,-4.06,-2.09,2189.6052352735,04/19/1987,10/31/1987,0.0046561378     -6.0892828           1796 -0.00073731439      3.5973574,NaN,0.01896581     -36.573236           1796   0.0063785759     -13.966563,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.27
1988,2.21,-3.4,-1.19,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.27
1989,2.41,-3.6,-1.19,2025.34166666667,04/07/1989,10/10/1989,0.0083035714     -12.431339           1861  -0.0024472789      7.5759932,NaN,0.052516167     -93.349353           1741   0.0067478913     -13.666785,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.26
1990,2.55,-2.9,-0.35,1890.5057548667,05/02/1990,10/01/1990,0.011660254     -18.719628           1846   0.0014698167    0.091918236,NaN,0.0097613624      -18.12705           1846   0.0024171091     -4.5695587,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.26
1991,3.66,-4.02,-0.36,1883.90756213323,04/15/1991,10/16/1991,0.017354326     -27.012493           1799  -0.0012964328      6.5402223,NaN,0.049196051     -86.501876           1746   0.0043911388     -8.2724995,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.26
1992,1.85,-4.05,-2.2,2081.20093334936,04/18/1992,10/12/1992,0.0090240154     -14.675924           1853   0.0017228987     -1.1469552,NaN,0.022491846     -44.080994           1853    0.010532842     -21.920961,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.26
1993,1.89,-2.93,-1.04,1992.28658963698,05/02/1993,10/14/1993,0.0067538701     -10.162488           1845  -0.0011667056      4.4509746,NaN,0.02705439     -50.423753           1845   0.0034517966     -6.8769681,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.27
