Year,Bw_mwe,Bs_mwe,Ba_mwe,ELA_m,Bw_Date,Ba_Date,bw_gradient_mwe_km,bs_gradient_mwe_km,ba_gradient_mwe_km,Lapse_Rate,Time_System,Integration_Method,Integration_Surface,Source
1986,2.61,-3.20673140332068,-0.596731403320677,1995.172250699,05/19/1986,10/24/1986,10.88         1.56,NaN,39.29         3.64,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
1987,2.09,-3.91954038528572,-1.82954038528572,2193.50851909026,04/19/1987,10/31/1987,4.9       -0.87,NaN,19.06         6.29,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
1988,2.35622391382724,-3.31310038380339,-0.956876469976158,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
1989,2.52,-3.56445749963876,-1.04445749963876,2049.95765472313,04/07/1989,10/10/1989,8.29       -2.59,NaN,52.05         6.33,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
1990,2.68,-2.76019603941252,-0.0801960394125207,1887.01841593743,05/02/1990,10/01/1990,11.66         1.49,NaN,9.81        2.43,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
1991,3.79,-3.88746763835668,-0.0974676383566845,1883.90756213323,04/15/1991,10/16/1991,17.37        -1.34,NaN,49.3         4.39,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
1992,2,-4.02199684420717,-2.02199684420718,2092.47278766391,04/30/1992,10/12/1992,9.38        2.38,NaN,21.91        10.35,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
1993,2.02,-3.32295363729883,-1.30295363729883,2202.44131422888,05/02/1993,10/14/1993,6.75       -1.17,NaN,23.56         3.01,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
1994,2.49,-4.22023808155138,-1.73023808155138,2338.84647690568,04/14/1994,10/10/1994,4.29        1.58,NaN,19.11         3.49,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
1995,3.13,-3.74778031195542,-0.617780311955422,1967.18838731201,04/19/1995,09/27/1995,9.37        0.26,NaN,24.48         5.44,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
