Year,IndexNone,LinearProfileNone,PiecewiseProfileNone
1985,0,0,0
1986,-0.77,-0.76,-0.6
1987,-1.94,-1.88,-1.83
1988,-0.97,-0.99,-0.91
1989,-0.96,-0.92,-0.93
1990,-0.19,-0.06,-0.08
1991,0.03,-0.04,-0.1
1992,-2.11,-1.88,-1.93
1993,-0.76,-0.67,-0.75
1994,-1.47,-1.51,-1.49
1995,-0.73,-0.62,-0.74
1996,0.15,-0.11,0.17
1997,0.47,0.42,0.61
1998,-1.85,-1.68,-1.62
1999,0.98,1.6,1.83
2000,0.79,0.86,0.82
2001,-0.51,-0.45,-0.48
2002,0.72,1.02,0.86
2003,-2.09,-2.07,-1.97
2004,-1.56,-1.67,-1.32
2005,-2.5,-2.49,-2.54
2006,-1.45,-1.51,-1.38
2007,-0.08,-0.32,-0.15
2008,-0.02,-0.19,0.02
2009,-1.76,-1.88,-1.79
2010,-0.4,-0.54,-0.37
2011,1.3,1.02,1.25
2012,0.06,-0.38,-0.04
2013,-0.75,-1.09,-0.81
2014,-0.26,-0.53,-0.26
2015,-3.37,-3.32,-3.35
2016,-0.91,-0.86,-0.91
2017,-0.66,-0.7,-0.75
2018,-0.92,-1.03,-0.88
