Year,site_name,spring_date,fall_date,elevation,bw,ba,winter_ablation,summer_accumulation
2005,A,6/25/2005,9/9/2005,2362,2.05,-1.45,NaN,0
2005,C,6/25/2005,9/9/2005,2447,2.42,-0.88,NaN,0
2005,D,6/26/2005,9/9/2005,2525,2.63,-0.37,NaN,0
2005,G,7/14/2005,9/9/2005,2467,NaN,-0.88,NaN,0
2006,A,6/8/2006,9/28/2006,2360,2.68,-1.28,NaN,0.01
2006,C,6/8/2006,9/28/2006,2447,2.88,-0.96,NaN,0.02
2006,D,6/8/2006,9/28/2006,2525,3.6,NaN,NaN,NaN
2006,E,6/8/2006,9/28/2006,2447,1.93,-1.63,NaN,0.02
2006,G,6/8/2006,9/28/2006,2467,2.58,-0.61,NaN,0.03
2007,A,5/26/2007,9/9/2007,2376,NaN,-1.78,0,0.01
2007,B,5/26/2007,9/9/2007,2326,NaN,-1.74,0,0.01
2007,C,5/26/2007,9/8/2007,2450,2.18,-2.07,0,0
2007,D,5/26/2007,9/8/2007,2547,3,-0.66,0,0.04
2007,E,5/26/2007,9/9/2007,2445,1.56,NaN,0,NaN
2007,F,5/26/2007,9/9/2007,2354,2.5,-1.36,0,0.01
2007,G,5/26/2007,9/8/2007,2475,NaN,-1.91,0,0.01
2008,A,6/16/2008,9/11/2008,2376,2.71,0.33,0,0.01
2008,B,6/16/2008,9/10/2008,2326,2.99,0.62,0,0.01
2008,C,6/16/2008,9/11/2008,2454,3.13,0.83,0,0.02
2008,D,6/16/2008,9/12/2008,2542,3.77,1.9,0,0.03
2008,E,6/16/2008,9/12/2008,2449,2.11,-0.3,0,0.02
2008,F,6/16/2008,9/10/2008,2353,3.22,1.07,0,0.01
2008,G,6/16/2008,9/11/2008,2475,2.99,0.99,0,0.02
2009,A,6/16/2009,9/18/2009,2376,2.03,-1.76,0,0
2009,B,6/16/2009,9/18/2009,2326,2.14,-1.7,0,0
2009,D,6/17/2009,9/18/2009,2543,3.88,0.15,0,0
2009,E,6/16/2009,9/18/2009,2449,1.23,-2.4,0,0
2009,F,6/16/2009,9/18/2009,2352,2.29,-1.91,0,0
2009,G,6/17/2009,9/18/2009,2475,2.14,-2.09,0,0
2010,A,6/23/2010,10/2/2010,2380,2.36,-0.84,NaN,0
2010,B,6/23/2010,10/2/2010,2324,2.29,-0.9,NaN,0
2010,C,6/23/2010,10/2/2010,2464,3.17,0.16,NaN,0
2010,D,6/23/2010,10/2/2010,2549,3.75,1.12,NaN,0
