Year,site_name,spring_date,fall_date,elevation,bw,ba,winter_ablation,summer_accumulation,bw_fill,ba_fill
2005,A,732488,732564,2362,2.05,-1.45,NaN,0,0,0
2005,C,732488,732564,2447,2.42,-0.88,NaN,0,0,0
2005,D,732489,732564,2525,2.63,-0.37,NaN,0,0,0
2005,G,732507,732564,2467,1.70670554630256,-0.88,NaN,0,1,0
2006,A,732836,732948,2360,2.68,-1.28,NaN,0.01,0,0
2006,C,732836,732948,2447.01,2.88,-0.96,NaN,0.02,0,0
2006,D,732836,732948,2525,3.6,0.196747297952474,NaN,NaN,0,1
2006,E,732836,732948,2447,1.93,-1.63,NaN,0.02,0,0
2006,G,732836,732948,2467,2.58,-0.61,NaN,0.03,0,0
2007,A,733188,733294,2376,1.69824788196015,-1.78,0,0.01,1,0
2007,B,733188,733294,2326,1.8544292714538,-1.74,0,0.01,1,0
2007,C,733188,733293,2450,2.18,-2.07,0,0,0,0
2007,D,733188,733293,2547,3,-0.66,0,0.04,0,0
2007,E,733188,733294,2445,1.56,-2.56345435618815,0,NaN,0,1
2007,F,733188,733294,2354,2.5,-1.36,0,0.01,0,0
2007,G,733188,733293,2475,1.80552108465806,-1.91,0,0.01,1,0
2008,A,733575,733662,2376,2.71,0.33,0,0.01,0,0
2008,B,733575,733661,2326,2.99,0.62,0,0.01,0,0
2008,C,733575,733662,2454,3.13,0.83,0,0.02,0,0
2008,D,733575,733663,2542,3.77,1.9,0,0.03,0,0
2008,E,733575,733663,2449,2.11,-0.3,0,0.02,0,0
2008,F,733575,733661,2353,3.22,1.07,0,0.01,0,0
2008,G,733575,733662,2475,2.99,0.99,0,0.02,0,0
2009,A,733940,734034,2376,2.03,-1.76,0,0,0,0
2009,B,733940,734034,2326,2.14,-1.7,0,0,0,0
2009,D,733941,734034,2543,3.88,0.15,0,0,0,0
2009,E,733940,734034,2449,1.23,-2.4,0,0,0,0
2009,F,733940,734034,2352,2.29,-1.91,0,0,0,0
2009,G,733941,734034,2475,2.14,-2.09,0,0,0,0
2010,A,734312,734413,2380,2.36,-0.84,NaN,0,0,0
2010,B,734312,734413,2324,2.29,-0.9,NaN,0,0,0
2010,C,734312,734413,2464,3.17,0.16,NaN,0,0,0
2010,D,734312,734413,2549,3.75,1.12,NaN,0,0,0
2010,E,734312,734413,2461,2.81,-0.27,NaN,0,0,0
2010,F,734312,734413,2352,2.66,-0.12,NaN,0,0,0
2010,G,734312,734413,2486,2.72,-0.06,NaN,0,0,0
2011,A,734678,734779,2380,3.79,0.02,NaN,0,0,0
2011,B,734678,734779,2324,3.85,0.37,NaN,0,0,0
2011,C,734678,734779,2464,4.37,0.8,NaN,0,0,0
2011,D,734678,734779,2549,5.99,2.9,NaN,0,0,0
2011,E,734678,734779,2461,3.3,0,NaN,0,0,0
2011,F,734678,734779,2352,3.45,0.16,NaN,0,0,0
2011,G,734678,734779,2486,4.25,0.93,NaN,0,0,0
2012,A,735048,735143,2377,2.99,-0.89,NaN,0,0,0
2012,B,735048,735143,2323,2.96,-0.59,NaN,0,0,0
2012,C,735048,735143,2454,3.75,0.12,NaN,0,0,0
2012,D,735048,735143,2547,5.36,2.07,NaN,0,0,0
2012,E,735048,735143,2450,2.45,-1.33,NaN,0,0,0
2012,F,735048,735143,2358,3.6,0.06,NaN,0,0,0
2012,G,735048,735143,2480,3.91,0.65,NaN,0,0,0
2013,A,735396,735504,2382,2.93,-1.9,NaN,0.06,0,0
2013,B,735396,735504,2328,2.99,-1.61,NaN,0.03,0,0
2013,C,735396,735504,2460,2.93,-1.95,NaN,0.08,0,0
2013,D,735396,735504,2551,4.28,0.43,NaN,0.08,0,0
2013,E,735396,735504,2458,2.6,-2.27,NaN,0.08,0,0
2013,F,735396,735504,2348,3.08,-1.23,NaN,0.07,0,0
2013,G,735396,735504,2486,2.93,-1.47,NaN,0.07,0,0
2014,A,735761,735860,2382,2.99,-0.38,0,0,0,0
2014,B,735761,735860,2328,3.01,-0.11,0,0,0,0
2014,C,735761,735860,2460,2.63,-0.82,0,0,0,0
2014,D,735761,735860,2551,4.38,1.31,0,0,0,0
2014,E,735761,735860,2458,2.04,-1.37,0,0,0,0
2014,F,735761,735860,2348,2.82,-0.31,0,0,0,0
2014,G,735761,735860,2486,2.83,-0.05,0,0,0,0
2015,A,736109,736229,2387,2.46,-1.88,NaN,0,0,0
2015,B,736109,736229,2338,2.34,-2.02,NaN,0,0,0
2015,C,736109,736229,2460,2.92,-1.99,NaN,0,0,0
2015,D,736109,736229,2552,3.25,-0.4,NaN,0,0,0
2015,E,736109,736229,2454,1.99,-2.63,NaN,0,0,0
2015,F,736109,736229,2363,2.37,-2,NaN,0,0,0
