Date,T,P,T_flag,P_flag,Elevation
04-Aug-2001,13.2,0,0,0,1920.24
05-Aug-2001,13.1,0,0,0,1920.24
06-Aug-2001,17.6,0,0,0,1920.24
07-Aug-2001,17.5,0,0,0,1920.24
08-Aug-2001,8.3,0,0,0,1920.24
09-Aug-2001,11.1,0,0,0,1920.24
10-Aug-2001,14.3,0,0,0,1920.24
11-Aug-2001,15.1,0,0,0,1920.24
12-Aug-2001,16.3,0,0,0,1920.24
13-Aug-2001,16,0,0,0,1920.24
14-Aug-2001,14.1,0,0,0,1920.24
15-Aug-2001,15,0,0,0,1920.24
16-Aug-2001,16.6,0,0,0,1920.24
17-Aug-2001,17.6,0,0,0,1920.24
18-Aug-2001,17.4,2.54,0,0,1920.24
19-Aug-2001,11.3,0,0,0,1920.24
20-Aug-2001,11.2,0,0,0,1920.24
21-Aug-2001,11.7,0,0,0,1920.24
22-Aug-2001,14,0,0,0,1920.24
23-Aug-2001,9.9,0,0,0,1920.24
24-Aug-2001,8.6,0,0,0,1920.24
25-Aug-2001,10.8,0,0,0,1920.24
26-Aug-2001,13.4,0,0,0,1920.24
27-Aug-2001,17,0,0,0,1920.24
28-Aug-2001,12.5,0,0,0,1920.24
29-Aug-2001,12.1,0,0,0,1920.24
30-Aug-2001,14.2,0,0,0,1920.24
31-Aug-2001,14.1,0,0,0,1920.24
01-Sep-2001,12.2,2.54,0,0,1920.24
02-Sep-2001,10.9,0,0,0,1920.24
03-Sep-2001,12.8,0,0,0,1920.24
04-Sep-2001,13.7,0,0,0,1920.24
05-Sep-2001,6.6,10.16,0,0,1920.24
06-Sep-2001,6.1,0,0,0,1920.24
07-Sep-2001,2.1,10.16,0,0,1920.24
08-Sep-2001,5.9,2.54,0,0,1920.24
09-Sep-2001,7.3,0,0,0,1920.24
10-Sep-2001,7.2,0,0,0,1920.24
11-Sep-2001,5.1,0,0,0,1920.24
12-Sep-2001,7.6,2.54,0,0,1920.24
13-Sep-2001,9.8,0,0,0,1920.24
14-Sep-2001,9.9,0,0,0,1920.24
15-Sep-2001,11,0,0,0,1920.24
16-Sep-2001,10.3,0,0,0,1920.24
17-Sep-2001,9.9,0,0,0,1920.24
18-Sep-2001,10.2,0,0,0,1920.24
19-Sep-2001,7.2,0,0,0,1920.24
20-Sep-2001,7.5,0,0,0,1920.24
21-Sep-2001,7.8,0,0,0,1920.24
22-Sep-2001,8.2,2.54,0,0,1920.24
23-Sep-2001,11.4,0,0,0,1920.24
24-Sep-2001,14.4,0,0,0,1920.24
25-Sep-2001,16,2.54,0,0,1920.24
26-Sep-2001,8.4,0,0,0,1920.24
27-Sep-2001,9.5,0,0,0,1920.24
28-Sep-2001,5.7,7.62,0,0,1920.24
29-Sep-2001,5.2,0,0,0,1920.24
30-Sep-2001,7.2,0,0,0,1920.24
01-Oct-2001,9.2,0,0,0,1920.24
02-Oct-2001,5.4,0,0,0,1920.24
03-Oct-2001,3,0,0,0,1920.24
04-Oct-2001,-2.2,0,0,0,1920.24
05-Oct-2001,-1,0,0,0,1920.24
06-Oct-2001,4,0,0,0,1920.24
07-Oct-2001,3.6,0,0,0,1920.24
08-Oct-2001,1.6,2.54,0,0,1920.24
09-Oct-2001,0.0999999999999999,0,0,0,1920.24
10-Oct-2001,0.899999999999999,15.24,0,0,1920.24
11-Oct-2001,-0.3,12.7,0,0,1920.24
12-Oct-2001,-1.6,22.86,0,0,1920.24
13-Oct-2001,0.999999999999998,2.54,0,0,1920.24
14-Oct-2001,-3.6,2.54,0,0,1920.24
15-Oct-2001,-2.3,0,0,0,1920.24
16-Oct-2001,4.1,2.54,0,0,1920.24
17-Oct-2001,-1.5,5.08,0,0,1920.24
18-Oct-2001,-2.6,2.54,0,0,1920.24
19-Oct-2001,0.499999999999999,2.54,0,0,1920.24
20-Oct-2001,0.699999999999999,0,0,0,1920.24
21-Oct-2001,-0.499999999999999,17.78,0,0,1920.24
22-Oct-2001,0.0999999999999999,27.94,0,0,1920.24
23-Oct-2001,-1.7,22.86,0,0,1920.24
24-Oct-2001,-3.5,2.54,0,0,1920.24
25-Oct-2001,-2.3,7.62,0,0,1920.24
26-Oct-2001,2.4,2.54,0,0,1920.24
27-Oct-2001,4.9,10.16,0,0,1920.24
28-Oct-2001,-1.6,10.16,0,0,1920.24
29-Oct-2001,1.1,2.54,0,0,1920.24
30-Oct-2001,2.9,10.16,0,0,1920.24
31-Oct-2001,0.3,25.4,0,0,1920.24
01-Nov-2001,-0.800000000000001,2.54,0,0,1920.24
02-Nov-2001,1.3,5.08,0,0,1920.24
03-Nov-2001,3.2,0,0,0,1920.24
04-Nov-2001,5.8,0,0,0,1920.24
05-Nov-2001,1.8,5.08,0,0,1920.24
06-Nov-2001,-3,5.08,0,0,1920.24
07-Nov-2001,-5.6,0,0,0,1920.24
08-Nov-2001,-4.4,0,0,0,1920.24
09-Nov-2001,-0.800000000000001,0,0,0,1920.24
10-Nov-2001,0,0,0,0,1920.24
11-Nov-2001,0.2,0,0,0,1920.24
12-Nov-2001,3,0,0,0,1920.24
13-Nov-2001,3.1,0,0,0,1920.24
14-Nov-2001,3.5,5.08,0,0,1920.24
15-Nov-2001,5.5,0,0,0,1920.24
16-Nov-2001,4.5,2.54,0,0,1920.24
17-Nov-2001,1.2,12.7,0,0,1920.24
18-Nov-2001,-4,0,0,0,1920.24
19-Nov-2001,-1.1,0,0,0,1920.24
20-Nov-2001,1.7,2.54,0,0,1920.24
21-Nov-2001,-0.2,5.08,0,0,1920.24
22-Nov-2001,-1.4,7.62,0,0,1920.24
23-Nov-2001,-1.6,22.86,0,0,1920.24
24-Nov-2001,-5.2,2.54,0,0,1920.24
25-Nov-2001,-10.2,0,0,0,1920.24
26-Nov-2001,-7.6,0,0,0,1920.24
27-Nov-2001,-7.1,5.08,0,0,1920.24
28-Nov-2001,-7.3,5.08,0,0,1920.24
29-Nov-2001,-3.4,20.32,0,0,1920.24
30-Nov-2001,-6.2,17.78,0,0,1920.24
01-Dec-2001,-3.7,27.94,0,0,1920.24
02-Dec-2001,-4.4,12.7,0,0,1920.24
03-Dec-2001,-4.5,20.32,0,0,1920.24
04-Dec-2001,-7.9,10.16,0,0,1920.24
05-Dec-2001,-7.1,7.62,0,0,1920.24
06-Dec-2001,-6.4,10.16,0,0,1920.24
07-Dec-2001,-4.8,2.54,0,0,1920.24
08-Dec-2001,-2.4,5.08,0,0,1920.24
09-Dec-2001,-5,7.62,0,0,1920.24
10-Dec-2001,-8.3,2.54,0,0,1920.24
11-Dec-2001,-9.6,0,0,0,1920.24
12-Dec-2001,-8.3,10.16,0,0,1920.24
13-Dec-2001,-3.6,33.02,0,0,1920.24
14-Dec-2001,-4.1,22.86,0,0,1920.24
