month,intercept,slope,rsquared
1,-0.812612979695263,0.840072319685066,0.64
2,-0.700129159430452,0.914922554457859,0.75
3,-0.682222511087543,0.807392688708325,0.68
4,-0.147953003091513,0.756233565480616,0.6
5,0.666780099614626,0.797981540682433,0.64
6,0.920655683625728,0.850026678422729,0.61
7,2.34360635521535,0.812782035148843,0.6
8,2.37101114246081,0.800673791262428,0.57
9,1.09269251604739,0.82204528059785,0.67
10,0.00535792152641928,0.814410438465876,0.74
11,-0.6319263856488,0.850916832001979,0.7
12,-0.572301116866029,0.929342653979538,0.73
