month,intercept,slope,rsquared
1,-3.25375776302845,0.706769410948467,0.54
2,-4.13740276482101,0.849207514147811,0.64
3,-4.17496507815324,0.797497043195403,0.62
4,-3.69318932068198,0.753525528261751,0.62
5,-2.45117224372438,0.658314244818121,0.61
6,-1.60162971413624,0.635779904212756,0.6
7,-2.0368823967008,0.735662329003278,0.57
8,-0.960955320867356,0.694836177115101,0.5
9,-3.88283840911729,0.833810812358186,0.62
10,-3.9130643217968,0.839659323757441,0.63
11,-4.128006429922,0.824189160976995,0.63
12,-4.01956905416358,0.835460194941427,0.6
