month,intercept,slope,rsquared
1,-3.22469094183219,0.755749723853801,0.56
2,-4.01118057514142,0.839990716599344,0.65
3,-4.24020246801431,0.819725536870279,0.58
4,-3.62920358897071,0.737739270917352,0.59
5,-2.49819129589302,0.656565670474752,0.59
6,-1.73424912009985,0.64414070907986,0.61
7,-1.76596161622518,0.720743219781526,0.55
8,-0.832608727599381,0.686870107935222,0.49
9,-3.67932329954158,0.821471677279058,0.62
10,-3.67361119916585,0.817887173983589,0.61
11,-4.19583437186602,0.831000568550349,0.67
12,-3.84777401331889,0.856455040609839,0.6
