Year,site_name,elevation,bw,bs,ba,mass_maximum_date,mass_minimum_date,Lapse_Rate,Time_System,Integration_Method,Integration_Surface
2005,A,2362,2.44,-4,-1.55,19-Apr-2005,30-Sep-2005,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2005,C,2447,2.64,-3.58,-0.94,19-Apr-2005,30-Sep-2005,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2005,G,2467,2.47,-3.4,-0.93,19-Apr-2005,30-Sep-2005,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2005,D,2525,2.36,-2.77,-0.41,19-Apr-2005,30-Sep-2005,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2006,A,2360,3.22,-4.5,-1.28,02-May-2006,06-Oct-2006,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2006,E,2447,2.43,-4.06,-1.63,02-May-2006,06-Oct-2006,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2006,C,2447.01,3.35,-4.31,-0.96,02-May-2006,06-Oct-2006,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2006,G,2467,3.04,-3.65,-0.61,02-May-2006,06-Oct-2006,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2006,D,2525,3.87,-3.74,0.13,02-May-2006,06-Oct-2006,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2007,B,2326,2.08,-3.79,-1.7,05-May-2007,17-Sep-2007,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2007,F,2354,2.73,-4.06,-1.33,05-May-2007,17-Sep-2007,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2007,A,2376,1.91,-3.67,-1.76,05-May-2007,17-Sep-2007,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2007,E,2445,1.77,-4.3,-2.53,05-May-2007,17-Sep-2007,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2007,C,2450,2.37,-4.43,-2.06,05-May-2007,17-Sep-2007,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2007,G,2475,1.98,-3.88,-1.9,05-May-2007,17-Sep-2007,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2007,D,2547,3.08,-3.74,-0.66,05-May-2007,17-Sep-2007,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2008,B,2326,3.02,-2.42,0.59,25-May-2008,04-Oct-2008,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2008,F,2353,3.27,-2.23,1.04,25-May-2008,04-Oct-2008,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2008,A,2376,2.74,-2.43,0.31,25-May-2008,04-Oct-2008,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2008,E,2449,2.15,-2.48,-0.33,25-May-2008,04-Oct-2008,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2008,C,2454,3.14,-2.32,0.82,25-May-2008,04-Oct-2008,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2008,G,2475,2.99,-2,0.98,25-May-2008,04-Oct-2008,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2008,D,2542,3.57,-1.67,1.9,25-May-2008,04-Oct-2008,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2009,B,2326,2.74,-4.78,-2.04,14-May-2009,29-Sep-2009,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2009,F,2352,2.88,-5.12,-2.24,14-May-2009,29-Sep-2009,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2009,A,2376,2.6,-4.68,-2.08,14-May-2009,29-Sep-2009,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2009,E,2449,1.73,-4.43,-2.7,14-May-2009,29-Sep-2009,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2009,G,2475,2.62,-5,-2.38,14-May-2009,29-Sep-2009,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2009,D,2543,4.26,-4.33,-0.07,14-May-2009,29-Sep-2009,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2010,B,2324,2.47,-3.6,-1.13,04-Jun-2010,10-Oct-2010,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
