Year,Bw_mwe,Bs_mwe,Ba_mwe,ELA_m,Bw_Date,Ba_Date,bw_gradient_mwe_km,bs_gradient_mwe_km,ba_gradient_mwe_km,Lapse_Rate,Time_System,Integration_Method,Integration_Surface,Source,Calibration
2005,2.27,-3.43,-1.16,2579.87989295765,04/19/2005,09/30/2005,0.0012623891    -0.54388704           2457  -0.0029315459      9.7606112,NaN,0.0063514409     -16.545425           2457   0.0076492116     -19.734047,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.21
2006,3.56,-4.15,-0.59,2513.88789648245,05/08/2006,10/06/2006,-0.0040165176      12.688957           2447    0.012939282     -28.801969,NaN,0.00083832723     -3.2585009           2447    0.018049398     -45.374162,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.21
2007,2.51,-3.91,-1.4,2588.26158029865,05/04/2007,09/17/2007,-0.0032970744      9.9941056           2445    0.010589819     -23.959348,NaN,-0.0074437828      15.875844           2445    0.016223506     -41.990677,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.21
2008,3.23,-2.05,1.18,2514.34711119883,05/25/2008,10/04/2008,-0.00387311      12.112915           2449    0.010527171     -23.153373,NaN,-0.004025609      10.121778           2449    0.018573297     -45.222941,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.21
2009,3.26,-4.73,-1.47,2334.48603472329,05/14/2009,09/29/2009,-0.019566492      48.633231           2413    0.020657121     -48.426349,NaN,-0.018610112      41.517841           2413    0.023308807     -59.611552,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.21
2010,3.07,-3.11,-0.04,2485.14345642832,06/04/2010,10/10/2010,0.0032684308     -5.0668144           2461    0.007079484     -14.445816,NaN,0.0042867989     -10.908845           2461    0.014870837     -36.956164,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.21
2011,4.96,-3.52,1.44,2098.98197009403,06/03/2011,10/05/2011,-0.00013797816      4.2615694           2461     0.02371418     -54.438591,NaN,0.00067131627     -1.4090807           2461     0.02998552     -73.551335,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.21
2012,4.35,-3.6,0.75,2409.63441808467,05/05/2012,10/02/2012,-0.00080990188      5.4468148           2450    0.018287193     -41.341068,NaN,-0.00097240061      1.8056823           2450    0.028572164     -70.578502,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.21
2013,3.91,-4.69,-0.78,2535.65489255573,04/30/2013,09/22/2013,-0.0038748958      12.657046           2458    0.014533859     -32.591673,NaN,-0.0054611442      11.247427           2458    0.028022261     -71.054783,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.21
2014,3.9,-4.04,-0.14,2512.86983384508,05/12/2014,10/21/2014,-0.0063471493      18.324621           2458    0.020495995     -47.655827,NaN,-0.0059080991      12.942361           2458    0.028790811      -72.34756,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.21
2015,3.04,-4.61,-1.57,2560.15430617157,04/15/2015,10/19/2015,-0.00071018773      4.2399365           2457    0.012748303     -28.827574,NaN,-0.0028839013      4.2695283           2457    0.027301015     -69.894812,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.21
2016,2.95,-2.64,0.31,2481.07559401477,05/23/2016,09/30/2016,-0.0028599356      9.1060312           2454    0.016877305     -39.329157,NaN,8.415344e-05    -0.83263913           2454    0.023129384     -57.385751,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.21
2017,4.07,-4.44,-0.37,2510.49219461395,05/01/2017,09/30/2017,-0.00035391351      4.1568958           2454    0.017550192     -39.779778,NaN,-0.00037903903    -0.50305007           2454    0.025370086     -63.691403,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.21
2018,4.03,-3.92,0.11,2494.7555954109,04/23/2018,09/27/2018,-0.0047572651      14.327107           2454    0.025607095     -60.187033,NaN,-0.00070228648     0.37451562           2454    0.033097183     -82.569382,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.21
2019,2.04,-3.46,-1.42,2551.11454707723,05/06/2019,09/25/2019,0.00237631     -3.7252166           2454   0.0029444256     -5.1193722,NaN,-0.0026487424      3.7783847           2454    0.028024939     -71.494828,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.21
2020,3.63,-4,-0.37,2346.46761924887,05/22/2020,10/10/2020,-0.0074523354      20.454769           2454    0.024685016     -58.410293,NaN,-0.0097109785      21.357873           2454    0.037757514     -95.129807,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.21
2021,3.16,-5.39,-2.23,2576.26406418763,04/25/2021,10/09/2021,-0.0077680976      21.040054           2454    0.018667338     -43.832504,NaN,-0.0030759098       3.912065           2454     0.02974069     -76.619871,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.21
