Year,site_name,spring_date,fall_date,elevation,bw,ba,winter_ablation,summer_accumulation
1948,TKG5,3/1/1948,9/30/1948,992,NaN,NaN,NaN,0
1948,TKG4,3/1/1948,9/30/1948,1116,NaN,NaN,NaN,0
1948,TR1,3/1/1948,9/30/1948,1242,NaN,NaN,NaN,0
1948,TR2,3/1/1948,9/30/1948,1319,NaN,NaN,NaN,0
1948,DG1,3/1/1948,9/30/1948,1018,NaN,NaN,NaN,0
1948,DG2,3/1/1948,9/30/1948,1175,NaN,NaN,NaN,0
1948,DG3,3/1/1948,9/30/1948,1352,NaN,NaN,NaN,0
1948,C161,3/1/1948,9/30/1948,1476,NaN,NaN,NaN,0
1948,C163,3/1/1948,9/30/1948,1590,NaN,NaN,NaN,0
1948,NWB3,3/1/1948,9/30/1948,1413,NaN,NaN,NaN,0
1948,MG1,3/1/1948,9/30/1948,1409,NaN,NaN,NaN,0
1948,MG2,3/1/1948,9/30/1948,1749,NaN,NaN,NaN,0
1948,TSL_333,3/1/1948,9/30/1948,333,NaN,NaN,NaN,NaN
1948,TSL_628,3/1/1948,9/30/1948,628,NaN,NaN,NaN,NaN
1948,TSL_939,3/1/1948,9/30/1948,939,NaN,NaN,NaN,NaN
1949,TKG4A,3/1/1949,8/14/1949,1100,NaN,2.48,NaN,0
1950,TKG4,3/1/1950,7/22/1950,1082,NaN,1.05,NaN,0
1951,TKG4,3/1/1951,6/7/1951,1082,NaN,1.87,NaN,0
1952,TKG4A,3/1/1952,8/23/1952,1090,NaN,0.85,NaN,0
1952,TKA3,3/1/1952,7/7/1952,600,NaN,0.39,NaN,0
1952,TKG4,3/1/1952,8/20/1952,1082,NaN,0.99,NaN,0
1952,TKA1,3/1/1952,7/9/1952,838,NaN,1.16,NaN,0
1952,TKA2,3/1/1952,7/9/1952,746,NaN,0.74,NaN,0
1952,C161,3/1/1952,8/13/1952,1460,NaN,1.32,NaN,0
1952,MG1,3/1/1952,8/13/1952,1411,NaN,1.35,NaN,0
1952,MG2,3/1/1952,7/15/1952,1801,NaN,2.42,NaN,0
1953,TKG4,3/1/1953,8/2/1953,1082,NaN,1.13,NaN,0
1953,NWB1,3/1/1953,7/31/1953,1432,NaN,1.79,NaN,0
1953,MG2,3/1/1953,8/1/1953,1737,NaN,2.79,NaN,0
1961,MG2,3/1/1961,9/13/1961,1737,NaN,2.94,NaN,0
1962,TKG5,3/1/1962,9/1/1962,945,NaN,1.07,NaN,0
1962,SWBJ,3/1/1962,8/22/1962,975,NaN,1.57,NaN,0
1962,IB1,3/1/1962,7/21/1962,1067,NaN,3.71,NaN,0
1962,TKG4,3/1/1962,7/20/1962,1082,NaN,2.34,NaN,0
1962,SWB1,3/1/1962,8/21/1962,1113,NaN,2.23,NaN,0
1962,TKG1,3/1/1962,8/23/1962,1113,NaN,2.34,NaN,0
1962,NWB1,3/1/1962,8/18/1962,1163,NaN,2.67,NaN,0
1962,MG1,3/1/1962,8/17/1962,1433,NaN,3.04,NaN,0
1962,MG2,3/1/1962,8/5/1962,1757,NaN,4.10,NaN,0
1962,MG6,3/1/1962,7/29/1962,1890,NaN,4.16,NaN,0
1963,TKG4,3/1/1963,8/9/1963,1082,NaN,1.73,NaN,0
1963,MG6,3/1/1963,8/30/1963,1814,NaN,3.25,NaN,0
1964,TKG4A,3/1/1964,8/2/1964,1082,NaN,2.42,NaN,0
1964,MG2,3/1/1964,7/22/1964,1737,NaN,3.52,NaN,0
1968,MG2,3/1/1968,7/5/1968,1798,NaN,2.83,NaN,0
1971,TKG4,3/1/1971,8/9/1971,1100,NaN,1.33,NaN,0
1971,MG1,3/1/1971,8/11/1971,1352,NaN,1.11,NaN,0
1971,MG2,3/1/1971,8/11/1971,1800,NaN,2.70,NaN,0
1972,TKG3,3/1/1972,8/11/1972,1249,NaN,1.51,NaN,0
1972,TKG4,3/1/1972,8/11/1972,1082,NaN,1.40,NaN,0
1972,MG1,3/1/1972,8/12/1972,1495,NaN,1.73,NaN,0
1972,MG2,3/1/1972,8/19/1972,1767,NaN,2.48,NaN,0
1973,TKG4,3/1/1973,7/7/1973,1090,NaN,1.76,NaN,0
1973,MG2,3/1/1973,8/2/1973,1780,NaN,2.90,NaN,0
1977,TKG4,3/1/1977,8/15/1977,1100,NaN,2.71,NaN,0
1977,MG1,3/1/1977,8/15/1977,1350,NaN,2.68,NaN,0
1977,MG2,3/1/1977,8/15/1977,1750,NaN,3.64,NaN,0
1978,TKG4,3/1/1978,7/27/1978,1100,NaN,1.09,NaN,0
1978,DG1,3/1/1978,7/12/1978,1000,NaN,0.69,NaN,0
1978,MG1,3/1/1978,NaN,1350,NaN,1.35,NaN,0
1978,MG2,3/1/1978,8/6/1978,1880,NaN,2.07,NaN,0
1979,TKG4A,3/1/1979,7/21/1979,1100,NaN,1.66,NaN,0
