Year,Site_Name,Elevation_m,Date1,Surface1,Date2,Surface2,db_mwe
1949,TKG4,1100,8/14/1949,snow,9/18/1949,snow,-0.42
1962,MG2B,1814,6/23/1962,snow,7/9/1962,snow,-0.15
1962,MG2B,1814,6/23/1962,snow,7/9/1962,snow,-0.16
1962,MG2B,1814,6/23/1962,snow,7/9/1962,snow,-0.17
1962,MG2B,1814,6/23/1962,snow,7/9/1962,snow,-0.19
1962,MG2B,1814,6/23/1962,snow,7/9/1962,snow,-0.19
1962,MG2B,1814,6/23/1962,snow,7/9/1962,snow,-0.21
1962,MG2B,1814,7/9/1962,snow,8/6/1962,snow,-0.27
1962,MG2B,1814,7/9/1962,snow,8/6/1962,snow,-0.38
1962,MG2B,1814,7/9/1962,snow,8/6/1962,snow,-0.36
1962,MG2B,1814,7/9/1962,snow,8/6/1962,snow,-0.48
1962,MG2B,1814,7/9/1962,snow,8/6/1962,snow,-0.5
1962,MG2B,1814,7/9/1962,snow,8/6/1962,snow,-0.53
1962,MG2B,1814,6/23/1962,snow,8/6/1962,snow,-0.42
1962,MG2B,1814,6/23/1962,snow,8/6/1962,snow,-0.55
1962,MG2B,1814,6/23/1962,snow,8/6/1962,snow,-0.56
1962,MG2B,1814,6/23/1962,snow,8/6/1962,snow,-0.66
1962,MG2B,1814,6/23/1962,snow,8/6/1962,snow,-0.71
1962,MG1,1356,6/23/1962,snow,7/9/1962,snow,-0.26
1962,MG1,1356,6/23/1962,snow,7/9/1962,snow,-0.26
1962,MG1,1356,6/23/1962,snow,7/9/1962,snow,-0.26
1962,MG1,1356,6/23/1962,snow,7/9/1962,snow,-0.28
1962,MG1,1356,6/23/1962,snow,7/9/1962,snow,-0.28
1962,MG1,1356,6/23/1962,snow,7/9/1962,snow,-0.27
1962,MG1,1356,7/9/1962,snow,7/23/1962,snow,-0.35
1962,MG1,1356,7/9/1962,snow,7/23/1962,snow,-0.42
1962,MG1,1356,7/9/1962,snow,7/23/1962,snow,-0.33
1962,MG1,1356,7/9/1962,snow,7/23/1962,snow,-0.37
1962,MG1,1356,7/9/1962,snow,7/23/1962,snow,-0.35
1962,MG1,1356,7/9/1962,snow,7/23/1962,snow,-0.28
1962,MG1,1356,6/23/1962,snow,7/23/1962,snow,-0.61
1962,MG1,1356,6/23/1962,snow,7/23/1962,snow,-0.67
1962,MG1,1356,6/23/1962,snow,7/23/1962,snow,-0.59
1962,MG1,1356,6/23/1962,snow,7/23/1962,snow,-0.65
1962,MG1,1356,6/23/1962,snow,7/23/1962,snow,-0.63
1962,MG1,1356,6/23/1962,snow,7/23/1962,snow,-0.55
1962,TKG4,1082,6/20/1962,snow,7/1/1962,snow,-0.21
1962,TKG4,1082,6/20/1962,snow,7/1/1962,snow,-0.21
1962,TKG4,1082,6/20/1962,snow,7/1/1962,snow,-0.22
1962,TKG4,1082,6/20/1962,snow,7/1/1962,snow,-0.2
1962,TKG4,1082,6/20/1962,snow,7/1/1962,snow,-0.2
1962,TKG4,1082,6/20/1962,snow,7/1/1962,snow,-0.2
1962,TKG4,1082,6/20/1962,snow,7/1/1962,snow,-0.21
1962,TKG4,1082,7/1/1962,snow,7/6/1962,snow,-0.08
1962,TKG4,1082,7/1/1962,snow,7/6/1962,snow,-0.11
1962,TKG4,1082,7/1/1962,snow,7/6/1962,snow,-0.1
1962,TKG4,1082,7/1/1962,snow,7/6/1962,snow,-0.11
1962,TKG4,1082,7/1/1962,snow,7/6/1962,snow,-0.12
1962,TKG4,1082,7/1/1962,snow,7/6/1962,snow,-0.11
1962,TKG4,1082,7/6/1962,snow,7/16/1962,snow,-0.22
1962,TKG4,1082,7/6/1962,snow,7/16/1962,snow,-0.23
1962,TKG4,1082,7/6/1962,snow,7/16/1962,snow,-0.21
1962,TKG4,1082,7/6/1962,snow,7/16/1962,snow,-0.22
1962,TKG4,1082,7/6/1962,snow,7/16/1962,snow,-0.22
1962,TKG4,1082,7/6/1962,snow,7/16/1962,snow,-0.22
1962,TKG4,1082,7/6/1962,snow,7/16/1962,snow,-0.22
1962,TKG4,1082,7/16/1962,snow,8/10/1962,snow,-0.47
1962,TKG4,1082,7/16/1962,snow,8/10/1962,snow,-0.49
1962,TKG4,1082,7/16/1962,snow,8/10/1962,snow,-0.44
1962,TKG4,1082,7/16/1962,snow,8/10/1962,snow,-0.48
1962,TKG4,1082,7/16/1962,snow,8/10/1962,snow,-0.47
1962,TKG4,1082,6/20/1962,snow,8/10/1962,snow,-0.98
1962,TKG4,1082,6/20/1962,snow,8/10/1962,snow,-1.04
1962,TKG4,1082,6/20/1962,snow,8/10/1962,snow,-0.97
1962,TKG4,1082,6/20/1962,snow,8/10/1962,snow,-1.02
1962,TKG4,1082,6/20/1962,snow,8/10/1962,snow,-1
1971,TKG4,1100,6/15/1971,snow,6/18/1971,snow,-0.06
1971,TKG4,1100,6/15/1971,snow,6/21/1971,snow,-0.14
1971,TKG4,1100,6/15/1971,snow,6/24/1971,snow,-0.25
1971,TKG4,1100,6/15/1971,snow,6/27/1971,snow,-0.34
1971,TKG4,1100,6/15/1971,snow,6/30/1971,snow,-0.4
1971,TKG4,1100,6/15/1971,snow,7/4/1971,snow,-0.46
1971,TKG4,1100,6/15/1971,snow,7/8/1971,snow,-0.58
1971,TKG4,1100,6/15/1971,snow,7/15/1971,snow,-0.77
1971,TKG4,1100,6/15/1971,snow,6/18/1971,snow,-0.07
1971,TKG4,1100,6/15/1971,snow,6/21/1971,snow,-0.13
1971,TKG4,1100,6/15/1971,snow,6/24/1971,snow,-0.24
1971,TKG4,1100,6/15/1971,snow,6/27/1971,snow,-0.32
1990,NA,346,6/13/1990,ice,8/18/1990,ice,-3.92
1997,NA,1467,7/29/1997,snow,8/14/1997,snow,-0.39
1997,NA,1454,7/29/1997,snow,8/14/1997,snow,-0.42
1997,NA,1440,7/29/1997,snow,8/14/1997,snow,-0.45
1997,NA,1431,7/25/1997,snow,8/14/1997,snow,-0.53
1997,NA,1426,7/29/1997,snow,8/14/1997,snow,-0.25
1997,NA,1427,7/29/1997,snow,8/14/1997,snow,-0.31
1997,NA,1426,7/29/1997,snow,8/14/1997,snow,-0.34
1997,NA,1424,7/29/1997,snow,8/14/1997,snow,-0.3
1997,NA,1423,7/29/1997,snow,8/14/1997,snow,-0.41
1997,NA,1416,7/29/1997,snow,8/14/1997,snow,-0.35
1997,NA,1410,7/29/1997,snow,8/14/1997,snow,-0.28
1997,NA,1414,7/29/1997,snow,8/14/1997,snow,-0.36
1997,NA,1422,7/29/1997,snow,8/14/1997,snow,-0.37
1997,NA,1418,7/29/1997,snow,8/14/1997,snow,-0.35
1997,NA,1418,7/29/1997,snow,8/14/1997,snow,-0.31
1997,NA,1425,7/29/1997,snow,8/14/1997,snow,-0.25
1997,NA,1301,8/3/1997,snow,8/14/1997,snow,-0.29
1997,NA,1301,8/3/1997,snow,8/14/1997,snow,-0.33
1997,NA,1300,8/3/1997,snow,8/14/1997,snow,-0.3
1997,NA,1300,8/3/1997,snow,8/14/1997,snow,-0.3
1997,NA,1299,8/3/1997,snow,8/14/1997,snow,-0.29
1997,NA,1301,8/3/1997,snow,8/14/1997,snow,-0.31
1997,NA,1308,8/3/1997,snow,8/14/1997,snow,-0.29
1997,NA,1316,8/3/1997,snow,8/14/1997,snow,-0.31
1997,NA,1320,8/3/1997,snow,8/14/1997,snow,-0.3
1997,NA,1321,8/3/1997,snow,8/14/1997,snow,-0.32
1997,NA,1323,8/3/1997,snow,8/14/1997,snow,-0.24
1997,NA,1323,8/3/1997,snow,8/14/1997,snow,-0.29
1997,NA,1323,8/3/1997,snow,8/14/1997,snow,-0.31
1997,NA,1110,7/20/1997,snow,7/31/1997,snow,-0.16
1997,NA,1212,7/25/1997,snow,7/31/1997,snow,-0.21
1997,NA,1273,7/25/1997,snow,7/31/1997,snow,-0.15
