Year,Date_mmddyyyy,Elevation_m
1972,9/16/1972,928
1972,8/11/1972,834
1973,6/11/1973,295
1973,9/11/1973,817
1974,5/21/1974,315
1974,6/26/1974,583
1974,7/14/1974,614
1974,8/1/1974,686
1974,8/18/1974,844
1974,9/6/1974,899
1975,5/25/1975,120
1975,8/14/1975,705
1976,4/30/1976,137
1976,7/11/1976,575
1976,7/30/1976,602
1976,8/16/1976,674
1976,9/22/1976,841
1977,8/18/1977,839
1977,7/7/1977,591
1977,5/13/1977,148
1978,4/21/1978,150
1978,6/22/1978,622
1978,7/10/1978,753
1978,7/29/1978,847
1978,8/16/1978,891
1979,4/24/1979,142
1979,8/20/1979,898
1980,8/5/1980,882
1980,6/20/1980,614
1981,5/10/1981,320
1981,4/23/1981,145
1981,5/28/1981,574
1981,7/22/1981,787
1981,8/8/1981,900
1982,8/20/1982,948
1982,6/1/1982,327
1982,7/26/1982,852
1983,4/24/1983,124
1983,6/4/1983,580
1983,7/6/1983,708
1984,8/17/1984,906
1984,7/23/1984,687
1984,5/13/1984,326
1984,4/27/1984,312
1984,4/11/1984,161
1985,9/13/1985,751
1985,8/19/1985,614
1985,7/19/1985,534
1986,5/10/1986,172
1986,6/27/1986,537
1986,6/4/1986,317
1986,7/22/1986,628
1986,9/15/1986,817
1987,8/10/1987,821
1987,8/1/1987,704
1987,7/25/1987,617
1988,7/2/1988,587
1988,5/15/1988,309
1989,4/25/1989,153
1989,6/28/1989,609
1989,8/6/1989,888
1990,7/24/1990,873
1990,5/5/1990,312
1990,4/28/1990,159
1991,7/4/1991,605
1991,6/2/1991,319
1991,5/8/1991,86
1992,8/30/1992,819
1992,6/27/1992,539
1992,6/11/1992,315
1992,5/19/1992,150
1993,5/13/1993,152
1993,5/29/1993,319
1993,6/14/1993,594
1993,7/16/1993,743
1993,8/10/1993,886
1993,9/11/1993,918
1994,5/16/1994,316
1994,6/10/1994,583
1994,7/12/1994,616
1994,8/1/1994,861
1994,8/13/1994,882
1994,8/29/1994,943
1995,5/3/1995,158
1995,5/19/1995,322
1995,6/29/1995,627
1995,8/7/1995,932
1995,9/17/1995,959
1996,5/5/1996,156
1996,5/30/1996,326
1996,6/22/1996,615
1996,7/17/1996,769
1996,7/24/1996,865
1997,5/8/1997,145
1997,5/24/1997,319
1997,6/25/1997,624
1997,8/5/1997,928
1997,9/13/1997,1089
1998,4/18/1998,146
1998,5/27/1998,325
1998,6/28/1998,623
1998,7/30/1998,917
1999,5/14/1999,145
1999,6/15/1999,320
1999,6/24/1999,431
1999,7/1/1999,604
1999,7/17/1999,653
1999,8/2/1999,830
1999,8/18/1999,933
2000,5/8/2000,154
2000,5/24/2000,314
2000,6/2/2000,317
2000,7/4/2000,592
2000,8/5/2000,640
2000,8/28/2000,784
2001,4/18/2001,146
2001,8/15/2001,767
2001,9/9/2001,882
2002,6/8/2002,322
2002,6/15/2002,583
2002,8/2/2002,822
2002,9/3/2002,916
2003,4/24/2003,152
2003,5/17/2003,324
2003,7/12/2003,912
2004,5/11/2004,263
2004,5/11/2004,313
2004,5/20/2004,318
2004,5/29/2004,323
2004,6/20/2004,608
2004,6/28/2004,631
2004,7/14/2004,771
2004,7/23/2004,888
2004,8/8/2004,933
2004,8/8/2004,1065
2004,8/8/2004,1119
2005,5/7/2005,325
2005,6/7/2005,601
2005,6/16/2005,622
2005,6/24/2005,627
2005,8/10/2005,913
2006,5/26/2006,327
2006,6/10/2006,609
2006,7/5/2006,676
2006,7/28/2006,825
2006,9/14/2006,954
2007,6/14/2007,317
2007,7/7/2007,551
2007,7/7/2007,586
2007,7/7/2007,600
2007,7/15/2007,621
2007,8/16/2007,833
2007,8/16/2007,839
2007,8/16/2007,871
2007,9/2/2007,928
2008,5/23/2008,102
2008,6/7/2008,316
2008,7/2/2008,551
2008,7/2/2008,585
2008,8/19/2008,768
2009,5/18/2009,32
2009,6/10/2009,319
2009,7/5/2009,592
2009,7/12/2009,601
2009,7/29/2009,753
2009,8/5/2009,831
2010,5/29/2010,320
2010,7/8/2010,614
2010,8/16/2010,930
2011,5/7/2011,313
2011,6/1/2011,601
2011,7/11/2011,761
2011,9/12/2011,969
2011,9/12/2011,948
2011,9/12/2011,1001
2011,9/12/2011,1128
2012,6/3/2012,314
2012,7/12/2012,591
2012,8/13/2012,737
2012,8/29/2012,766
2013,5/20/2013,113
2013,6/30/2013,602
2013,7/16/2013,645
2013,8/1/2013,867
2014,6/1/2014,329
2014,6/16/2014,609
2014,7/18/2014,775
2014,8/20/2014,984
2015,5/3/2015,329
2015,5/19/2015,601
2015,5/26/2015,633
2015,7/6/2015,819
2015,8/7/2015,978
2015,8/14/2015,1066
2016,5/1/2016,324
2016,6/13/2016,625
2016,8/1/2016,938
2017,5/16/2017,333
2017,8/5/2017,928
2017,8/12/2017,939
2017,9/20/2017,1102
2018,4/16/2018,325
2018,5/18/2018,612
2018,7/21/2018,980
2019,4/28/2019,313
2019,5/30/2019,632
2019,6/14/2019,736
2019,7/8/2019,988
2019,8/2/2019,1341
2019,8/2/2019,1476
2019,8/2/2019,1211
2020,5/16/2020,322
2020,7/2/2020,627
2020,8/19/2020,908
2020,9/12/2020,983
2021,5/19/2021,181
2021,5/19/2021,315
2021,7/6/2021,611
2021,7/30/2021,763
2021,8/22/2021,884
2021,8/30/2021,913
