site_name,elevation,precipitation_ratios,rsquared,RMSE
C161,1484.23333333333,2.36563038158253,NaN,0
MG1,1383.05,2.01796003559959,1,0.214128773012423
MG2,1772.09523809524,2.38726133447166,1,0.212969960949234
MG3,1784.28571428571,2.38726133447166,NaN,NaN
MG4,1525,2.32126276694522,NaN,0
NWB3,1411,2.01796003559959,NaN,NaN
TKA1,838,2.55004462578095,NaN,NaN
TKA2,746,2.26799068284909,NaN,NaN
TKG1,1130.2,2.61960537854042,NaN,NaN
TKG10,1380,2.01796003559959,NaN,NaN
TKG3,1185.95833333333,2.68183665176757,NaN,0
TKG4,1107.39583333333,2.61960537854042,1,0.0235530954897103
TKG4A,1107.8,2.61960537854042,NaN,NaN
TKG5,999.90625,2.51759933182198,NaN,0
TKG8,1284.18181818182,2.55004462578095,NaN,0
TKGAC1,800,2.26799068284909,NaN,0
TKGAC3,768,2.36606595562094,NaN,0
All_sites,NaN,2.38457884619305,0.48314606741573,0.159932044384627
