Year,site_name,spring_date,fall_date,elevation,bw,ba,winter_ablation,summer_accumulation,bw_fill,ba_fill
1948,TKG5,711612,711769,992,2.03843054566564,-0.437995862711146,NaN,0,2,2
1948,TKG4,711618,711759,1116,2.20770743502196,0.272952476567452,NaN,0,2,2
1948,TR1,711621,711755,1242,2.11007435474805,0.397791109662448,NaN,0,2,2
1948,TR2,711622,711755,1319,2.19788374979863,0.606659426427791,NaN,0,2,2
1948,DG1,711613,711769,1018,1.93710478349065,-0.510260922052815,NaN,0,2,2
1948,DG2,711619,711755,1175,2.08452022540883,0.261576021761761,NaN,0,2,2
1948,DG3,711625,711755,1352,2.21488046578764,0.684764029901713,NaN,0,2,2
1948,C161,711631,711751,1476,2.27925492202756,0.977151601187971,NaN,0,2,2
1948,C163,711632,711745,1590,2.4166841300565,1.30289955762232,NaN,0,2,2
1948,NWB3,711626,711755,1413,1.90115818964776,0.461090555629002,NaN,0,2,2
1948,MG1,711626,711755,1409,1.90003686199665,0.454129533456669,NaN,0,2,2
1948,MG2,711639,711726,1749,2.53435813307349,1.7645029340983,NaN,0,2,2
1948,TSL_333,711588,711800,333,1.43007803024838,-5.66677046988501,NaN,NaN,2,2
1948,TSL_628,711600,711789,628,1.61062279577558,-3.40299979536518,NaN,NaN,2,2
1948,TSL_939,711607,711769,939,1.85482158850929,-1.10313413070304,NaN,NaN,2,2
1949,TKG4A,711995,712084,1100,3.56675156015195,2.48,NaN,0,2,0
1950,TKG4,712370,712426,1082,2.01879141703648,1.05,NaN,0,2,0
1951,TKG4,712711,712746,1082,2.17862646217178,1.87,NaN,0,2,0
1952,TKG4A,713087,713189,1090,2.22344913768336,0.85,NaN,0,2,0
1952,TKA3,713080,713142,600,1.33040581361925,0.39,NaN,0,2,0
1952,TKG4,713087,713186,1082,2.34093966437704,0.99,NaN,0,2,0
1952,TKA1,713086,713144,838,1.95588951490398,1.16,NaN,0,2,0
1952,TKA2,713081,713144,746,1.61109155282094,0.74,NaN,0,2,0
1952,C161,713105,713179,1460,2.15501025159783,1.32,NaN,0,2,0
1952,MG1,713105,713179,1411,2.23583045153889,1.35,NaN,0,2,0
1952,MG2,713105,713150,1801,2.47519748171857,2.42,NaN,0,2,0
1953,TKG4,713432,713533,1082,2.62185068628533,1.13,NaN,0,2,0
1953,NWB1,713450,713531,1432,2.85013711055684,1.79,NaN,0,2,0
