Year,site_name,elevation,bw,bs,ba,mass_maximum_date,mass_minimum_date,Lapse_Rate,Time_System,Integration_Method,Integration_Surface
1995,TSL_158,158,-0.71,-10.08,-10.79,18-Apr-1995,06-Oct-1995,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1995,TSL_322,322,-0.27,-8.92,-9.18,18-Apr-1995,06-Oct-1995,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1995,TSL_627,627,0.95,-6.51,-5.55,18-Apr-1995,06-Oct-1995,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1995,TSL_932,932,1.74,-4.35,-2.61,18-Apr-1995,06-Oct-1995,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1995,TSL_959,959,2.47,-3.27,-0.8,18-Apr-1995,06-Oct-1995,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1995,TKG5,991,2.14,-3.52,-1.38,18-Apr-1995,06-Oct-1995,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1995,DG1,1023,2.25,-3.32,-1.06,18-Apr-1995,06-Oct-1995,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1995,SWB2,1064,2.41,-3.04,-0.63,18-Apr-1995,06-Oct-1995,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1995,TKG4,1110,2.57,-2.58,-0.01,18-Apr-1995,06-Oct-1995,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1995,TKG4A,1118,2.36,-2.82,-0.46,18-Apr-1995,06-Oct-1995,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1995,TKG2,1182,2.6,-2.43,0.17,18-Apr-1995,06-Oct-1995,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1995,NWB1,1404,2.21,-1.86,0.34,18-Apr-1995,06-Oct-1995,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1995,MG1,1419,2.24,-1.86,0.38,18-Apr-1995,06-Oct-1995,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1995,C161,1471,2.5,-1.69,0.82,18-Apr-1995,06-Oct-1995,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
