Year,Bw_mwe,Bs_mwe,Ba_mwe,ELA_m,Bw_Date,Ba_Date,bw_gradient_mwe_km,bs_gradient_mwe_km,ba_gradient_mwe_km,Lapse_Rate,Time_System,Integration_Method,Integration_Surface,Source,Calibration
1946,NaN,NaN,0.146721522671169,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.186721522671169
1947,NaN,NaN,0.546721522671169,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.186721522671169
1948,NaN,NaN,0.696721522671169,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.186721522671169
1949,NaN,NaN,1.11672152267117,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.186721522671169
1950,NaN,NaN,0.00672152267116916,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.186721522671169
1951,NaN,NaN,-0.153278477328831,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.186721522671169
1952,NaN,NaN,0.346721522671169,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.186721522671169
1953,NaN,NaN,0.0367215226711692,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.186721522671169
1954,NaN,NaN,0.116721522671169,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.186721522671169
1955,NaN,NaN,1.15672152267117,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.186721522671169
1956,NaN,NaN,0.0567215226711691,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.186721522671169
1957,NaN,NaN,0.146721522671169,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.186721522671169
1958,NaN,NaN,0.396721522671169,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.186721522671169
1959,NaN,NaN,0.536721522671169,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.186721522671169
1960,NaN,NaN,0.346721522671169,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.186721522671169
1961,NaN,NaN,0.666721522671169,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.186721522671169
1962,NaN,NaN,0.576721522671169,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.186721522671169
1963,NaN,NaN,0.756721522671169,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.186721522671169
1964,NaN,NaN,1.31672152267117,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.186721522671169
1965,NaN,NaN,0.976721522671169,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.186721522671169
1966,NaN,NaN,0.266721522671169,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.186721522671169
1967,NaN,NaN,0.436721522671169,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.186721522671169
1968,NaN,NaN,0.646721522671169,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.186721522671169
1969,NaN,NaN,1.35672152267117,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.186721522671169
1970,NaN,NaN,0.946721522671169,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.186721522671169
1971,NaN,NaN,0.816721522671169,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.186721522671169
1972,NaN,NaN,0.606721522671169,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.186721522671169
1973,NaN,NaN,0.706721522671169,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.186721522671169
1974,NaN,NaN,0.766721522671169,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.186721522671169
1975,NaN,NaN,1.03672152267117,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.186721522671169
1976,NaN,NaN,0.846721522671169,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.186721522671169
1977,NaN,NaN,0.656721522671169,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.186721522671169
1978,NaN,NaN,0.496721522671169,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.186721522671169
1979,NaN,NaN,0.326721522671169,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.186721522671169
1980,NaN,NaN,0.726721522671169,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.186721522671169
1981,NaN,NaN,0.306721522671169,NaN,mm/dd/yyyy,mm/dd/yyyy,NaN,NaN,NaN,-5,nan,nan,nan,WGMS,-0.186721522671169
