Date,Temperature,Precipitation,Elevation
10/1/1964,nan,nan,990
10/2/1964,nan,nan,990
10/3/1964,nan,nan,990
10/4/1964,nan,nan,990
10/5/1964,nan,nan,990
10/6/1964,nan,nan,990
10/7/1964,nan,nan,990
10/8/1964,nan,nan,990
10/9/1964,nan,nan,990
10/10/1964,nan,nan,990
10/11/1964,nan,nan,990
10/12/1964,nan,nan,990
10/13/1964,nan,nan,990
10/14/1964,nan,nan,990
10/15/1964,nan,nan,990
10/16/1964,nan,nan,990
10/17/1964,nan,nan,990
10/18/1964,nan,nan,990
10/19/1964,nan,nan,990
10/20/1964,nan,nan,990
10/21/1964,nan,nan,990
10/22/1964,nan,nan,990
10/23/1964,nan,nan,990
10/24/1964,nan,nan,990
10/25/1964,nan,nan,990
10/26/1964,nan,nan,990
10/27/1964,nan,nan,990
10/28/1964,nan,nan,990
10/29/1964,nan,nan,990
10/30/1964,nan,nan,990
10/31/1964,nan,nan,990
11/1/1964,nan,nan,990
11/2/1964,nan,nan,990
11/3/1964,nan,nan,990
11/4/1964,nan,nan,990
11/5/1964,nan,nan,990
11/6/1964,nan,nan,990
11/7/1964,nan,nan,990
11/8/1964,nan,nan,990
11/9/1964,nan,nan,990
11/10/1964,nan,nan,990
11/11/1964,nan,nan,990
11/12/1964,nan,nan,990
11/13/1964,nan,nan,990
11/14/1964,nan,nan,990
11/15/1964,nan,nan,990
11/16/1964,nan,nan,990
11/17/1964,nan,nan,990
11/18/1964,nan,nan,990
11/19/1964,nan,nan,990
11/20/1964,nan,nan,990
11/21/1964,nan,nan,990
11/22/1964,nan,nan,990
11/23/1964,nan,nan,990
11/24/1964,nan,nan,990
11/25/1964,nan,nan,990
11/26/1964,nan,nan,990
11/27/1964,nan,nan,990
11/28/1964,nan,nan,990
11/29/1964,nan,nan,990
11/30/1964,nan,nan,990
12/1/1964,nan,nan,990
12/2/1964,nan,nan,990
12/3/1964,nan,nan,990
12/4/1964,nan,nan,990
12/5/1964,nan,nan,990
12/6/1964,nan,nan,990
12/7/1964,nan,nan,990
12/8/1964,nan,nan,990
12/9/1964,nan,nan,990
12/10/1964,nan,nan,990
12/11/1964,nan,nan,990
12/12/1964,nan,nan,990
12/13/1964,nan,nan,990
12/14/1964,nan,nan,990
12/15/1964,nan,nan,990
12/16/1964,nan,nan,990
12/17/1964,nan,nan,990
12/18/1964,nan,nan,990
12/19/1964,nan,nan,990
12/20/1964,nan,nan,990
12/21/1964,nan,nan,990
12/22/1964,nan,nan,990
12/23/1964,nan,nan,990
12/24/1964,nan,nan,990
12/25/1964,nan,nan,990
12/26/1964,nan,nan,990
12/27/1964,nan,nan,990
12/28/1964,nan,nan,990
12/29/1964,nan,nan,990
12/30/1964,nan,nan,990
12/31/1964,nan,nan,990
1/1/1965,nan,nan,990
1/2/1965,nan,nan,990
1/3/1965,nan,nan,990
1/4/1965,nan,nan,990
1/5/1965,nan,nan,990
1/6/1965,nan,nan,990
1/7/1965,nan,nan,990
1/8/1965,nan,nan,990
1/9/1965,nan,nan,990
1/10/1965,nan,nan,990
1/11/1965,nan,nan,990
1/12/1965,nan,nan,990
1/13/1965,nan,nan,990
1/14/1965,nan,nan,990
1/15/1965,nan,nan,990
1/16/1965,nan,nan,990
1/17/1965,nan,nan,990
1/18/1965,nan,nan,990
1/19/1965,nan,nan,990
1/20/1965,nan,nan,990
1/21/1965,nan,nan,990
1/22/1965,nan,nan,990
1/23/1965,nan,nan,990
1/24/1965,nan,nan,990
1/25/1965,nan,nan,990
1/26/1965,nan,nan,990
1/27/1965,nan,nan,990
1/28/1965,nan,nan,990
1/29/1965,nan,nan,990
1/30/1965,nan,nan,990
1/31/1965,nan,nan,990
2/1/1965,nan,nan,990
2/2/1965,nan,nan,990
2/3/1965,nan,nan,990
2/4/1965,nan,nan,990
2/5/1965,nan,nan,990
2/6/1965,nan,nan,990
2/7/1965,nan,nan,990
2/8/1965,nan,nan,990
2/9/1965,nan,nan,990
2/10/1965,nan,nan,990
2/11/1965,nan,nan,990
2/12/1965,nan,nan,990
2/13/1965,nan,nan,990
2/14/1965,nan,nan,990
2/15/1965,nan,nan,990
2/16/1965,nan,nan,990
2/17/1965,nan,nan,990
2/18/1965,nan,nan,990
2/19/1965,nan,nan,990
2/20/1965,nan,nan,990
2/21/1965,nan,nan,990
2/22/1965,nan,nan,990
2/23/1965,nan,nan,990
2/24/1965,nan,nan,990
2/25/1965,nan,nan,990
2/26/1965,nan,nan,990
2/27/1965,nan,nan,990
2/28/1965,nan,nan,990
3/1/1965,nan,nan,990
3/2/1965,nan,nan,990
3/3/1965,nan,nan,990
3/4/1965,nan,nan,990
3/5/1965,nan,nan,990
3/6/1965,nan,nan,990
3/7/1965,nan,nan,990
3/8/1965,nan,nan,990
3/9/1965,nan,nan,990
3/10/1965,nan,nan,990
3/11/1965,nan,nan,990
3/12/1965,nan,nan,990
3/13/1965,nan,nan,990
3/14/1965,nan,nan,990
3/15/1965,nan,nan,990
3/16/1965,nan,nan,990
3/17/1965,nan,nan,990
3/18/1965,nan,nan,990
3/19/1965,nan,nan,990
3/20/1965,nan,nan,990
3/21/1965,nan,nan,990
3/22/1965,nan,nan,990
3/23/1965,nan,nan,990
3/24/1965,nan,nan,990
3/25/1965,nan,nan,990
3/26/1965,nan,nan,990
3/27/1965,nan,nan,990
3/28/1965,nan,nan,990
3/29/1965,nan,nan,990
3/30/1965,nan,nan,990
3/31/1965,nan,nan,990
4/1/1965,nan,nan,990
4/2/1965,nan,nan,990
4/3/1965,nan,nan,990
4/4/1965,nan,nan,990
4/5/1965,nan,nan,990
4/6/1965,nan,nan,990
4/7/1965,nan,nan,990
4/8/1965,nan,nan,990
4/9/1965,nan,nan,990
4/10/1965,nan,nan,990
4/11/1965,nan,nan,990
4/12/1965,nan,nan,990
4/13/1965,nan,nan,990
4/14/1965,nan,nan,990
4/15/1965,nan,nan,990
4/16/1965,nan,nan,990
4/17/1965,nan,nan,990
4/18/1965,nan,nan,990
