Year,Site_Name,Date1,Date2,Elevation_m,Surface1,Surface2,db_mwe
2016,EP_2,4/20/2016,5/7/2016,560,snow,snow,0.17
2016,EP_2,4/20/2016,5/10/2016,560,snow,snow,0.08
2016,EP_2,4/20/2016,5/11/2016,560,snow,snow,0.13
2016,EP_2,4/20/2016,5/12/2016,560,snow,snow,0.1
2016,EP_2,4/20/2016,5/15/2016,560,snow,snow,-0.11
2016,EP_2,4/20/2016,6/4/2016,560,snow,snow,-0.93
2016,EP_2,4/20/2016,7/15/2016,560,snow,ice,-3.51
2016,EP_2,4/20/2016,7/16/2016,560,snow,ice,-3.69
2016,EP_2,4/20/2016,7/17/2016,560,snow,ice,-3.84
2016,EP_2,4/20/2016,8/21/2016,560,snow,ice,-6.02
2016,EP_2,4/20/2016,9/11/2016,560,snow,ice,-7.1
2016,EP_2,4/20/2016,10/15/2016,560,snow,snow,-8.14
2016,EP_2,5/7/2016,5/10/2016,560,snow,snow,-0.09
2016,EP_2,5/7/2016,5/11/2016,560,snow,snow,-0.04
2016,EP_2,5/7/2016,5/12/2016,560,snow,snow,-0.07
2016,EP_2,5/7/2016,5/15/2016,560,snow,snow,-0.28
2016,EP_2,5/7/2016,6/4/2016,560,snow,snow,-1.1
2016,EP_2,5/7/2016,7/15/2016,560,snow,ice,-3.68
2016,EP_2,5/7/2016,7/16/2016,560,snow,ice,-3.86
2016,EP_2,5/7/2016,7/17/2016,560,snow,ice,-4.01
2016,EP_2,5/7/2016,8/21/2016,560,snow,ice,-6.19
2016,EP_2,5/7/2016,9/11/2016,560,snow,ice,-7.27
2016,EP_2,5/7/2016,10/15/2016,560,snow,ice,-8.31
2016,EP_2,5/10/2016,5/11/2016,560,snow,snow,0.05
2016,EP_2,5/10/2016,5/12/2016,560,snow,snow,0.02
2016,EP_2,5/10/2016,5/15/2016,560,snow,snow,-0.19
2016,EP_2,5/10/2016,6/4/2016,560,snow,snow,-1.01
2016,EP_2,5/10/2016,7/15/2016,560,snow,ice,-3.59
2016,EP_2,5/10/2016,7/16/2016,560,snow,ice,-3.77
2016,EP_2,5/10/2016,7/17/2016,560,snow,ice,-3.92
2016,EP_2,5/10/2016,8/21/2016,560,snow,ice,-6.1
2016,EP_2,5/10/2016,9/11/2016,560,snow,ice,-7.18
2016,EP_2,5/10/2016,10/15/2016,560,snow,ice,-8.22
