site_name,ks,ki,Rsquared_ks,Rsquared_ki,RMSE_ks,RMSE_ki
A,NaN,-0.00439452598755979,NaN,-0.690932761207091,NaN,0.645936878358939
AU,-0.00429273789481451,-0.00570160925497385,NaN,-0.87192118226601,1.11022302462516e-16,0.355010473494681
B,-0.00341399658816366,-0.0037479263186587,-0.84045584045584,-0.564374925820147,0.202573193544485,0.311292290766694
C,-0.00323960299311352,-0.00204965719737463,-0.677836683860402,-0.6,0.32320901309262,0.0909651772195783
LA,NaN,-0.00499235327315421,NaN,NaN,NaN,0
N,-0.00366726904511144,-0.00392791071365539,-0.714285714285714,-0.604395604395604,0.162892195231719,0.303696056142095
P,NaN,-0.00408297512787651,NaN,NaN,NaN,0
S,-0.0048022575091343,-0.00472237228412653,-0.632271223263324,-0.4,0.240627261243034,0.223334903969887
T,-0.00413643738393482,NaN,-0.592835825984391,NaN,0.575555100421455,NaN
TU,NaN,-0.000238119701133223,NaN,NaN,NaN,0
Y,-0.00395525677458603,NaN,-0.745762711864407,NaN,0.198048881293457,NaN
All_Sites,-0.00389579080345876,-0.00494046141362675,-0.7648853789241,-0.717295152768879,0.297812994119034,0.509062710590618
