Year,site_name,spring_date,fall_date,elevation,bw,ba,winter_ablation,summer_accumulation,bw_fill,ba_fill
1966,A,718180,718313,617,0.77,-3.62,NaN,0,0,0
1966,B,718180,718364,1084,1.01,-1,NaN,0.26,0,0
1966,C,718180,718364,1307,2.06,0.61,NaN,0.46,0,0
1967,A,718578,718709,616,0.39,-4.95,-1.3,0,0,0
1967,B,718526,718717,1083,0.88,-2.89876815352381,0,NaN,0,2
1967,C,718524,718680,1307,1.95,-0.130310550395904,0,NaN,0,2
1968,A,718892,719030,615,0.88,-3.08,-0.14,0,0,0
1968,B,718954,719031,1083,1.62,-0.95,0,0,0,0
1968,C,718955,719081,1307,2.36,0.44,0,0.34,0,0
1969,A,719266,719422,615,0.62,-2.08,NaN,0,0,0
1969,B,719319,719419,1083,2.07,-0.68,-0.49,0,0,0
1969,C,719317,719486,1307,2.79,1.19,0,1.21,0,0
1970,A,719636,719804,614,1.54,-2.51,-0.62,0,0,0
1970,B,719629,719798,1083,2.63,0.94,-0.08,0,0,0
1970,C,719637,719800,1307,4.03,3.08,0,0.08,0,0
1971,A,720010,720119,613,0.87,-1.37,-0.12,0,0,0
1971,B,720010,720180,1082,2.13,-0.19,0,0.26,0,0
1971,C,720085,720187,1307,2.86,1.38,0,0.5,0,0
1972,A,720360,720490,612,0.13,-3.2,-1.33,0,0,0
1972,B,720431,720489,1082,0.96,-0.68,0,0,0,0
1972,C,720431,720535,1307,1.45,0,0,0.01,0,0
1973,A,720775,720861,612,0.76,-2.82,-1.1,0,0,0
1973,B,720776,720860,1082,1.42,0,-0.66,0,0,0
1973,C,720811,720913,1306,2.64,1.54,0,0.35,0,0
1974,A,721149,721254,611,0.04,-5.12,-0.77,0,0,0
1974,B,721148,721254,1082,1.38,-1.75,-0.07,0,0,0
1974,C,721148,721391,1306,1.78,0,0,1.38,0,0
1975,A,721505,721586,610,0.59,-1.98,-0.09,0,0,0
1975,B,721508,721654,1081,1.96,-0.75,0,0.15,0,0
1975,C,721508,721654,1306,2.73,1.01,0,0.35,0,0
1976,A,721775,721913,609,0.47,-1.51,-2.29,0,0,0
1976,B,721913,722008,1081,0.5,-1.41,0,0.26,0,0
1976,C,721914,722013,1306,1.15,0.34,0,0.67,0,0
1977,A,722242,722382,609,1.99,-3.19,-3.36,0.19,0,0
1977,B,722247,722382,1081,3.1,0.13,0,0.45,0,0
1977,C,722243,722382,1306,4.19,3.43,0,0.78,0,0
1978,A,722605,722721,608,0.75,-3.78,0,0,0,0
1978,B,722603,722722,1081,1.9,-0.38,0,0,0,0
1978,C,722603,722722,1306,3.18,2.07,0,0.05,0,0
1979,A,722888,723038,607,0.79,-3.58,-0.1,0,0,0
1979,B,722881,723033,1080,1.11,-0.23,-0.05,0,0,0
1979,C,722885,723031,1306,1.93,1.3,0,0,0,0
1980,A,723336,723433,607,1.63,-1.4,-2.31,0,0,0
1980,B,723338,723429,1080,2.86,1.33,-2.15,0,0,0
1980,C,723191,723429,1306,1.95,3.92811844392671,NaN,NaN,0,1
1981,A,723699,723790,606,1.13,-2.01,-0.56,0,0,0
1981,B,723704,723790,1080,2.64,0.95,NaN,0,0,0
1981,C,723701,723791,1305,7.73,5.79,0,0,0,0
1982,A,723931,724156,605,0.34,-3.95,-0.64,0,0,0
1982,B,724088,724155,1080,0.93,-0.65,-0.02,0,0,0
1982,C,724088,724221,1305,2.89,1.36,NaN,0.39,0,0
