Date,T,P,T_flag,P_flag,Elevation
01-Oct-1964,5.44600582919644,4.68827089641776,1,1,990
02-Oct-1964,3.94220169337979,0,1,1,990
03-Oct-1964,2.74800429140775,0,1,1,990
04-Oct-1964,2.96915195843961,0,1,1,990
05-Oct-1964,3.67682449294156,2.54363633741814,1,1,990
06-Oct-1964,3.4556768259097,5.08727267483629,1,1,990
07-Oct-1964,2.21724989053129,27.1321209324602,1,1,990
08-Oct-1964,0.978822955152872,2.14463455899961,1,1,990
09-Oct-1964,0.226920887244549,0.897754001441698,1,1,990
10-Oct-1964,1.7307250230612,0,1,1,990
11-Oct-1964,0.978822955152872,0,1,1,990
12-Oct-1964,1.95187269009305,0,1,1,990
13-Oct-1964,0.757675288121012,0,1,1,990
14-Oct-1964,2.21724989053129,0,1,1,990
15-Oct-1964,1.73072502306119,0,1,1,990
16-Oct-1964,-0.215374446819171,0,1,1,990
17-Oct-1964,-3.93065525295441,0,1,1,990
18-Oct-1964,-2.95760551801423,0,1,1,990
19-Oct-1964,-1.94032624966768,0,1,1,990
20-Oct-1964,0.27115042065092,32.0697679403895,1,1,990
21-Oct-1964,-0.259603980225543,31.9201422734826,1,1,990
22-Oct-1964,-0.480751647257403,4.43889478490617,1,1,990
23-Oct-1964,-3.44413038548432,0,1,1,990
24-Oct-1964,-3.44413038548432,0,1,1,990
25-Oct-1964,-4.9037049878946,0,1,1,990
26-Oct-1964,-4.9037049878946,0.897754001441698,1,1,990
27-Oct-1964,-2.95760551801423,15.0623171352996,1,1,990
28-Oct-1964,-4.15180291998627,0.249376111511583,1,1,990
29-Oct-1964,-6.58442725733673,6.84285714285714,1,1,990
30-Oct-1964,-6.84980445777496,0,1,1,990
31-Oct-1964,-3.66527805251618,3.79051689497606,1,1,990
01-Nov-1964,-2.02797530408609,0,1,1,990
02-Nov-1964,-2.49434754971449,0,1,1,990
03-Nov-1964,-4.61422139347992,0,1,1,990
04-Nov-1964,-3.21510465659473,7.94256268045085,1,1,990
05-Nov-1964,-2.28236016533794,3.45798647312146,1,1,990
06-Nov-1964,-4.40223400910337,0,1,1,990
07-Nov-1964,-6.31012046849226,0,1,1,990
08-Nov-1964,-3.68147690222313,6.8619419076004,1,1,990
09-Nov-1964,-3.46948951784659,0,1,1,990
10-Nov-1964,-4.65661887035523,0.432248309140183,1,1,990
11-Nov-1964,-5.80135074598856,0.432248309140183,1,1,990
12-Nov-1964,-8.17560945100584,0,1,1,990
13-Nov-1964,-5.84374822286387,6.59178671438778,1,1,990
14-Nov-1964,-0.840845951577452,2.48542777755605,1,1,990
15-Nov-1964,-2.74873241096634,0.972558695565411,1,1,990
16-Nov-1964,-1.81598791970955,4.91682451646958,1,1,990
17-Nov-1964,0.303885924055882,8.37481098959103,1,1,990
18-Nov-1964,-0.162486321572514,24.9623398528455,1,1,990
19-Nov-1964,-2.74873241096634,39.6587823636117,1,1,990
20-Nov-1964,-2.28236016533794,14.264194201626,1,1,990
21-Nov-1964,-4.86860625473177,0.432248309140183,1,1,990
22-Nov-1964,-5.12299111598362,0,1,1,990
23-Nov-1964,-5.12299111598362,0,1,1,990
24-Nov-1964,-4.19024662472683,0,1,1,990
25-Nov-1964,-4.61422139347992,0,1,1,990
26-Nov-1964,-6.73409523724535,0,1,1,990
27-Nov-1964,-12.2033697541602,0,1,1,990
28-Nov-1964,-10.0410984335194,0,1,1,990
29-Nov-1964,-8.38759683538238,1.78302427520325,1,1,990
30-Nov-1964,-14.2808461210503,0,1,1,990
01-Dec-1964,-8.79101143937789,0.304446874739599,1,1,990
02-Dec-1964,-5.08473250079413,3.10535812234391,1,1,990
03-Dec-1964,-2.95187386632611,0,1,1,990
04-Dec-1964,-2.98683876197313,3.10535812234391,1,1,990
05-Dec-1964,-3.16166324020821,10.9600874906256,1,1,990
06-Dec-1964,-4.70011864867694,8.03739749312543,1,1,990
07-Dec-1964,-6.23857405714568,2.00934937328136,1,1,990
08-Dec-1964,-7.60220498737933,0,1,1,990
09-Dec-1964,-12.2875010040796,0,1,1,990
10-Dec-1964,-15.364411821017,0,1,1,990
11-Dec-1964,-16.7630076468977,0,1,1,990
12-Dec-1964,-16.7280427512507,0,1,1,990
13-Dec-1964,-16.9378321251328,0,1,1,990
14-Dec-1964,-18.6860769074836,0,1,1,990
15-Dec-1964,-13.231553186549,3.71425187182311,1,1,990
16-Dec-1964,-5.29452187467623,0.913340624218798,1,1,990
17-Dec-1964,-7.98681883949651,0,1,1,990
18-Dec-1964,-7.98681883949651,0,1,1,990
19-Dec-1964,-9.56023914361226,0,1,1,990
20-Dec-1964,-10.3294668478466,0,1,1,990
21-Dec-1964,-5.88892510067551,0,1,1,990
22-Dec-1964,-5.11969739644114,0,1,1,990
23-Dec-1964,-11.3084839259631,0,1,1,990
24-Dec-1964,-10.3294668478466,0,1,1,990
25-Dec-1964,-11.133659447728,0,1,1,990
26-Dec-1964,-13.6161670386662,0,1,1,990
27-Dec-1964,-12.8819042300788,0,1,1,990
28-Dec-1964,-11.5182732998452,0,1,1,990
29-Dec-1964,-11.8679222563154,0,1,1,990
30-Dec-1964,-13.4413425604311,0.913340624218798,1,1,990
31-Dec-1964,-12.2525361084325,0,1,1,990
01-Jan-1965,-13.6614318019739,0,1,1,990
02-Jan-1965,-13.0479469514036,0,1,1,990
03-Jan-1965,-13.2644710163108,0,1,1,990
04-Jan-1965,-13.0840342955548,0,1,1,990
05-Jan-1965,-15.2853622887775,0,1,1,990
06-Jan-1965,-12.0735886593214,0,1,1,990
07-Jan-1965,-12.8675102306477,0,1,1,990
08-Jan-1965,-11.4601038087512,0.133276412400258,1,1,990
09-Jan-1965,-9.65573660119155,0,1,1,990
10-Jan-1965,-10.8827063023321,0,1,1,990
11-Jan-1965,-6.84092375739856,0.133276412400258,1,1,990
12-Jan-1965,-3.05175262152337,1.91029524440369,1,1,990
13-Jan-1965,-2.83522855661622,6.75267156161305,1,1,990
14-Jan-1965,-3.8456741928496,3.73173954720721,1,1,990
15-Jan-1965,-7.85136939363194,0,1,1,990
16-Jan-1965,-6.44396297173544,12.3058554116238,1,1,990
