month,intercept,slope,rsquared
1,-3.2466421240202,0.512947496600942,0.52
2,-3.39294250085467,0.580668212795756,0.49
3,-3.89321271089237,0.634681961996307,0.49
4,-3.63470687996308,0.857312650832734,0.64
5,-4.15473790835952,0.996423551289294,0.61
6,-4.37897558303325,1.0226246578905,0.55
7,-3.00302882505498,0.913558210682784,0.44
8,-2.81165036217844,0.926526865071358,0.49
9,-2.20596788737027,0.817531103555604,0.61
10,-2.49474031518363,0.716657052365058,0.62
11,-2.64248698435823,0.683598133795765,0.55
12,-3.19649183129413,0.502976516427806,0.38
