month,intercept,slope,rsquared
1,-4.25313362899846,0.721212488573892,0.71
2,-4.73945978267234,0.784026137216901,0.64
3,-5.51299922897303,0.914890677352018,0.74
4,-5.93096393162325,1.00263675916494,0.74
5,-5.97866511110481,1.01136171784869,0.68
6,-6.59940384991535,1.1126242093175,0.63
7,-5.21657490877381,1.01329277927926,0.56
8,-4.55234865253068,0.956795837067551,0.55
9,-4.94004931547817,0.944211744089324,0.68
10,-4.94594122563655,0.887446698312792,0.73
11,-4.40521092970682,0.848315477554511,0.72
12,-4.31745154885467,0.698870812545459,0.61
