month,intercept,slope,rsquared
1,-4.11985187990093,0.716920196200493,0.71
2,-4.29237571215564,0.787870435980782,0.66
3,-5.20810175045978,0.875257285134734,0.77
4,-5.9445599589839,0.998702349885774,0.78
5,-5.93131539646818,0.982023001395088,0.69
6,-6.63279795336523,1.0849016386975,0.66
7,-6.44324001766034,1.08602947772484,0.61
8,-5.23192021116402,1.01088449553135,0.55
9,-5.0204936359636,0.976731097121449,0.67
10,-5.1957629023251,0.967350691013018,0.74
11,-4.40433299980389,0.805762404634148,0.67
12,-4.34587728725891,0.686985353653254,0.62
