month,intercept,slope,rsquared
1,-3.16205701197481,0.521671247949425,0.53
2,-3.36408743034974,0.582758211076795,0.49
3,-3.90107641517228,0.635149248039564,0.49
4,-3.6424547235291,0.858002932491687,0.63
5,-4.19626335964943,1.00030190982502,0.61
6,-4.3599388074128,1.01997248616544,0.55
7,-2.93668749238686,0.908514367762253,0.43
8,-2.80210223685965,0.927850933976939,0.49
9,-2.21463867767426,0.822710014549685,0.62
10,-2.45792151174411,0.723567009253182,0.62
11,-2.61662403230224,0.677818403789085,0.54
12,-3.17678124839698,0.502955160000093,0.37
