month,intercept,slope,rsquared
1,-4.10497457782537,0.720682989888397,0.71
2,-4.27600883836477,0.78559393845408,0.66
3,-5.20225370328853,0.87694509050831,0.77
4,-5.92464942110708,0.994204093975339,0.74
5,-5.90864742271843,0.978960569425869,0.67
6,-6.70687845149749,1.09329020485002,0.66
7,-6.64410198672049,1.10226574831932,0.62
8,-5.30729738630874,1.01799879058054,0.55
9,-5.00455162172582,0.976498957649459,0.67
10,-5.15490856321958,0.961243174995113,0.73
11,-4.39596897201708,0.804606016323264,0.67
12,-4.31768488328352,0.691431516829181,0.62
