month,intercept,slope,rsquared
1,-3.22057638148223,0.520942219949638,0.52
2,-3.35265561461096,0.571340293073301,0.49
3,-3.86829393241116,0.636972862493128,0.49
4,-3.52988970748139,0.827924815549099,0.6
5,-4.23994182000938,1.00929571098355,0.61
6,-4.27996829520951,1.01056020856897,0.53
7,-2.5334512360472,0.874208517692501,0.4
8,-2.98192867012201,0.945619213522525,0.5
9,-2.16580436033563,0.821875401761118,0.62
10,-2.47480659733728,0.716336113265924,0.62
11,-2.6040386551612,0.705060517800263,0.57
12,-3.17955200846771,0.502493958703387,0.36
