Year,Bw_mwe,Bs_mwe,Ba_mwe,ELA_m,Bw_Date,Ba_Date,bw_gradient_mwe_km,bs_gradient_mwe_km,ba_gradient_mwe_km,Lapse_Rate,Time_System,Integration_Method,Integration_Surface,Source,Calibration
1966,1.57,-2.17,-0.6,1216.94230769231,05/08/1966,09/26/1966,0.0010706638    -0.14059957           1084   0.0047533632     -4.1326457,NaN,0.0082869379     -9.9130407           1084   0.0069955157      -8.513139,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.5
1967,1.47,-2.77,-1.3,1322.05882352941,04/07/1967,09/05/1967,0.00010706638     0.69404711           1083   0.0050446429     -4.6533482,NaN,0.0035117773     -6.3432548           1083       0.010625     -14.046875,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.5
1968,1.88,-2.78,-0.9,1263.36363636364,05/10/1968,09/25/1968,0.0040384615     -2.8036538           1083   0.0041964286     -2.9747321,NaN,0.0081196581      -10.65359           1083      0.0103125     -13.028437,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.5
1969,2.24,-2.05,0.19,1165.65240641711,05/22/1969,09/26/1969,0.0041880342      -2.335641           1083   0.0027678571    -0.79758929,NaN,0.0026495726     -3.5594872           1083   0.0083482143     -9.7311161,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.5
1970,3.47,-1.74,1.73,981.932203389831,05/08/1970,09/18/1970,0.0044776119     -2.0692537           1083   0.0063839286     -4.1337946,NaN,0.0088059701     -8.6468657           1083   0.0097767857     -9.6982589,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.5
1971,2.91,-2.61,0.3,1107.17004416878,06/02/1971,09/30/1971,0.0042643923     -2.0140725           1082   0.0041777778     -1.9203556,NaN,0.0060554371     -6.7419829           1082   0.0070222222     -7.7880444,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.5
1972,1.06,-2.11,-1.05,1307,05/27/1972,09/25/1972,0.0029361702     -1.9869362           1082   0.0014222222    -0.34884444,NaN,0.0061914894     -8.0391915           1082   0.0059555556     -7.7839111,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.5
1973,2.38,-1.94,0.44,1063.66870759557,06/03/1973,09/05/1973,0.0018723404    -0.59587234           1082   0.0070089286     -6.1536607,NaN,0.0068085106     -7.2368085           1082        0.00625        -6.6325,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.5
1974,1.57,-2.82,-1.25,1304.8855721393,05/15/1974,09/30/1974,0.0030573248     -1.7580255           1082   0.0022767857    -0.91348214,NaN,0.0082165605     -10.890318           1082   0.0089732143     -11.709018,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.5
1975,2.21,-2.33,-0.12,1167.11111111111,05/26/1975,09/27/1975,0.0029087049       -1.12431           1081   0.0031111111     -1.3431111,NaN,0.006836518      -8.010276           1081         0.0072        -8.4032,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.5
1976,1.46,-2.24,-0.78,1262.25,05/23/1976,09/06/1976,0.0027754237     -1.5102331           1081   0.0019111111    -0.57591111,NaN,0.0065254237     -8.5039831           1081          0.008        -10.098,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.5
1977,3.61,-1.65,1.96,1063.17788686951,05/24/1977,09/27/1977,0.0036652542    -0.71213983           1081   0.0042222222     -1.3142222,NaN,0.0079872881     -8.5542585           1081    0.014844444     -15.966844,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.5
1978,2.58,-1.79,0.79,1115.25975219677,05/08/1978,09/29/1978,0.0022410148      -0.472537           1081   0.0052888889     -3.7672889,NaN,0.0072727273     -8.2818182           1081    0.011066667     -12.383067,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.5
1979,1.85,-3.17,-1.32,1322.5871559633,05/23/1979,09/23/1979,0.0027061311     -1.5526216           1080   0.0045575221     -3.5521239,NaN,0.0060887949     -8.9158985           1080   0.0096460177     -12.757699,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.5
1980,4.73,-2.65,2.08,964.312693498452,05/29/1980,10/01/1980,0.0046088795     -1.9975899           1080    0.013097345     -11.165133,NaN,0.0068287526     -6.5850529           1080     0.01380531     -14.119735,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.97
1981,6.67,-3.11,3.56,933.721068249258,04/20/1981,09/11/1981,0.003164557    -0.13772152           1080    0.021555556            -20,NaN,0.0071097046      -6.638481           1080    0.020444444         -21.04,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.97
1982,2.17,-2.58,-0.41,1180.58823529412,05/20/1982,09/28/1982,0.0037894737     -2.7626316           1080   0.0080444444         -7.358,NaN,0.0088421053     -10.689474           1080    0.011333333         -13.38,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.97
1983,2.08,-2.65,-0.57,1182.48421052632,04/22/1983,09/23/1983,0.0014947368     0.38717895           1079   0.0034070796     -1.6762389,NaN,0.0064842105     -7.8664632           1079   0.0084070796     -9.9412389,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.97
1984,1.76,-2.22,-0.46,1185.24701195219,05/06/1984,09/29/1984,0.002         -0.368           1079   0.0029646018     -1.4088053,NaN,0.0083368421     -10.175453           1079    0.011106195     -13.163584,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.97
1985,2.12,-1.96,0.16,1089.29216464756,05/14/1985,09/17/1985,0.0015966387   -0.032773109           1079   0.0053097345     -4.0392035,NaN,0.0063655462     -6.9884244           1079   0.0083185841     -9.0957522,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.97
1986,2.44,-2.95,-0.51,1152.9880952381,05/16/1986,10/03/1986,0.0024737945    -0.94922432           1079    0.007079646     -5.9189381,NaN,0.0081132075     -9.3041509           1079   0.0074336283      -8.570885,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.97
1987,3.42,-2.11,1.31,1021.4094488189,05/02/1987,09/11/1987,0.0031446541    -0.79308176           1079   0.0077876106     -5.8028319,NaN,0.0079874214     -8.1584277           1079    0.011769912     -12.239735,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed,-0.97
