Year,Bw_mwe,Bs_mwe,Ba_mwe,ELA_m,Bw_Date,Ba_Date,bw_gradient_mwe_km,bs_gradient_mwe_km,ba_gradient_mwe_km,Lapse_Rate,Time_System,Integration_Method,Integration_Surface,Source
1966,1.83,-1.92641595018592,-0.0964159501859211,1216.94230769231,05/22/1966,09/26/1966,1.33        4.98,NaN,8.24           7,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
1967,1.72,-2.46200035643173,-0.742000356431728,1316.78165938865,04/10/1967,09/05/1967,0.19           5,NaN,3.98        10.22,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
1968,2.13,-2.51559518108553,-0.385595181085532,1263.17391304348,05/10/1968,09/25/1968,3.95        4.15,NaN,7.88        10.27,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
1969,2.49,-1.79878046280893,0.691219537191068,1166.40425531915,05/22/1969,09/26/1969,4.19        2.77,NaN,2.71        8.39,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
1970,3.72,-1.48405485593997,2.23594514406003,981.192682926829,05/08/1970,09/18/1970,4.37        6.47,NaN,8.74        9.78,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
1971,3.13,-2.32916269207749,0.800837307922512,1107.12646696067,06/02/1971,09/30/1971,4.22        4.31,NaN,6.03        7.02,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
1972,1.31,-1.85852745349211,-0.548527453492111,1307,05/28/1972,09/25/1972,2.94        1.47,NaN,6.19        5.96,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
1973,2.62,-1.6744418344042,0.945558165595801,1065.24201708522,06/03/1973,09/05/1973,1.85        6.96,NaN,6.83        6.29,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
1974,1.81,-2.5492586411897,-0.739258641189699,1304.88,05/15/1974,09/30/1974,3.06        2.23,NaN,8.15        8.93,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
1975,2.45,-2.06754823785534,0.382451762144656,1167.96319018405,05/21/1975,09/27/1975,2.78        3.07,NaN,6.88        7.24,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
